title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,2506 Pansy St SW,Huntsville,AL,35801,"$159,900","3 bds , 1 ba , 1,285 sqft",,https://www.zillow.com/homedetails/2506-Pansy-St-SW-Huntsville-AL-35801/92185449_zpid/
House for sale,6501 Bienville Ct,MOBILE,AL,36695,"$175,000","3 bds , 2.5 ba , 1,965 sqft",,https://www.zillow.com/homedetails/6501-Bienville-Ct-Mobile-AL-36695/51042072_zpid/
House for sale,1800 30th St W,Birmingham,AL,35208,"$59,900","4 bds , 3 ba , 2,251 sqft",,https://www.zillow.com/homedetails/1800-30th-St-W-Birmingham-AL-35208/2085654161_zpid/
House for sale,0 E Bank Rd,Prattville,AL,36067,"$129,900","3 bds , 2 ba , 1,440 sqft",,https://www.zillow.com/homedetails/0-E-Bank-Rd-Prattville-AL-36067/2101117993_zpid/
House for sale,201 Springoaks Way,Dothan,AL,36305,"$6,000,000","5 bds , 8 ba , 11,000 sqft",Coldwell Banker Alfred Saliba Realty,https://www.zillow.com/homedetails/201-Springoaks-Way-Dothan-AL-36305/213799361_zpid/
House for sale,100 Silverton Cir,Madison,AL,35758,"$399,000","4 bds , 4 ba , 4,052 sqft",,https://www.zillow.com/homedetails/100-Silverton-Cir-Madison-AL-35758/92083383_zpid/
For sale by owner,4941 43rd Way N,BIRMINGHAM,AL,35217,"$27,000","3 bds , 2 ba , 1,478 sqft",,https://www.zillow.com/homedetails/4941-43rd-Way-N-Birmingham-AL-35217/947253_zpid/
House for sale,911 Redfern Trl,Homewood,AL,35209,"$249,900","3 bds , 1 ba , 1,279 sqft",,https://www.zillow.com/homedetails/911-Redfern-Trl-Homewood-AL-35209/1012169_zpid/
Foreclosure,118 Bush Ave,MOBILE,AL,36604,"$13,000","3 bds , 2 ba , 1,842 sqft",,https://www.zillow.com/homedetails/118-Bush-Ave-Mobile-AL-36604/51010301_zpid/
House for sale,4156 Shan Dr E,Mobile,AL,36693,"$114,124","3 bds , 2 ba , 1,504 sqft",,https://www.zillow.com/homedetails/4156-Shan-Dr-E-Mobile-AL-36693/2085585244_zpid/
House for sale,317 Observatory Dr,BIRMINGHAM,AL,35206,"$173,900","3 bds , 3 ba , 2,523 sqft",,https://www.zillow.com/homedetails/317-Observatory-Dr-Birmingham-AL-35206/950386_zpid/
Auction,1504 Hollins Dr,Birmingham,AL,35214,"$102,000","3 bds , 2.5 ba , 1,925 sqft",,https://www.zillow.com/homedetails/1504-Hollins-Dr-Birmingham-AL-35214/112339114_zpid/
House for sale,603 Spanish Main,SPANISH FORT,AL,36527,"$156,000","5 bds , 3 ba , 2,944 sqft",,https://www.zillow.com/homedetails/603-Spanish-Main-Spanish-Fort-AL-36527/72726129_zpid/
House for sale,7805 Wildcreek Trl SE,HUNTSVILLE,AL,35802,"$280,000","5 bds , 3 ba , 2,690 sqft",,https://www.zillow.com/homedetails/7805-Wildcreek-Trl-SE-Huntsville-AL-35802/92125555_zpid/
House for sale,318 Hill Ave,GUNTERSVILLE,AL,35976,"$159,900","4 bds , 3 ba , 1,750 sqft",,https://www.zillow.com/homedetails/318-Hill-Ave-Guntersville-AL-35976/144070_zpid/
House for sale,751 Ashwood Dr W,Mobile,AL,36693,"$225,000","4 bds , 3.5 ba , 2,886 sqft",,https://www.zillow.com/homedetails/751-Ashwood-Dr-W-Mobile-AL-36693/2142993925_zpid/
House for sale,3427 East St,VESTAVIA,AL,35243,"$395,900","4 bds , 3 ba , 3,164 sqft",,https://www.zillow.com/homedetails/3427-East-St-Vestavia-AL-35243/980803_zpid/
Foreclosure,3220 Winchester Rd,Hoover,AL,35226,"$180,000","4 bds , 2 ba , 2,192 sqft",,https://www.zillow.com/homedetails/3220-Winchester-Rd-Hoover-AL-35226/1057756_zpid/
House for sale,15038 County Road 13,Fairhope,AL,36532,"$199,000","3 bds , 2 ba , 1,785 sqft",,https://www.zillow.com/homedetails/15038-County-Road-13-Fairhope-AL-36532/196104518_zpid/
House for sale,1618 Kristi Cir,Vestavia,AL,35243,"$269,900","3 bds , 3 ba , 1,700 sqft",,https://www.zillow.com/homedetails/1618-Kristi-Cir-Vestavia-AL-35243/55538025_zpid/
House for sale,100 River Bridge Way,HUNTSVILLE,AL,35811,"$292,000","4 bds , 3 ba , 2,600 sqft",,https://www.zillow.com/homedetails/100-River-Bridge-Way-Huntsville-AL-35811/92092078_zpid/
House for sale,11300 Crestfield Dr SE,HUNTSVILLE,AL,35803,"$154,900","3 bds , 2 ba , 1,539 sqft",,https://www.zillow.com/homedetails/11300-Crestfield-Dr-SE-Huntsville-AL-35803/92131962_zpid/
