title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1717 E Overcrest St,FAYETTEVILLE,AR,72703,"$195,000","4 bds , 2 ba , 2,065 sqft",,https://www.zillow.com/homedetails/1717-E-Overcrest-St-Fayetteville-AR-72703/72869649_zpid/
House for sale,2409 E Zion Rd,FAYETTEVILLE,AR,72703,"$297,800","5 bds , 4 ba , 3,648 sqft",,https://www.zillow.com/homedetails/2409-E-Zion-Rd-Fayetteville-AR-72703/72843956_zpid/
House for sale,14816 Quail Dr,ROGERS,AR,72758,"$375,000","3 bds , 4 ba , 3,286 sqft",,https://www.zillow.com/homedetails/14816-Quail-Dr-Rogers-AR-72758/70716689_zpid/
House for sale,1705 Akins Creek Rd,Clinton,AR,72031,"$55,000","6 bds , 4 ba , 2,000 sqft",,https://www.zillow.com/homedetails/1705-Akins-Creek-Rd-Clinton-AR-72031/2085550951_zpid/
House for sale,9221 Moody Rd,FORT SMITH,AR,72903,"$10,900,000","4 bds , 7 ba , 18,367 sqft",,https://www.zillow.com/homedetails/9221-Moody-Rd-Fort-Smith-AR-72903/74536299_zpid/
House for sale,3257 Indian Springs Ave,SPRINGDALE,AR,72762,"$180,000","3 bds , 2 ba , 1,763 sqft",,https://www.zillow.com/homedetails/3257-Indian-Springs-Ave-Springdale-AR-72762/70665357_zpid/
House for sale,14 Haslingden Ln,Bella Vista,AR,72715,"$125,000","2 bds , 4 ba , 1,352 sqft",Coldwell Banker Harris McHaney & Faucette,https://www.zillow.com/homedetails/14-Haslingden-Ln-Bella-Vista-AR-72715/70734093_zpid/
House for sale,16432 Hazel Valley Rd,Fayetteville,AR,72701,"$69,000","3 bds , 3 ba , 2,086 sqft",,https://www.zillow.com/homedetails/16432-Hazel-Valley-Rd-Fayetteville-AR-72701/2086175002_zpid/
For sale by owner,2395 Orchid,Conway,AR,72034,"$169,500","3 bds , 2 ba , 1,571 sqft",,https://www.zillow.com/homedetails/2395-Orchid-Conway-AR-72034/60826436_zpid/
House for sale,516 County Road 713,JONESBORO,AR,72401,"$189,900","3 bds , 2 ba , 1,964 sqft",Coldwell Banker Village Communities,https://www.zillow.com/homedetails/516-County-Road-713-Jonesboro-AR-72401/76119418_zpid/
House for sale,3648 E Township St,Fayetteville,AR,72703,"$372,000","4 bds , 3 ba , 3,227 sqft",,https://www.zillow.com/homedetails/3648-E-Township-St-Fayetteville-AR-72703/72871369_zpid/
House for sale,11101 Rivercrest Dr,LITTLE ROCK,AR,72212,"$334,900","4 bds , 3 ba , 2,838 sqft",,https://www.zillow.com/homedetails/11101-Rivercrest-Dr-Little-Rock-AR-72212/82848206_zpid/
House for sale,9992 Jims Trl,ROGERS,AR,72756,"$499,900","5 bds , 4 ba , 2,500 sqft",,https://www.zillow.com/homedetails/9992-Jims-Trl-Rogers-AR-72756/70693433_zpid/
House for sale,3908 Lankford Ave,SPRINGDALE,AR,72762,"$139,900","3 bds , 2 ba , 1,704 sqft",,https://www.zillow.com/homedetails/3908-Lankford-Ave-Springdale-AR-72762/72857155_zpid/
House for sale,10 Valley Crest Ct,LITTLE ROCK,AR,72223,"$2,495,000","5 bds , 12 ba , 15,291 sqft",,https://www.zillow.com/homedetails/10-Valley-Crest-Ct-Little-Rock-AR-72223/79789009_zpid/
House for sale,2155 Rainbow Rd,Conway,AR,72032,"$165,000","3 bds , 2 ba , 1,876 sqft",Coldwell Banker RPM Group,https://www.zillow.com/homedetails/2155-Rainbow-Rd-Conway-AR-72032/240103_zpid/
For sale by owner,5320 S Bellview Rd,ROGERS,AR,72758,"$15,000","4 bds , 3 ba , 2,511 sqft",,https://www.zillow.com/homedetails/5320-S-Bellview-Rd-Rogers-AR-72758/70656914_zpid/
House for sale,18319 Williamstowne Pl,Springdale,AR,72764,"$264,900","3 bds , 2 ba , 1,497 sqft",,https://www.zillow.com/homedetails/18319-Williamstowne-Pl-Springdale-AR-72764/134617119_zpid/
For sale by owner,4300 E Lawndale Dr,FAYETTEVILLE,AR,72701,"$165,000","3 bds , 2 ba , 1,298 sqft",,https://www.zillow.com/homedetails/4300-E-Lawndale-Dr-Fayetteville-AR-72701/72871218_zpid/
