title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,3820 S 101st Dr,TOLLESON,AZ,85353,"$249,900","3 bds , 2 ba , 2,213 sqft",,https://www.zillow.com/homedetails/3820-S-101st-Dr-Tolleson-AZ-85353/71491541_zpid/
House for sale,2512 W Laredo Ln,PHOENIX,AZ,85085,"$385,000","5 bds , 4 ba , 3,253 sqft",,https://www.zillow.com/homedetails/2512-W-Laredo-Ln-Phoenix-AZ-85085/81971948_zpid/
House for sale,2827 E Janice Way,Phoenix,AZ,85032,"$190,000","2 bds , 2 ba , 1,020 sqft",,https://www.zillow.com/homedetails/2827-E-Janice-Way-Phoenix-AZ-85032/8011623_zpid/
House for sale,15945 W Marconi Ave,Surprise,AZ,85374,"$270,000","3 bds , 2 ba , 2,174 sqft",,https://www.zillow.com/homedetails/15945-W-Marconi-Ave-Surprise-AZ-85374/8306675_zpid/
Condo for sale,7756 N 19th Ln,Phoenix,AZ,85021,"$189,000","2 bds , 3 ba , 1,580 sqft",,https://www.zillow.com/homedetails/7756-N-19th-Ln-Phoenix-AZ-85021/7778586_zpid/
House for sale,21989 W Hadley St,Buckeye,AZ,85326,"$282,910","5 bds , 3 ba , 2,594 sqft",,https://www.zillow.com/homedetails/21989-W-Hadley-St-Buckeye-AZ-85326/71492515_zpid/
House for sale,27586 N 99th Dr,Peoria,AZ,85383,"$535,000","4 bds , 4 ba , 3,175 sqft",,https://www.zillow.com/homedetails/27586-N-99th-Dr-Peoria-AZ-85383/125135162_zpid/
House for sale,4711 E Frye Rd,PHOENIX,AZ,85048,"$339,900","4 bds , 3 ba , 2,065 sqft",,https://www.zillow.com/homedetails/4711-E-Frye-Rd-Phoenix-AZ-85048/8259804_zpid/
House for sale,27663 N 108th Way,SCOTTSDALE,AZ,85262,"$550,000","3 bds , 2 ba , 2,431 sqft",,https://www.zillow.com/homedetails/27663-N-108th-Way-Scottsdale-AZ-85262/8038748_zpid/
House for sale,7136 S 48th Gln,Laveen,AZ,85339,"$204,000","3 bds , 3 ba , 1,637 sqft",,https://www.zillow.com/homedetails/7136-S-48th-Gln-Laveen-AZ-85339/88061776_zpid/
House for sale,4948 W Marcus Dr,Phoenix,AZ,85083,"$505,000","5 bds , 5 ba , 3,937 sqft",,https://www.zillow.com/homedetails/4948-W-Marcus-Dr-Phoenix-AZ-85083/71606743_zpid/
House for sale,4824 N 196th Ln,Litchfield Park,AZ,85340,"$476,500","4 bds , 3 ba , 2,832 sqft",,https://www.zillow.com/homedetails/4824-N-196th-Ln-Litchfield-Park-AZ-85340/89027154_zpid/
House for sale,1514 S 82nd Dr,Phoenix,AZ,85043,"$208,500","3 bds , 2 ba , 1,565 sqft",,https://www.zillow.com/homedetails/1514-S-82nd-Dr-Phoenix-AZ-85043/60047235_zpid/
House for sale,215 W Angus Rd,San Tan Valley,AZ,85143,"$214,900","4 bds , 2 ba , 1,635 sqft",,https://www.zillow.com/homedetails/215-W-Angus-Rd-San-Tan-Valley-AZ-85143/63235723_zpid/
House for sale,12735 W Nadine Way,Peoria,AZ,85383,"$339,900","5 bds , 3 ba , 2,615 sqft",,https://www.zillow.com/homedetails/12735-W-Nadine-Way-Peoria-AZ-85383/67784116_zpid/
House for sale,2750 E Cactus Rd,PHOENIX,AZ,85032,"$245,900","4 bds , 2 ba , 1,469 sqft",,https://www.zillow.com/homedetails/2750-E-Cactus-Rd-Phoenix-AZ-85032/7820222_zpid/
House for sale,16540 E El Lago Blvd UNIT 16,Fountain Hills,AZ,85268,"$382,900","2 bds , 2 ba , 1,652 sqft",,https://www.zillow.com/homedetails/16540-E-El-Lago-Blvd-UNIT-16-Fountain-Hills-AZ-85268/55261620_zpid/
House for sale,1037 W Spur Ct,Gilbert,AZ,85233,"$534,900","4 bds , 3 ba , 3,830 sqft",,https://www.zillow.com/homedetails/1037-W-Spur-Ct-Gilbert-AZ-85233/55279787_zpid/
Apartment for sale,8560 E Roosevelt St,Scottsdale,AZ,85257,"$157,900","2 bds , 2 ba , 950 sqft",,https://www.zillow.com/homedetails/8560-E-Roosevelt-St-Scottsdale-AZ-85257/7577659_zpid/
House for sale,15246 W Cortez St,Surprise,AZ,85379,"$320,000","4 bds , 3 ba , 3,069 sqft",,https://www.zillow.com/homedetails/15246-W-Cortez-St-Surprise-AZ-85379/60965080_zpid/
House for sale,1062 E Baylor Ln,Gilbert,AZ,85296,"$330,000","3 bds , 2 ba , 1,868 sqft",,https://www.zillow.com/homedetails/1062-E-Baylor-Ln-Gilbert-AZ-85296/8241367_zpid/
House for sale,6012 S 16th Dr,Phoenix,AZ,85041,"$239,900","3 bds , 3 ba , 1,979 sqft",,https://www.zillow.com/homedetails/6012-S-16th-Dr-Phoenix-AZ-85041/59899258_zpid/
House for sale,1258 W Laguna Azul Ave,Mesa,AZ,85202,"$358,900","4 bds , 3 ba , 2,651 sqft",,https://www.zillow.com/homedetails/1258-W-Laguna-Azul-Ave-Mesa-AZ-85202/8252532_zpid/
House for sale,7919 W Rose Ln,Glendale,AZ,85303,"$252,150","4 bds , 2 ba , 2,075 sqft",,https://www.zillow.com/homedetails/7919-W-Rose-Ln-Glendale-AZ-85303/7462996_zpid/
House for sale,25023 N 50th Ave,Phoenix,AZ,85083,"$449,900","5 bds , 3 ba , 3,309 sqft",,https://www.zillow.com/homedetails/25023-N-50th-Ave-Phoenix-AZ-85083/7929407_zpid/
House for sale,16654 S 37th St,Phoenix,AZ,85048,"$390,500","4 bds , 2 ba , 2,192 sqft",,https://www.zillow.com/homedetails/16654-S-37th-St-Phoenix-AZ-85048/8255766_zpid/
House for sale,11758 N 113th Way,Scottsdale,AZ,85259,"$359,900","3 bds , 2 ba , 1,566 sqft",,https://www.zillow.com/homedetails/11758-N-113th-Way-Scottsdale-AZ-85259/8050825_zpid/
House for sale,10704 E Pivitol Ave,Mesa,AZ,85212,"$354,900","3 bds , 3 ba , 2,284 sqft",,https://www.zillow.com/homedetails/10704-E-Pivitol-Ave-Mesa-AZ-85212/121423131_zpid/
House for sale,10348 W Yuma St,Tolleson,AZ,85353,"$232,000","4 bds , 2 ba , 1,625 sqft",,https://www.zillow.com/homedetails/10348-W-Yuma-St-Tolleson-AZ-85353/157722631_zpid/
Coming soon,108 S Morning Ridge Dr,Gilbert,AZ,85296,"$329,000","4 bds , 3 ba , 2,360 sqft",,https://www.zillow.com/homedetails/108-S-Morning-Ridge-Dr-Gilbert-AZ-85296/8239621_zpid/
Condo for sale,2992 N Miller Rd UNIT 206A,SCOTTSDALE,AZ,85251,"$250,000","2 bds , 2 ba , 1,088 sqft",,https://www.zillow.com/homedetails/2992-N-Miller-Rd-UNIT-206A-Scottsdale-AZ-85251/7574021_zpid/
House for sale,12801 N 140th Dr,SURPRISE,AZ,85379,"$265,000","4 bds , 2 ba , 2,065 sqft",,https://www.zillow.com/homedetails/12801-N-140th-Dr-Surprise-AZ-85379/67795352_zpid/
House for sale,5916 W Dublin Ct,CHANDLER,AZ,85226,"$355,900","4 bds , 2 ba , 2,085 sqft",,https://www.zillow.com/homedetails/5916-W-Dublin-Ct-Chandler-AZ-85226/8261923_zpid/
House for sale,6671 S Crestview Dr,Gilbert,AZ,85298,"$484,500","4 bds , 3 ba , 3,108 sqft",,https://www.zillow.com/homedetails/6671-S-Crestview-Dr-Gilbert-AZ-85298/59261831_zpid/
House for sale,20173 E Estrella Rd,Queen Creek,AZ,85142,"$503,900","6 bds , 6 ba , 4,402 sqft",,https://www.zillow.com/homedetails/20173-E-Estrella-Rd-Queen-Creek-AZ-85142/121855765_zpid/
House for sale,16132 N 99th Pl,SCOTTSDALE,AZ,85260,"$498,900","3 bds , 2 ba , 2,311 sqft",,https://www.zillow.com/homedetails/16132-N-99th-Pl-Scottsdale-AZ-85260/59267495_zpid/
Townhouse for sale,240 W Missouri Ave UNIT 12,Phoenix,AZ,85013,"$574,000","3 bds , 3 ba , 1,974 sqft",,https://www.zillow.com/homedetails/240-W-Missouri-Ave-UNIT-12-Phoenix-AZ-85013/157723272_zpid/
House for sale,15809 E Cholla Dr,FOUNTAIN HILLS,AZ,85268,"$450,000","4 bds , 3 ba , 2,415 sqft",,https://www.zillow.com/homedetails/15809-E-Cholla-Dr-Fountain-Hills-AZ-85268/7875152_zpid/
House for sale,13746 W Lisbon Ln,Surprise,AZ,85379,"$300,000","4 bds , 3 ba , 3,077 sqft",,https://www.zillow.com/homedetails/13746-W-Lisbon-Ln-Surprise-AZ-85379/62737883_zpid/
House for sale,1142 N Saint Elena St,Gilbert,AZ,85234,"$364,900","4 bds , 3 ba , 2,513 sqft",,https://www.zillow.com/homedetails/1142-N-Saint-Elena-St-Gilbert-AZ-85234/8248070_zpid/
House for sale,8046 W Laurel Ln,PEORIA,AZ,85345,"$219,500","3 bds , 2 ba , 1,262 sqft",,https://www.zillow.com/homedetails/8046-W-Laurel-Ln-Peoria-AZ-85345/7680756_zpid/
House for sale,14856 W Laurel Ln,Surprise,AZ,85379,"$274,000","4 bds , 3 ba , 2,618 sqft",,https://www.zillow.com/homedetails/14856-W-Laurel-Ln-Surprise-AZ-85379/60999913_zpid/
House for sale,21796 S 220th Pl,Queen Creek,AZ,85142,"$370,000","3 bds , 3 ba , 2,302 sqft",,https://www.zillow.com/homedetails/21796-S-220th-Pl-Queen-Creek-AZ-85142/95074787_zpid/
House for sale,5483 S Cardinal St,GILBERT,AZ,85298,"$531,000","5 bds , 4 ba , 4,065 sqft",,https://www.zillow.com/homedetails/5483-S-Cardinal-St-Gilbert-AZ-85298/89026755_zpid/
