title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,10945 Parker Vista Pl,Parker,CO,80138,"$485,000","4 bds , 4 ba , 3,385 sqft",,https://www.zillow.com/homedetails/10945-Parker-Vista-Pl-Parker-CO-80138/13472246_zpid/
House for sale,2451 S Espana Ct,Aurora,CO,80013,"$405,000","4 bds , 3 ba , 2,414 sqft",,https://www.zillow.com/homedetails/2451-S-Espana-Ct-Aurora-CO-80013/54643659_zpid/
Townhouse for sale,4883 Raven Run,Broomfield,CO,80023,"$450,000","3 bds , 4 ba , 2,703 sqft",,https://www.zillow.com/homedetails/4883-Raven-Run-Broomfield-CO-80023/82262572_zpid/
Coming soon,4433 Tumbleweed Dr,Brighton,CO,80601,"$404,000","6 bds , 4 ba , 2,566 sqft",,https://www.zillow.com/homedetails/4433-Tumbleweed-Dr-Brighton-CO-80601/61505194_zpid/
Coming soon,4301 S Pierce St APT 7B,Denver,CO,80123,"$307,000","2 bds , 3 ba , 1,311 sqft",,https://www.zillow.com/homedetails/4301-S-Pierce-St-APT-7B-Denver-CO-80123/13432348_zpid/
House for sale,3065 White Peaks Ct,Castle Rock,CO,80104,"$545,000","4 bds , 3 ba , 3,489 sqft",,https://www.zillow.com/homedetails/3065-White-Peaks-Ct-Castle-Rock-CO-80104/82025244_zpid/
House for sale,3455 White Oak Ln,Highlands Ranch,CO,80129,"$585,000","4 bds , 3 ba , 3,572 sqft",,https://www.zillow.com/homedetails/3455-White-Oak-Ln-Highlands-Ranch-CO-80129/13450534_zpid/
Coming soon,157 S Lindsey St,Castle Rock,CO,80104,"$355,000","3 bds , 3 ba , 2,019 sqft",,https://www.zillow.com/homedetails/157-S-Lindsey-St-Castle-Rock-CO-80104/13494894_zpid/
Coming soon,10139 Hudson St,Thornton,CO,80229,"$316,000","3 bds , 2 ba , 1,470 sqft",,https://www.zillow.com/homedetails/10139-Hudson-St-Thornton-CO-80229/13005422_zpid/
House for sale,1220 Watson Divide Rd,Snowmass,CO,81654,"$50,000,000","7 bds , 11 ba , 18,000 sqft",Aspen Snowmass Sotheby's International Realty,https://www.zillow.com/homedetails/1220-Watson-Divide-Rd-Snowmass-CO-81654/66695242_zpid/
