title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,21 Vista Dr,GREENWICH,CT,06830,"$45,000,000","8 bds , 13 ba , 19,773 sqft",Coldwell Banker Residential Brokerage - Greenwich Office,https://www.zillow.com/homedetails/21-Vista-Dr-Greenwich-CT-06830/57309085_zpid/
House for sale,15 Meadowcroft Ln,Greenwich,CT,06830,"$18,750,000","6 bds , 12 ba , 12,682 sqft",,https://www.zillow.com/homedetails/15-Meadowcroft-Ln-Greenwich-CT-06830/240525086_zpid/
House for sale,1023 Northrop Rd,WALLINGFORD,CT,06492,"$319,900","4 bds , 3 ba , 2,578 sqft",,https://www.zillow.com/homedetails/1023-Northrop-Rd-Wallingford-CT-06492/57996688_zpid/
Foreclosure,52 Shingle Mill Rd,Salem,CT,06420,"$195,000","3 bds , 4 ba , 2,372 sqft",,https://www.zillow.com/homedetails/52-Shingle-Mill-Rd-Salem-CT-06420/58982578_zpid/
House for sale,48 Hamden Ave,Waterbury,CT,06704,"$64,900","3 bds , 4 ba , 1,188 sqft",,https://www.zillow.com/homedetails/48-Hamden-Ave-Waterbury-CT-06704/58010137_zpid/
House for sale,274 High Rd,Berlin,CT,06037,"$269,900","5 bds , 2 ba , 2,826 sqft",,https://www.zillow.com/homedetails/274-High-Rd-Berlin-CT-06037/57693375_zpid/
House for sale,25 Slater Rd,Glastonbury,CT,06033,"$289,000","4 bds , 3 ba , 2,284 sqft",,https://www.zillow.com/homedetails/25-Slater-Rd-Glastonbury-CT-06033/174064395_zpid/
House for sale,5 Jacob Dr,Wethersfield,CT,06109,"$369,900","3 bds , 3 ba , 2,318 sqft",,https://www.zillow.com/homedetails/5-Jacob-Dr-Wethersfield-CT-06109/61307652_zpid/
House for sale,1601 Glasgo Rd,Griswold,CT,06351,"$107,000","3 bds , 2 ba , 1,050 sqft",,https://www.zillow.com/homedetails/1601-Glasgo-Rd-Griswold-CT-06351/58053357_zpid/
House for sale,17 Cotswold Way,AVON,CT,06001,"$369,900","4 bds , 4 ba , 3,239 sqft",,https://www.zillow.com/homedetails/17-Cotswold-Way-Avon-CT-06001/59045226_zpid/
House for sale,1335 Brooklawn Ave,FAIRFIELD,CT,06825,"$279,900","3 bds , 1 ba , 1,321 sqft",Coldwell Banker Residential Brokerage - Trumbull  Office,https://www.zillow.com/homedetails/1335-Brooklawn-Ave-Fairfield-CT-06825/57289125_zpid/
House for sale,2 Heritage Ct,Westport,CT,06880,"$549,000","3 bds , 3 ba , 1,824 sqft",,https://www.zillow.com/homedetails/2-Heritage-Ct-Westport-CT-06880/177215102_zpid/
House for sale,5 Hedley Farms Rd,Westport,CT,06880,"$14,000,000","8 bds , 12 ba , 13,397 sqft",,https://www.zillow.com/homedetails/5-Hedley-Farms-Rd-Westport-CT-06880/177223017_zpid/
House for sale,1 Carol Ann Dr,NEWTOWN,CT,06470,"$334,900","3 bds , 2 ba , 1,978 sqft",,https://www.zillow.com/homedetails/1-Carol-Ann-Dr-Newtown-CT-06470/57335869_zpid/
House for sale,27 Rock Ridge Rd,SHELTON,CT,06484,"$449,900","4 bds , 3 ba , 2,810 sqft",,https://www.zillow.com/homedetails/27-Rock-Ridge-Rd-Shelton-CT-06484/57350541_zpid/
House for sale,80 Windy Hill Rd,MILFORD,CT,06461,"$279,900","4 bds , 2 ba , 2,708 sqft",Coldwell Banker Residential Brokerage - Milford Office,https://www.zillow.com/homedetails/80-Windy-Hill-Rd-Milford-CT-06461/58919868_zpid/
House for sale,124 Old Mill Rd,GREENWICH,CT,06831,"$19,950,000","8 bds , 14 ba , 15,862 sqft",Sotheby's International Realty - Greenwich Brokerage,https://www.zillow.com/homedetails/124-Old-Mill-Rd-Greenwich-CT-06831/57310828_zpid/
House for sale,167 Pearl Lake Rd,Waterbury,CT,06706,"$115,000","3 bds , 2 ba , 1,200 sqft",,https://www.zillow.com/homedetails/167-Pearl-Lake-Rd-Waterbury-CT-06706/58023787_zpid/
House for sale,11 Mill River Dr,Stratford,CT,06614,"$280,000","3 bds , 2 ba , 1,580 sqft",,https://www.zillow.com/homedetails/11-Mill-River-Dr-Stratford-CT-06614/58833518_zpid/
House for sale,241 Thunder Lake Rd,Wilton,CT,06897,"$479,000","4 bds , 3 ba , 2,652 sqft",,https://www.zillow.com/homedetails/241-Thunder-Lake-Rd-Wilton-CT-06897/57418792_zpid/
Apartment for sale,930 Lake Dr,Guilford,CT,06437,"$139,900","5 bds , 2 ba , 2,818 sqft",William Pitt Sotheby's International Realty,https://www.zillow.com/homedetails/930-Lake-Dr-Guilford-CT-06437/58898581_zpid/
Co-op for sale,365 Court D BLDG 49,Bridgeport,CT,06610,"$54,950","3 bds , 2 ba , 1,100 sqft",,https://www.zillow.com/homedetails/365-Court-D-BLDG-49-Bridgeport-CT-06610/2086806441_zpid/
