title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,41 Arvida Pkwy,Coral Gables,FL,33156,"$68,000,000","9 bds , 12 ba , 14,000 sqft",,https://www.zillow.com/homedetails/41-Arvida-Pkwy-Coral-Gables-FL-33156/111100517_zpid/
House for sale,23615 Valderama Ln,SORRENTO,FL,32776,"$289,900","4 bds , 3 ba , 2,447 sqft",,https://www.zillow.com/homedetails/23615-Valderama-Ln-Sorrento-FL-32776/82416891_zpid/
House for sale,4163 SW Gleneagle Cir,PALM CITY,FL,34990,"$75,000","3 bds , 2.5 ba , 2,220 sqft",,https://www.zillow.com/homedetails/4163-SW-Gleneagle-Cir-Palm-City-FL-34990/45688173_zpid/
House for sale,2388 NW 67th St,Boca Raton,FL,33496,"$149,000","3 bds , 3 ba , 3,011 sqft",,https://www.zillow.com/homedetails/2388-NW-67th-St-Boca-Raton-FL-33496/46699348_zpid/
House for sale,7972 Mandarin Dr,BOCA RATON,FL,33433,"$299,950","4 bds , 5 ba , 4,945 sqft",,https://www.zillow.com/homedetails/7972-Mandarin-Dr-Boca-Raton-FL-33433/46646305_zpid/
Condo for sale,7677 Glendevon Ln APT 1706,DELRAY BEACH,FL,33446,"$39,900","2 bds , 2 ba , 1,425 sqft",,https://www.zillow.com/homedetails/7677-Glendevon-Ln-APT-1706-Delray-Beach-FL-33446/46612819_zpid/
House for sale,12321 Fort King Hwy,THONOTOSASSA,FL,33592,"$22,000,000","8 bds , 26 ba , 36,361 sqft",,https://www.zillow.com/homedetails/12321-Fort-King-Hwy-Thonotosassa-FL-33592/44962942_zpid/
House for sale,15364 SW 23rd Court Rd,Ocala,FL,34473,"$90,000","4 bds , 3 ba , 2,298 sqft",,https://www.zillow.com/homedetails/15364-SW-23rd-Court-Rd-Ocala-FL-34473/45922177_zpid/
Foreclosure,7675 Dahlia Ct,WEST PALM BEACH,FL,33412,"$99,000","3 bds , 2 ba , 1,705 sqft",,https://www.zillow.com/homedetails/7675-Dahlia-Ct-West-Palm-Beach-FL-33412/46917665_zpid/
House for sale,1071 N Ocean Blvd,PALM BEACH,FL,33480,"$59,900,000","7 bds , 16 ba , 35,993 sqft",,https://www.zillow.com/homedetails/1071-N-Ocean-Blvd-Palm-Beach-FL-33480/46842687_zpid/
Home for sale,5748 Wandering Trl,Jacksonville,FL,32219,"$189,000","4 bds , 2 ba , 1,848 sqft",,https://www.zillow.com/homedetails/5748-Wandering-Trl-Jacksonville-FL-32219/44405286_zpid/
Foreclosure,10427 Stonebridge Blvd,BOCA RATON,FL,33498,"$324,900","4 bds , 3 ba , 2,913 sqft",,https://www.zillow.com/homedetails/10427-Stonebridge-Blvd-Boca-Raton-FL-33498/46499111_zpid/
House for sale,9927 Giffin Ct,Windermere,FL,34786,"$21,990,000","12 bds , 15 ba , 31,000 sqft",,https://www.zillow.com/homedetails/9927-Giffin-Ct-Windermere-FL-34786/46138336_zpid/
House for sale,11224 Moonshine Creek Cir,ORLANDO,FL,32825,"$269,000","4 bds , 2 ba , 1,639 sqft",,https://www.zillow.com/homedetails/11224-Moonshine-Creek-Cir-Orlando-FL-32825/58340757_zpid/
House for sale,10129 Spyglass Way,BOCA RATON,FL,33498,"$289,000","3 bds , 3 ba , 2,314 sqft",,https://www.zillow.com/homedetails/10129-Spyglass-Way-Boca-Raton-FL-33498/46499494_zpid/
Foreclosure,1840 Sylvan Dr,Clearwater,FL,33755,"$69,400","3 bds , 2 ba , 1,126 sqft",,https://www.zillow.com/homedetails/1840-Sylvan-Dr-Clearwater-FL-33755/46962305_zpid/
Home for sale,2113 Congressional Dr,Orlando,FL,32826,"$25,500","2 bds , 2 ba , 1,248 sqft",,https://www.zillow.com/homedetails/2113-Congressional-Dr-Orlando-FL-32826/2087726803_zpid/
House for sale,10528 Bermuda Isle Dr,TAMPA,FL,33647,"$528,999","6 bds , 5 ba , 3,473 sqft",,https://www.zillow.com/homedetails/10528-Bermuda-Isle-Dr-Tampa-FL-33647/68576225_zpid/
Foreclosure,2489 NW 64th St,Boca Raton,FL,33496,"$199,900","3 bds , 3 ba , 2,645 sqft",,https://www.zillow.com/homedetails/2489-NW-64th-St-Boca-Raton-FL-33496/46698821_zpid/
House for sale,(undisclosed Address),Palm Beach,FL,33480,"$61,500,000","7 bds , 14 ba , 22,975 sqft",Sotheby's International Realty - Palm Beach Brokerage,https://www.zillow.com/homedetails/(undisclosed-Address)-Palm-Beach-FL-33480/2109520304_zpid/
Condo for sale,8025 Glen Abbey Cir,FORT MYERS,FL,33912,"$129,900","3 bds , 3 ba , 1,807 sqft",,https://www.zillow.com/homedetails/8025-Glen-Abbey-Cir-Fort-Myers-FL-33912/45538741_zpid/
House for sale,15031 Cedar Branch Way,Orlando,FL,32824,"$349,900","4 bds , 4 ba , 2,641 sqft",,https://www.zillow.com/homedetails/15031-Cedar-Branch-Way-Orlando-FL-32824/71065703_zpid/
Condo for sale,16020 Loch Katrine Trl APT 7904,DELRAY BEACH,FL,33446,"$119,999","3 bds , 3 ba , 2,025 sqft",,https://www.zillow.com/homedetails/16020-Loch-Katrine-Trl-APT-7904-Delray-Beach-FL-33446/46613445_zpid/
Foreclosure,11156 Clover Leaf Cir,BOCA RATON,FL,33428,"$89,900","2 bds , 2 ba , 2,035 sqft",,https://www.zillow.com/homedetails/11156-Clover-Leaf-Cir-Boca-Raton-FL-33428/46507630_zpid/
House for sale,2750 Gordon Dr,Naples,FL,34102,"$42,500,000","6 bds , 14 ba , 18,172 sqft",,https://www.zillow.com/homedetails/2750-Gordon-Dr-Naples-FL-34102/43731180_zpid/
Coming soon,11080 Summerspring Lakes Dr,ORLANDO,FL,32825,"$434,900","5 bds , 4 ba , 3,033 sqft",,https://www.zillow.com/homedetails/11080-Summerspring-Lakes-Dr-Orlando-FL-32825/54435712_zpid/
House for sale,12310 Harbour Ridge Blvd,PALM CITY,FL,34990,"$95,000","3 bds , 3 ba , 1,723 sqft",,https://www.zillow.com/homedetails/12310-Harbour-Ridge-Blvd-Palm-City-FL-34990/47858479_zpid/
House for sale,4976 Castle St W,Kissimmee,FL,34758,"$234,950","5 bds , 4 ba , 2,656 sqft",,https://www.zillow.com/homedetails/4976-Castle-St-W-Kissimmee-FL-34758/82102635_zpid/
House for sale,6360/6342 N Bay Rd,Miami Beach,FL,33141,"$44,500,000","12 bds , 17 ba , 13,220 sqft",,https://www.zillow.com/homedetails/6360-6342-N-Bay-Rd-Miami-Beach-FL-33141/2086323745_zpid/
House for sale,2412 S Red Rd,Miami,FL,33155,"$598,000","3 bds , 2 ba , 1,911 sqft",,https://www.zillow.com/homedetails/2412-S-Red-Rd-Miami-FL-33155/44188377_zpid/
House for sale,8671 SW 17th Ave,STUART,FL,34997,$1,"4 bds , 3 ba , 2,166 sqft",,https://www.zillow.com/homedetails/8671-SW-17th-Ave-Stuart-FL-34997/54565163_zpid/
New construction,1625 S Miami Ave,Miami,FL,33129,"$1,399,777","6 bds , 11 ba , 5,500 sqft",,https://www.zillow.com/homedetails/1625-S-Miami-Ave-Miami-FL-33129/43866473_zpid/
House for sale,2517 NW 53rd St,BOCA RATON,FL,33496,"$150,000","3 bds , 3 ba , 2,401 sqft",,https://www.zillow.com/homedetails/2517-NW-53rd-St-Boca-Raton-FL-33496/46700056_zpid/
House for sale,3966 Distant Moon Ct,Jacksonville,FL,32210,"$250,000","4 bds , 3 ba , 2,831 sqft","Coldwell Banker Vanguard Realty, Inc.",https://www.zillow.com/homedetails/3966-Distant-Moon-Ct-Jacksonville-FL-32210/44416214_zpid/
House for sale,11646 Wynnfield Lakes Cir,Jacksonville,FL,32246,"$225,000","4 bds , 3 ba , 2,985 sqft",,https://www.zillow.com/homedetails/11646-Wynnfield-Lakes-Cir-Jacksonville-FL-32246/109747536_zpid/
