title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5358 Thornapple Ln NW,Acworth,GA,30101,"$452,850","5 bds , 5 ba , 3,512 sqft",,https://www.zillow.com/homedetails/5358-Thornapple-Ln-NW-Acworth-GA-30101/14386183_zpid/
House for sale,1499 Ridgewood Pl,Lawrenceville,GA,30043,"$266,770","4 bds , 3 ba , 2,517 sqft",,https://www.zillow.com/homedetails/1499-Ridgewood-Pl-Lawrenceville-GA-30043/14810303_zpid/
House for sale,219 Crescent Moon Way,Canton,GA,30114,"$393,460","5 bds , 5 ba , 4,139 sqft",,https://www.zillow.com/homedetails/219-Crescent-Moon-Way-Canton-GA-30114/60041174_zpid/
House for sale,1707 Glen Echo Way,Marietta,GA,30062,"$389,000","4 bds , 4 ba , 3,407 sqft",,https://www.zillow.com/homedetails/1707-Glen-Echo-Way-Marietta-GA-30062/60154374_zpid/
House for sale,145 Palmer Oaks Ln,Marietta,GA,30068,"$589,160","5 bds , 5 ba , 4,264 sqft",,https://www.zillow.com/homedetails/145-Palmer-Oaks-Ln-Marietta-GA-30068/80422198_zpid/
House for sale,3220 Maple Terrace Dr,Suwanee,GA,30024,"$306,960","5 bds , 3 ba , 2,707 sqft",,https://www.zillow.com/homedetails/3220-Maple-Terrace-Dr-Suwanee-GA-30024/14827512_zpid/
House for sale,260 Wood Shoals Ct,Alpharetta,GA,30022,"$439,810","5 bds , 4 ba , 2,491 sqft",,https://www.zillow.com/homedetails/260-Wood-Shoals-Ct-Alpharetta-GA-30022/14649027_zpid/
House for sale,2650 Royston Dr,Duluth,GA,30097,"$347,500","5 bds , 4 ba , 2,948 sqft",,https://www.zillow.com/homedetails/2650-Royston-Dr-Duluth-GA-30097/80170649_zpid/
House for sale,2660 Nesbit Trl,Alpharetta,GA,30022,"$440,000","6 bds , 4 ba , 3,235 sqft",,https://www.zillow.com/homedetails/2660-Nesbit-Trl-Alpharetta-GA-30022/14676515_zpid/
House for sale,5929 Farmcrest Pt SE,Mableton,GA,30126,"$274,960","5 bds , 4 ba , 3,175 sqft",,https://www.zillow.com/homedetails/5929-Farmcrest-Pt-SE-Mableton-GA-30126/60158359_zpid/
Condo for sale,190 Blessing Way,Roswell,GA,30075,"$160,680","3 bds , 3 ba , 1,120 sqft",,https://www.zillow.com/homedetails/190-Blessing-Way-Roswell-GA-30075/71755521_zpid/
House for sale,1123 Silverbrooke Dr,Powder Springs,GA,30127,"$251,180","4 bds , 3 ba , 2,424 sqft",,https://www.zillow.com/homedetails/1123-Silverbrooke-Dr-Powder-Springs-GA-30127/87683304_zpid/
Coming soon,2807 Parliament Cir,Marietta,GA,30066,"$276,040","4 bds , 4 ba , 2,334 sqft",,https://www.zillow.com/homedetails/2807-Parliament-Cir-Marietta-GA-30066/14254534_zpid/
House for sale,894 Steffi Ct,Lawrenceville,GA,30044,"$210,000","3 bds , 2 ba , 1,663 sqft",,https://www.zillow.com/homedetails/894-Steffi-Ct-Lawrenceville-GA-30044/14801227_zpid/
Condo for sale,2074 River Heights Walk SE,Marietta,GA,30067,"$166,860","2 bds , 2 ba , 933 sqft",,https://www.zillow.com/homedetails/2074-River-Heights-Walk-SE-Marietta-GA-30067/14321156_zpid/
Apartment for sale,4110 Paces Ferry Rd NW,Atlanta,GA,30327,"$21,000,000","7 bds , 14 ba , 34,688 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/4110-Paces-Ferry-Rd-NW-Atlanta-GA-30327/82617438_zpid/
Coming soon,250 Manous Way,Canton,GA,30115,"$257,500","4 bds , 3 ba , 2,316 sqft",,https://www.zillow.com/homedetails/250-Manous-Way-Canton-GA-30115/88798089_zpid/
