title,address,city,state,postal_code,price,facts and features,real estate provider,url
For sale by owner,2416 Maryland Pike,Des Moines,IA,50310,"$185,000","3 bds , 3 ba , 1,164 sqft",,https://www.zillow.com/homedetails/2416-Maryland-Pike-Des-Moines-IA-50310/805966_zpid/
House for sale,4130 Riverside Dr NE,CEDAR RAPIDS,IA,52411,"$189,000","3 bds , 2 ba , 1,644 sqft",,https://www.zillow.com/homedetails/4130-Riverside-Dr-NE-Cedar-Rapids-IA-52411/73077270_zpid/
House for sale,2613 33rd St,Des Moines,IA,50310,"$184,900","3 bds , 2 ba , 1,279 sqft",,https://www.zillow.com/homedetails/2613-33rd-St-Des-Moines-IA-50310/806896_zpid/
For sale by owner,6180 Ashworth Rd,WEST DES MOINES,IA,50266,"$274,900","4 bds , 3 ba , 2,164 sqft",,https://www.zillow.com/homedetails/6180-Ashworth-Rd-West-Des-Moines-IA-50266/61676001_zpid/
House for sale,1501 Pioneer Rd,Des Moines,IA,50320,"$155,000","4 bds , 2 ba , 1,784 sqft",,https://www.zillow.com/homedetails/1501-Pioneer-Rd-Des-Moines-IA-50320/765557_zpid/
For sale by owner,117 NW Cedarwood Dr,Ankeny,IA,50023,"$285,000","3 bds , 3 ba , 2,710 sqft",,https://www.zillow.com/homedetails/117-NW-Cedarwood-Dr-Ankeny-IA-50023/829020_zpid/
House for sale,15905 Boston Pkwy,CLIVE,IA,50325,"$340,000","5 bds , 4 ba , 3,156 sqft",,https://www.zillow.com/homedetails/15905-Boston-Pkwy-Clive-IA-50325/61668413_zpid/
House for sale,1800 26th St,Des Moines,IA,50310,"$150,000","2 bds , 1 ba , 1,303 sqft","Coldwell Banker Mid-America Group, Realtors",https://www.zillow.com/homedetails/1800-26th-St-Des-Moines-IA-50310/792561_zpid/
House for sale,1716 Linden Ave,Cedar Falls,IA,50613,"$213,900","3 bds , 2 ba , 2,080 sqft",,https://www.zillow.com/homedetails/1716-Linden-Ave-Cedar-Falls-IA-50613/76669217_zpid/
House for sale,805 74th St NE,CEDAR RAPIDS,IA,52402,"$175,000","3 bds , 3 ba , 1,583 sqft",,https://www.zillow.com/homedetails/805-74th-St-NE-Cedar-Rapids-IA-52402/73048455_zpid/
For sale by owner,1705 Fox Trail Dr NE,CEDAR RAPIDS,IA,52402,"$215,000","3 bds , 3 ba , 1,812 sqft",,https://www.zillow.com/homedetails/1705-Fox-Trail-Dr-NE-Cedar-Rapids-IA-52402/73047024_zpid/
House for sale,2701 SE 7th St,Des Moines,IA,50315,"$179,500","4 bds , 3 ba , 1,386 sqft",,https://www.zillow.com/homedetails/2701-SE-7th-St-Des-Moines-IA-50315/68174507_zpid/
For sale by owner,5400 SW 17th St,Des Moines,IA,50315,"$150,000","3 bds , 2 ba , 1,088 sqft",,https://www.zillow.com/homedetails/5400-SW-17th-St-Des-Moines-IA-50315/815992_zpid/
For sale by owner,4222 Woodlawn Dr,Des Moines,IA,50312,"$685,000","4 bds , 3 ba , 3,595 sqft",,https://www.zillow.com/homedetails/4222-Woodlawn-Dr-Des-Moines-IA-50312/795566_zpid/
House for sale,1848 NW 90th St,Clive,IA,50325,"$262,500","3 bds , 3 ba , 1,360 sqft",,https://www.zillow.com/homedetails/1848-NW-90th-St-Clive-IA-50325/847331_zpid/
For sale by owner,4730 Ingersoll Ave,Des Moines,IA,50312,"$278,000","3 bds , 2 ba , 1,575 sqft",,https://www.zillow.com/homedetails/4730-Ingersoll-Ave-Des-Moines-IA-50312/796395_zpid/
House for sale,324 E Hughes Ave,Des Moines,IA,50315,"$159,900","4 bds , 3 ba , 1,906 sqft",Better Homes and Gardens Real Estate Innovations,https://www.zillow.com/homedetails/324-E-Hughes-Ave-Des-Moines-IA-50315/766456_zpid/
House for sale,2011 Merklin Way,Des Moines,IA,50310,"$179,900","2 bds , 2 ba , 1,295 sqft","Coldwell Banker Mid-America Group, Realtors",https://www.zillow.com/homedetails/2011-Merklin-Way-Des-Moines-IA-50310/800864_zpid/
House for sale,4 Hillcrest Dr,CLINTON,IA,52732,"$288,900","6 bds , 5 ba , 7,058 sqft",,https://www.zillow.com/homedetails/4-Hillcrest-Dr-Clinton-IA-52732/76724959_zpid/
House for sale,1913 Meadow Ridge Ln,IOWA CITY,IA,52245,"$280,000","5 bds , 5 ba , 2,340 sqft",,https://www.zillow.com/homedetails/1913-Meadow-Ridge-Ln-Iowa-City-IA-52245/93866031_zpid/
