title,address,city,state,postal_code,price,facts and features,real estate provider,url
Townhouse for sale,876 S Phillippi St,Boise,ID,83705,"$170,000","2 bds , 2 ba , 1,026 sqft",,https://www.zillow.com/homedetails/876-S-Phillippi-St-Boise-ID-83705/79691428_zpid/
House for sale,1302 N 20th St,Boise,ID,83702,"$315,000","2 bds , 1 ba , 831 sqft",Coldwell Banker Tomlinson Group,https://www.zillow.com/homedetails/1302-N-20th-St-Boise-ID-83702/79689607_zpid/
For sale by owner,5251 N Blue Ash Pl,Boise,ID,83713,"$379,900","5 bds , 3 ba , 2,829 sqft",,https://www.zillow.com/homedetails/5251-N-Blue-Ash-Pl-Boise-ID-83713/79600823_zpid/
House for sale,3737 E Jump Creek Ln,Boise,ID,83716,"$319,500","3 bds , 2 ba , 1,415 sqft",,https://www.zillow.com/homedetails/3737-E-Jump-Creek-Ln-Boise-ID-83716/83173859_zpid/
House for sale,1611 N 19th St,Boise,ID,83702,"$489,900","3 bds , 2 ba , 1,698 sqft",Group One Sotheby's International Realty,https://www.zillow.com/homedetails/1611-N-19th-St-Boise-ID-83702/79628096_zpid/
House for sale,1391 N Midtown St,Meridian,ID,83642,"$277,000","3 bds , 2 ba , 1,878 sqft",Coldwell Banker Tomlinson Group,https://www.zillow.com/homedetails/1391-N-Midtown-St-Meridian-ID-83642/79660185_zpid/
House for sale,6381 E Wild Horse Ln,Boise,ID,83712,"$3,100,000","5 bds , 8 ba , 10,757 sqft",Group One Sotheby's International Realty,https://www.zillow.com/homedetails/6381-E-Wild-Horse-Ln-Boise-ID-83712/82790848_zpid/
House for sale,2318 Malibu Dr,IDAHO FALLS,ID,83404,"$340,000","5 bds , 3 ba , 3,866 sqft",,https://www.zillow.com/homedetails/2318-Malibu-Dr-Idaho-Falls-ID-83404/76917813_zpid/
House for sale,6 Paloma Dr,BOISE,ID,83716,"$235,000","3 bds , 2 ba , 1,204 sqft",,https://www.zillow.com/homedetails/6-Paloma-Dr-Boise-ID-83716/89918849_zpid/
House for sale,1118 W Teton Ave,Nampa,ID,83686,"$179,900","3 bds , 2 ba , 1,102 sqft",,https://www.zillow.com/homedetails/1118-W-Teton-Ave-Nampa-ID-83686/72350891_zpid/
Home for sale,421 S Curtis Rd LOT 312,Boise,ID,83705,"$225,000","3 bds , 2 ba , 2,241 sqft",,https://www.zillow.com/homedetails/421-S-Curtis-Rd-LOT-312-Boise-ID-83705/190076998_zpid/
