title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1932 N Burling St,CHICAGO,IL,60614,"$45,000,000","6 bds , 11 ba , 25,000 sqft",Jameson Sotheby's International Realty,https://www.zillow.com/homedetails/1932-N-Burling-St-Chicago-IL-60614/101327119_zpid/
House for sale,2700 Point Dr,Highland Park,IL,60035,"$14,855,000","9 bds , 19 ba , 32,683 sqft",,https://www.zillow.com/homedetails/2700-Point-Dr-Highland-Park-IL-60035/4902463_zpid/
House for sale,915 N Dearborn St,Chicago,IL,60610,"$21,900,000","6 bds , 7 ba , 13,400 sqft",Coldwell Banker Residential Brokerage - Gold Coast,https://www.zillow.com/homedetails/915-N-Dearborn-St-Chicago-IL-60610/2142522474_zpid/
House for sale,7 Fox Hunt Rd,Barrington,IL,60010,"$14,888,000","8 bds , 14 ba , 30,000 sqft",Jameson Sotheby's International Realty,https://www.zillow.com/homedetails/7-Fox-Hunt-Rd-Barrington-IL-60010/5090080_zpid/
House for sale,11845 Love Rd,ROSCOE,IL,61073,"$119,900","4 bds , 3 ba , 1,734 sqft",,https://www.zillow.com/homedetails/11845-Love-Rd-Roscoe-IL-61073/5497969_zpid/
House for sale,77 Stone Gate Ln,Lake Forest,IL,60045,"$12,000,000","6 bds , 8 ba , 8,865 sqft",,https://www.zillow.com/homedetails/77-Stone-Gate-Ln-Lake-Forest-IL-60045/4857912_zpid/
Condo for sale,3500 N Lake Shore Dr APT 2A,Chicago,IL,60657,"$220,000","3 bds , 3 ba , 2,500 sqft",Jameson Sotheby's International Realty,https://www.zillow.com/homedetails/3500-N-Lake-Shore-Dr-APT-2A-Chicago-IL-60657/2136379399_zpid/
House for sale,28W660 Perkins Ct,NAPERVILLE,IL,60564,"$5,890,000","6 bds , 10 ba , 21,805 sqft",,https://www.zillow.com/homedetails/28W660-Perkins-Ct-Naperville-IL-60564/5365662_zpid/
House for sale,1521 N State Pkwy,CHICAGO,IL,60610,"$10,300,000","7 bds , 8 ba , 9,700 sqft",,https://www.zillow.com/homedetails/1521-N-State-Pkwy-Chicago-IL-60610/3842856_zpid/
Condo for sale,235 W Van Buren St UNIT 2108,Chicago,IL,60607,"$149,620","1 bd , 1 ba , 590 sqft",,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-2108-Chicago-IL-60607/2085560529_zpid/
Condo for sale,3001 S Michigan Ave UNIT 1202,Chicago,IL,60616,"$169,900","2 bds , 2 ba , 1,100 sqft",,https://www.zillow.com/homedetails/3001-S-Michigan-Ave-UNIT-1202-Chicago-IL-60616/2086227433_zpid/
House for sale,5137 W Berenice Ave,CHICAGO,IL,60641,"$375,000","3 bds , 2 ba , 2,118 sqft",,https://www.zillow.com/homedetails/5137-W-Berenice-Ave-Chicago-IL-60641/3663325_zpid/
New construction,1241 N State Pkwy,CHICAGO,IL,60610,"$7,250,000","6 bds , 7 ba , 7,430 sqft",,https://www.zillow.com/homedetails/1241-N-State-Pkwy-Chicago-IL-60610/3844924_zpid/
House for sale,315 N Prairie St,BLOOMINGTON,IL,61701,"$125,000","2 bds , 2 ba , 2,712 sqft",,https://www.zillow.com/homedetails/315-N-Prairie-St-Bloomington-IL-61701/76983815_zpid/
House for sale,321 Homestead Dr,Bolingbrook,IL,60440,"$179,900","3 bds , 2 ba , 1,550 sqft",,https://www.zillow.com/homedetails/321-Homestead-Dr-Bolingbrook-IL-60440/5402678_zpid/
House for sale,608 Morgan St,JOLIET,IL,60436,"$79,900","5 bds , 2 ba , 3,280 sqft",,https://www.zillow.com/homedetails/608-Morgan-St-Joliet-IL-60436/5486083_zpid/
House for sale,457 Lilac Ln,ELK GROVE VILLAGE,IL,60007,"$265,000","4 bds , 2 ba , 1,400 sqft",,https://www.zillow.com/homedetails/457-Lilac-Ln-Elk-Grove-Village-IL-60007/3460774_zpid/
Condo for sale,3900 N Lake Shore Dr APT 19A,CHICAGO,IL,60613,"$245,000","2 bds , 2 ba , 1,150 sqft",,https://www.zillow.com/homedetails/3900-N-Lake-Shore-Dr-APT-19A-Chicago-IL-60613/3713966_zpid/
Foreclosure,1107 W 61st St,Chicago,IL,60621,"$22,000","6 bds , 3 ba , 2,718 sqft",,https://www.zillow.com/homedetails/1107-W-61st-St-Chicago-IL-60621/2089725217_zpid/
House for sale,2163 N Oakley Ave,Chicago,IL,60647,"$2,990,000","6 bds , 5 ba , 5,963 sqft",,https://www.zillow.com/homedetails/2163-N-Oakley-Ave-Chicago-IL-60647/158599832_zpid/
House for sale,405 N Mayflower Rd,Lake Forest,IL,60045,"$8,950,000","10 bds , 11 ba , 24,500 sqft",,https://www.zillow.com/homedetails/405-N-Mayflower-Rd-Lake-Forest-IL-60045/4857805_zpid/
House for sale,1119 N 7th Ave,Maywood,IL,60153,"$70,000","3 bds , 2 ba , 1,875 sqft",,https://www.zillow.com/homedetails/1119-N-7th-Ave-Maywood-IL-60153/3745882_zpid/
House for sale,809 N Mclean St,Bloomington,IL,61701,"$125,000","5 bds , 3 ba , 4,019 sqft",,https://www.zillow.com/homedetails/809-N-Mclean-St-Bloomington-IL-61701/76983440_zpid/
House for sale,1100 Singleton Dr,ROSELLE,IL,60172,"$245,000","3 bds , 2 ba , 1,891 sqft",CENTURY 21 Lullo,https://www.zillow.com/homedetails/1100-Singleton-Dr-Roselle-IL-60172/4364262_zpid/
New construction,4143 N Tripp Ave,CHICAGO,IL,60641,"$1,825,000","6 bds , 7 ba , 6,700 sqft",Coldwell Banker Residential Brokerage - Lincoln Park Clybourn,https://www.zillow.com/homedetails/4143-N-Tripp-Ave-Chicago-IL-60641/3647711_zpid/
House for sale,809 Westfield Ln,SCHAUMBURG,IL,60193,"$349,900","4 bds , 3 ba , 2,655 sqft",,https://www.zillow.com/homedetails/809-Westfield-Ln-Schaumburg-IL-60193/3431437_zpid/
Co-op for sale,4850 S Lake Park Ave APT 301,Chicago,IL,60615,"$34,900","3 bds , 2 ba , 1,200 sqft",Coldwell Banker Residential Brokerage - Flossmoor,https://www.zillow.com/homedetails/4850-S-Lake-Park-Ave-APT-301-Chicago-IL-60615/2086110754_zpid/
House for sale,28 Sundance Rd,MATTESON,IL,60443,"$189,000","4 bds , 3 ba , 2,235 sqft",,https://www.zillow.com/homedetails/28-Sundance-Rd-Matteson-IL-60443/54543526_zpid/
House for sale,618 E 91st St,CHICAGO,IL,60619,"$178,000","3 bds , 3 ba , 1,250 sqft",,https://www.zillow.com/homedetails/618-E-91st-St-Chicago-IL-60619/4116516_zpid/
For sale by owner,1636 N. Wells #2008,Chicago,IL,60617,"$99,500","1 bd , 1 ba , 750 sqft",,https://www.zillow.com/homedetails/1636-N-Wells-2008-Chicago-IL-60617/2096208682_zpid/
House for sale,516 W Bottom Ave,COLUMBIA,IL,62236,"$149,900","3 bds , 1 ba , 1,500 sqft",,https://www.zillow.com/homedetails/516-W-Bottom-Ave-Columbia-IL-62236/5092107_zpid/
New construction,4952 S Champlain Ave,Chicago,IL,60615,"$580,000","5 bds , 4 ba , 3,762 sqft",Coldwell Banker Residential Brokerage - Hyde Park,https://www.zillow.com/homedetails/4952-S-Champlain-Ave-Chicago-IL-60615/2089687874_zpid/
House for sale,556 N Central Ave,CHICAGO,IL,60644,"$220,000","5 bds , 2 ba , 2,667 sqft",,https://www.zillow.com/homedetails/556-N-Central-Ave-Chicago-IL-60644/3807393_zpid/
House for sale,1450 Thoria Rd,Batavia,IL,60510,"$269,900","4 bds , 2 ba , 2,323 sqft",,https://www.zillow.com/homedetails/1450-Thoria-Rd-Batavia-IL-60510/4673836_zpid/
For sale by owner,305 Brooks Ave,JOLIET,IL,60435,"$195,000","2 bds , 2 ba , 1,752 sqft",,https://www.zillow.com/homedetails/305-Brooks-Ave-Joliet-IL-60435/5477629_zpid/
Condo for sale,1525 S Michigan Ave APT 108,Chicago,IL,60605,"$339,900","2 bds , 2 ba , 1,450 sqft",,https://www.zillow.com/homedetails/1525-S-Michigan-Ave-APT-108-Chicago-IL-60605/2087076073_zpid/
House for sale,722 39th St,DOWNERS GROVE,IL,60515,"$1,800,000","5 bds , 5 ba , 6,387 sqft",Coldwell Banker Residential Brokerage - Oak Brook,https://www.zillow.com/homedetails/722-39th-St-Downers-Grove-IL-60515/4497096_zpid/
House for sale,3051 Caton Farm Rd,JOLIET,IL,60431,"$184,900","3 bds , 2 ba , 1,586 sqft",,https://www.zillow.com/homedetails/3051-Caton-Farm-Rd-Joliet-IL-60431/5358037_zpid/
House for sale,631 S Whispering Hills Dr,NAPERVILLE,IL,60540,"$375,000","4 bds , 3 ba , 3,050 sqft",,https://www.zillow.com/homedetails/631-S-Whispering-Hills-Dr-Naperville-IL-60540/4511968_zpid/
House for sale,243 S Oakland Grv,ELMHURST,IL,60126,"$299,000","3 bds , 3 ba , 1,216 sqft",,https://www.zillow.com/homedetails/243-S-Oakland-Grv-Elmhurst-IL-60126/4465164_zpid/
House for sale,7300 S Michigan Ave,CHICAGO,IL,60619,"$275,000","5 bds , 3 ba , 2,682 sqft",,https://www.zillow.com/homedetails/7300-S-Michigan-Ave-Chicago-IL-60619/4004806_zpid/
