title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5501 W Hamilton Rd S,Fort Wayne,IN,46814,"$30,000,000","16 bds , 28 ba , 38,000 sqft",,https://www.zillow.com/homedetails/5501-W-Hamilton-Rd-S-Fort-Wayne-IN-46814/73106376_zpid/
House for sale,2355 W State Road 234,Fortville,IN,46040,"$25,000","3 bds , 2 ba , 2,404 sqft",,https://www.zillow.com/homedetails/2355-W-State-Road-234-Fortville-IN-46040/85278694_zpid/
Foreclosure,806 E Edgewood Ave,Indianapolis,IN,46227,"$118,500","4 bds , 3 ba , 3,998 sqft",,https://www.zillow.com/homedetails/806-E-Edgewood-Ave-Indianapolis-IN-46227/1170306_zpid/
House for sale,5799 Sunset Ln,Indianapolis,IN,46228,"$5,800,000","6 bds , 13 ba , 20,710 sqft",Encore Sotheby's International Realty,https://www.zillow.com/homedetails/5799-Sunset-Ln-Indianapolis-IN-46228/1257721_zpid/
House for sale,2204 Spring Hill Dr,South Bend,IN,46628,"$149,900","3 bds , 3 ba , 1,576 sqft",,https://www.zillow.com/homedetails/2204-Spring-Hill-Dr-South-Bend-IN-46628/77051003_zpid/
Foreclosure,1022 Hawthorne Dr,Columbus,IN,47203,"$165,000","3 bds , 2 ba , 3,374 sqft",,https://www.zillow.com/homedetails/1022-Hawthorne-Dr-Columbus-IN-47203/85094873_zpid/
House for sale,6572 E South Barbee Dr,Warsaw,IN,46582,"$169,900","4 bds , 2 ba , 1,378 sqft",,https://www.zillow.com/homedetails/6572-E-South-Barbee-Dr-Warsaw-IN-46582/122699794_zpid/
Auction,3379 S Mauxferry Rd,Franklin,IN,46131,"$89,000","5 bds , 2 ba , 3,434 sqft",,https://www.zillow.com/homedetails/3379-S-Mauxferry-Rd-Franklin-IN-46131/85433714_zpid/
For sale by owner,1609 Southwood Dr,Mishawaka,IN,46544,"$56,917","3 bds , 2 ba , 1,216 sqft",,https://www.zillow.com/homedetails/1609-Southwood-Dr-Mishawaka-IN-46544/2085731364_zpid/
House for sale,2051 Crestview Ct,Lafayette,IN,47905,"$190,000","4 bds , 3 ba , 1,838 sqft",,https://www.zillow.com/homedetails/2051-Crestview-Ct-Lafayette-IN-47905/50650797_zpid/
House for sale,28 West Rd,Dune acres,IN,46304,"$550,000","2 bds , 2 ba , 3,164 sqft",,https://www.zillow.com/homedetails/28-West-Rd-Dune-Acres-IN-46304/81501401_zpid/
