title,address,city,state,postal_code,price,facts and features,real estate provider,url
For sale by owner,14201 W 82nd St,LENEXA,KS,66215,"$249,900","5 bds , 4 ba , 3,420 sqft",,https://www.zillow.com/homedetails/14201-W-82nd-St-Lenexa-KS-66215/75545504_zpid/
House for sale,26680 Somerset Rd,Paola,KS,66071,"$242,000","4 bds , 2 ba , 3,096 sqft",,https://www.zillow.com/homedetails/26680-Somerset-Rd-Paola-KS-66071/77239732_zpid/
House for sale,611 S Troost St,OLATHE,KS,66061,"$155,000","3 bds , 2 ba , 1,220 sqft",,https://www.zillow.com/homedetails/611-S-Troost-St-Olathe-KS-66061/75547546_zpid/
House for sale,2945 NE Meriden Rd,Topeka,KS,66617,"$120,200","5 bds , 4 ba , 2,999 sqft",,https://www.zillow.com/homedetails/2945-NE-Meriden-Rd-Topeka-KS-66617/77487485_zpid/
House for sale,6514 W 73rd St,OVERLAND PARK,KS,66204,"$225,000","3 bds , 3 ba , 1,896 sqft",,https://www.zillow.com/homedetails/6514-W-73rd-St-Overland-Park-KS-66204/75591467_zpid/
House for sale,14520 W 86th Ter,LENEXA,KS,66215,"$250,000","4 bds , 3 ba , 2,120 sqft",,https://www.zillow.com/homedetails/14520-W-86th-Ter-Lenexa-KS-66215/75673015_zpid/
House for sale,5433 Westgate St,SHAWNEE,KS,66216,"$239,000","3 bds , 2 ba , 1,535 sqft",,https://www.zillow.com/homedetails/5433-Westgate-St-Shawnee-KS-66216/75624332_zpid/
House for sale,5416 W 50th St,ROELAND PARK,KS,66205,"$248,900","3 bds , 3 ba , 1,849 sqft",,https://www.zillow.com/homedetails/5416-W-50th-St-Roeland-Park-KS-66205/75628836_zpid/
House for sale,4014 W 103rd St,OVERLAND PARK,KS,66207,"$419,000","4 bds , 4 ba , 4,081 sqft",,https://www.zillow.com/homedetails/4014-W-103rd-St-Overland-Park-KS-66207/75598849_zpid/
For sale by owner,11802 W Murdock St,WICHITA,KS,67212,"$155,900","4 bds , 3 ba , 2,384 sqft",,https://www.zillow.com/homedetails/11802-W-Murdock-St-Wichita-KS-67212/77378958_zpid/
House for sale,5732 Cottonwood St,Shawnee,KS,66216,"$279,900","3 bds , 4 ba , 3,039 sqft",,https://www.zillow.com/homedetails/5732-Cottonwood-St-Shawnee-KS-66216/75575498_zpid/
House for sale,4815 W 71st Ter,PRAIRIE VILLAGE,KS,66208,"$257,900","3 bds , 2 ba , 1,437 sqft",,https://www.zillow.com/homedetails/4815-W-71st-Ter-Prairie-Village-KS-66208/75614526_zpid/
House for sale,6214 High Dr,MISSION HILLS,KS,66208,"$895,000","3 bds , 5 ba , 3,608 sqft",,https://www.zillow.com/homedetails/6214-High-Dr-Mission-Hills-KS-66208/75594093_zpid/
House for sale,5302 E Pine St,WICHITA,KS,67208,"$149,900","3 bds , 2 ba , 2,182 sqft",Coldwell Banker Plaza Real Estate,https://www.zillow.com/homedetails/5302-E-Pine-St-Wichita-KS-67208/77342910_zpid/
House for sale,5612 W 98th Pl,OVERLAND PARK,KS,66207,"$235,000","3 bds , 3 ba , 2,012 sqft",,https://www.zillow.com/homedetails/5612-W-98th-Pl-Overland-Park-KS-66207/75605258_zpid/
House for sale,9410 Dice Ln,LENEXA,KS,66215,"$255,000","4 bds , 3 ba , 1,828 sqft",,https://www.zillow.com/homedetails/9410-Dice-Ln-Lenexa-KS-66215/75590522_zpid/
House for sale,136 N Cedar St,GARDNER,KS,66030,"$135,000","4 bds , 2 ba , 1,837 sqft",,https://www.zillow.com/homedetails/136-N-Cedar-St-Gardner-KS-66030/75685949_zpid/
House for sale,12583 W 82nd Ter,LENEXA,KS,66215,"$270,000","4 bds , 3 ba , 2,281 sqft",,https://www.zillow.com/homedetails/12583-W-82nd-Ter-Lenexa-KS-66215/75529115_zpid/
