title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,3591 Paris Pike,LEXINGTON,KY,40511,"$4,500,000","6 bds , 8.5 ba , 31,000 sqft",,https://www.zillow.com/homedetails/3591-Paris-Pike-Lexington-KY-40511/91584917_zpid/
For sale by owner,1130 Cannonball Way,Independence,KY,41051,"$235,000","3 bds , 3 ba , 2,550 sqft",,https://www.zillow.com/homedetails/1130-Cannonball-Way-Independence-KY-41051/35968550_zpid/
House for sale,164 Black Water Ln,LEXINGTON,KY,40511,"$164,900","3 bds , 2 ba , 1,320 sqft",,https://www.zillow.com/homedetails/164-Black-Water-Ln-Lexington-KY-40511/77584973_zpid/
House for sale,191 Holland Ln,Booneville,KY,41314,"$115,000","3 bds , 2 ba , 2,483 sqft",,https://www.zillow.com/homedetails/191-Holland-Ln-Booneville-KY-41314/2087747368_zpid/
For sale by owner,1925 Arboro Pl,LOUISVILLE,KY,40220,"$195,000","3 bds , 2 ba , 1,276 sqft",,https://www.zillow.com/homedetails/1925-Arboro-Pl-Louisville-KY-40220/73499016_zpid/
House for sale,4102 Bay Pointe Dr,LOUISVILLE,KY,40241,"$175,000","3 bds , 2 ba , 1,641 sqft",Schuler Bauer Real Estate ERA Powered,https://www.zillow.com/homedetails/4102-Bay-Pointe-Dr-Louisville-KY-40241/73626416_zpid/
House for sale,4234 Brownsboro Glen Rd,LOUISVILLE,KY,40241,"$289,900","4 bds , 3 ba , 2,702 sqft",,https://www.zillow.com/homedetails/4234-Brownsboro-Glen-Rd-Louisville-KY-40241/73485969_zpid/
House for sale,2017 Stanford Rd,Lancaster,KY,40444,"$229,900","6 bds , 3 ba , 3,378 sqft",,https://www.zillow.com/homedetails/2017-Stanford-Rd-Lancaster-KY-40444/115330092_zpid/
House for sale,11204 Brook Bend Ct,LOUISVILLE,KY,40229,"$225,000","5 bds , 2 ba , 2,050 sqft",,https://www.zillow.com/homedetails/11204-Brook-Bend-Ct-Louisville-KY-40229/73529402_zpid/
House for sale,4116 Weber Way,LEXINGTON,KY,40514,"$199,900","3 bds , 2 ba , 1,586 sqft",,https://www.zillow.com/homedetails/4116-Weber-Way-Lexington-KY-40514/77573434_zpid/
House for sale,400 Millwood Ct,BOWLING GREEN,KY,42104,"$284,900","4 bds , 2 ba , 2,677 sqft",,https://www.zillow.com/homedetails/400-Millwood-Ct-Bowling-Green-KY-42104/97269267_zpid/
House for sale,11306 Bodley Dr,LOUISVILLE,KY,40223,"$4,585,000","6 bds , 8 ba , 19,081 sqft",Lenihan Sotheby's International Realty,https://www.zillow.com/homedetails/11306-Bodley-Dr-Louisville-KY-40223/114063177_zpid/
House for sale,409 Nathaniel Ct,Lexington,KY,40508,"$132,834","4 bds , 3 ba , 1,776 sqft",,https://www.zillow.com/homedetails/409-Nathaniel-Ct-Lexington-KY-40508/157710225_zpid/
House for sale,4117 Morgan Jaymes Dr,Jeffersontown,KY,40299,"$255,000","4 bds , 2 ba , 2,189 sqft",,https://www.zillow.com/homedetails/4117-Morgan-Jaymes-Dr-Jeffersontown-KY-40299/73521894_zpid/
House for sale,3841 Sundart Dr,LEXINGTON,KY,40517,"$187,500","4 bds , 2 ba , 2,007 sqft",,https://www.zillow.com/homedetails/3841-Sundart-Dr-Lexington-KY-40517/77521342_zpid/
House for sale,820 E 7th St,NEWPORT,KY,41071,"$239,900","2 bds , 2 ba , 1,474 sqft",,https://www.zillow.com/homedetails/820-E-7th-St-Newport-KY-41071/1361538_zpid/
House for sale,7917 Barbour Manor Dr,LOUISVILLE,KY,40241,"$259,990","3 bds , 3 ba , 2,644 sqft",,https://www.zillow.com/homedetails/7917-Barbour-Manor-Dr-Louisville-KY-40241/73466357_zpid/
House for sale,2298 Catalpa Loop,RICHMOND,KY,40475,"$107,500","3 bds , 2 ba , 1,349 sqft",,https://www.zillow.com/homedetails/2298-Catalpa-Loop-Richmond-KY-40475/125684290_zpid/
House for sale,3885 Bohon Rd,Harrodsburg,KY,40330,"$299,000","6 bds , 4 ba , 3,900 sqft",,https://www.zillow.com/homedetails/3885-Bohon-Rd-Harrodsburg-KY-40330/2085556825_zpid/
House for sale,2710 Cedar Point Rd,CRESTWOOD,KY,40014,"$275,000","4 bds , 3 ba , 2,710 sqft",,https://www.zillow.com/homedetails/2710-Cedar-Point-Rd-Crestwood-KY-40014/105917951_zpid/
