title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,19547 N Harrells Ferry Rd,Baton Rouge,LA,70816,"$87,500","4 bds , 3 ba , 2,850 sqft",,https://www.zillow.com/homedetails/19547-N-Harrells-Ferry-Rd-Baton-Rouge-LA-70816/2085631625_zpid/
House for sale,3711 Saint Charles Ave,New Orleans,LA,70115,"$4,500,000","5 bds , 6 ba , 8,747 sqft",,https://www.zillow.com/homedetails/3711-Saint-Charles-Ave-New-Orleans-LA-70115/84476067_zpid/
House for sale,13431 Northstar Ct,Baton Rouge,LA,70815,"$159,900","4 bds , 3 ba , 2,346 sqft",,https://www.zillow.com/homedetails/13431-Northstar-Ct-Baton-Rouge-LA-70815/66381735_zpid/
For sale by owner,1381 Harrison Ave,New Orleans,LA,70122,"$239,000","3 bds , 2 ba , 1,520 sqft",,https://www.zillow.com/homedetails/1381-Harrison-Ave-New-Orleans-LA-70122/148985834_zpid/
House for sale,6208 Marigny St,New Orleans,LA,70122,"$369,000","4 bds , 2 ba , 1,819 sqft",,https://www.zillow.com/homedetails/6208-Marigny-St-New-Orleans-LA-70122/148999271_zpid/
House for sale,2425 Constance St # 3,New Orleans,LA,70130,"$282,500","2 bds , 2.5 ba , 1,650 sqft",,https://www.zillow.com/homedetails/2425-Constance-St-3-New-Orleans-LA-70130/149044843_zpid/
House for sale,620 Ursulines Ave,New Orleans,LA,70116,"$9,250,000","8 bds , 9.5 ba , 12,365 sqft",,https://www.zillow.com/homedetails/620-Ursulines-Ave-New-Orleans-LA-70116/73780293_zpid/
House for sale,13 Newcomb Blvd,New Orleans,LA,70118,"$3,750,000","4 bds , 5 ba , 5,725 sqft",,https://www.zillow.com/homedetails/13-Newcomb-Blvd-New-Orleans-LA-70118/73847444_zpid/
House for sale,2608 Dauphine St # 10,New Orleans,LA,70117,"$299,900","3 bds , 3 ba , 1,885 sqft",,https://www.zillow.com/homedetails/2608-Dauphine-St-10-New-Orleans-LA-70117/2085559177_zpid/
House for sale,1505 Bodenger Blvd,New Orleans,LA,70114,"$185,000","3 bds , 2 ba , 2,519 sqft",,https://www.zillow.com/homedetails/1505-Bodenger-Blvd-New-Orleans-LA-70114/73828850_zpid/
House for sale,4721 Camp St,New Orleans,LA,70115,"$400,000","3 bds , 2 ba , 1,613 sqft",,https://www.zillow.com/homedetails/4721-Camp-St-New-Orleans-LA-70115/84475721_zpid/
House for sale,316 Seguin St,New Orleans,LA,70114,"$570,000","5 bds , 4 ba , 3,150 sqft",,https://www.zillow.com/homedetails/316-Seguin-St-New-Orleans-LA-70114/73823245_zpid/
House for sale,6930 Camberley Dr,New Orleans,LA,70128,"$289,900","4 bds , 4 ba , 3,560 sqft",,https://www.zillow.com/homedetails/6930-Camberley-Dr-New-Orleans-LA-70128/73812857_zpid/
House for sale,6606 Bellaire Dr,New Orleans,LA,70124,"$485,000","3 bds , 3 ba , 2,207 sqft",,https://www.zillow.com/homedetails/6606-Bellaire-Dr-New-Orleans-LA-70124/149093633_zpid/
House for sale,21828 Turkey Creek Dr,Baton Rouge,LA,70817,"$3,400,000","9 bds , 11 ba , 13,445 sqft",,https://www.zillow.com/homedetails/21828-Turkey-Creek-Dr-Baton-Rouge-LA-70817/66387221_zpid/
House for sale,2503 St Charles Ave,New Orleans,LA,70130,"$2,895,000","10 bds , 9.5 ba , 7,757 sqft",,https://www.zillow.com/homedetails/2503-St-Charles-Ave-New-Orleans-LA-70130/2101504930_zpid/
Condo for sale,1015 Burgundy St APT 8,New Orleans,LA,70116,"$239,000","2 bds , 1 ba , 808 sqft",,https://www.zillow.com/homedetails/1015-Burgundy-St-APT-8-New-Orleans-LA-70116/84447607_zpid/
House for sale,1309 Foy St,New Orleans,LA,70122,"$279,000","3 bds , 3 ba , 1,700 sqft",,https://www.zillow.com/homedetails/1309-Foy-St-New-Orleans-LA-70122/2085972499_zpid/
House for sale,5224 Forest Park Ln,New Orleans,LA,70131,"$125,000","4 bds , 2 ba , 1,566 sqft",,https://www.zillow.com/homedetails/5224-Forest-Park-Ln-New-Orleans-LA-70131/73831135_zpid/
House for sale,1305 Hyland Dr,LOCKPORT,LA,70374,"$135,500","4 bds , 4 ba , 2,295 sqft",,https://www.zillow.com/homedetails/1305-Hyland-Dr-Lockport-LA-70374/119287949_zpid/
House for sale,217 Sarah Ln,Slidell,LA,70460,"$216,000","4 bds , 2 ba , 2,560 sqft",Coldwell Banker TEC Realtors,https://www.zillow.com/homedetails/217-Sarah-Ln-Slidell-LA-70460/96158891_zpid/
House for sale,6664 Saint Mary Ave,Baton Rouge,LA,70811,"$164,900","4 bds , 3 ba , 2,500 sqft",,https://www.zillow.com/homedetails/6664-Saint-Mary-Ave-Baton-Rouge-LA-70811/66334049_zpid/
House for sale,6224 Mckenna St,New Orleans,LA,70125,"$180,000","3 bds , 2 ba , 951 sqft",,https://www.zillow.com/homedetails/6224-Mckenna-St-New-Orleans-LA-70125/84479106_zpid/
House for sale,4291 San Giorgio St,New Orleans,LA,70129,"$379,500","4 bds , 4 ba , 2,981 sqft",,https://www.zillow.com/homedetails/4291-San-Giorgio-St-New-Orleans-LA-70129/84468565_zpid/
House for sale,105 Sanro Rd,Lafayette,LA,70507,"$150,000","3 bds , 2 ba , 1,781 sqft",,https://www.zillow.com/homedetails/105-Sanro-Rd-Lafayette-LA-70507/110901321_zpid/
House for sale,5517 Music St,New Orleans,LA,70122,"$370,000","3 bds , 3 ba , 2,035 sqft",,https://www.zillow.com/homedetails/5517-Music-St-New-Orleans-LA-70122/73793988_zpid/
House for sale,2308 Taft Park,METAIRIE,LA,70001,"$299,000","3 bds , 2 ba , 1,439 sqft",LATTER & BLUM INC/REALTORS,https://www.zillow.com/homedetails/2308-Taft-Park-Metairie-LA-70001/73724576_zpid/
House for sale,2507 Prytania St,New Orleans,LA,70130,"$3,350,000","8 bds , 8 ba , 9,350 sqft",,https://www.zillow.com/homedetails/2507-Prytania-St-New-Orleans-LA-70130/247553637_zpid/
House for sale,3570 Gentilly Blvd,New Orleans,LA,70122,"$389,000","5 bds , 3 ba , 4,324 sqft",,https://www.zillow.com/homedetails/3570-Gentilly-Blvd-New-Orleans-LA-70122/73791877_zpid/
