title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,21 Wormwood St UNIT 611,BOSTON,MA,02210,"$2,375,000","2 bds , 2 ba , 2,063 sqft",,https://www.zillow.com/homedetails/21-Wormwood-St-UNIT-611-Boston-MA-02210/59212006_zpid/
Condo for sale,246 Essex St APT 4,Salem,MA,01970,"$305,000","2 bds , 1 ba , 1,018 sqft",Coldwell Banker Residential Brokerage - Salem,https://www.zillow.com/homedetails/246-Essex-St-APT-4-Salem-MA-01970/2108553928_zpid/
House for sale,16 Oakes St,Millbury,MA,01527,"$240,000","3 bds , 2 ba , 1,633 sqft",,https://www.zillow.com/homedetails/16-Oakes-St-Millbury-MA-01527/57615857_zpid/
House for sale,35 Clarendon St,Malden,MA,02148,"$379,900","3 bds , 1 ba , 1,287 sqft",Coldwell Banker Residential Brokerage - Waltham,https://www.zillow.com/homedetails/35-Clarendon-St-Malden-MA-02148/56519044_zpid/
House for sale,62 Glen St,Melrose,MA,02176,"$634,999","4 bds , 3 ba , 2,899 sqft",,https://www.zillow.com/homedetails/62-Glen-St-Melrose-MA-02176/56286324_zpid/
Apartment for sale,41 Bryn Mawr Ave,Auburn,MA,01501,"$210,500","3 bds , 2 ba , 1,520 sqft",,https://www.zillow.com/homedetails/41-Bryn-Mawr-Ave-Auburn-MA-01501/81896096_zpid/
House for sale,23 Devonshire Dr,Billerica,MA,01821,"$374,900","3 bds , 1 ba , 1,372 sqft",,https://www.zillow.com/homedetails/23-Devonshire-Dr-Billerica-MA-01821/56422925_zpid/
House for sale,24 Elliott St,Melrose,MA,02176,"$525,000","3 bds , 2 ba , 1,304 sqft",,https://www.zillow.com/homedetails/24-Elliott-St-Melrose-MA-02176/56289014_zpid/
House for sale,208 Beacon St,Boston,MA,02116,"$14,900,000","8 bds , 6.5 ba , 6,771 sqft",Gibson Sotheby's International Realty,https://www.zillow.com/homedetails/208-Beacon-St-Boston-MA-02116/59171042_zpid/
House for sale,14 Highland Ave,Lynn,MA,01902,"$279,000","5 bds , 3 ba , 1,332 sqft",CENTURY 21 Hughes,https://www.zillow.com/homedetails/14-Highland-Ave-Lynn-MA-01902/56080232_zpid/
House for sale,701 Nashua Rd,Dracut,MA,01826,"$182,900","3 bds , 1 ba , 1,839 sqft",,https://www.zillow.com/homedetails/701-Nashua-Rd-Dracut-MA-01826/56455295_zpid/
