title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,3701 W Forest Park Ave,Baltimore,MD,21216,"$59,900","6 bds , 3 ba , 3,793 sqft",CENTURY 21 Downtown,https://www.zillow.com/homedetails/3701-W-Forest-Park-Ave-Baltimore-MD-21216/36499466_zpid/
House for sale,9 Chevy Chase Cir,Chevy Chase,MD,20815,"$22,500,000","7 bds , 8.5 ba , 13,900 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/9-Chevy-Chase-Cir-Chevy-Chase-MD-20815/37167972_zpid/
House for sale,6116 Haddon Hall Rd,Baltimore,MD,21212,"$350,000","5 bds , 4 ba , 2,710 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/6116-Haddon-Hall-Rd-Baltimore-MD-21212/36413558_zpid/
House for sale,21304 Glendevon Ct,Germantown,MD,20876,"$399,000","4 bds , 4 ba , 5,255 sqft",,https://www.zillow.com/homedetails/21304-Glendevon-Ct-Germantown-MD-20876/37245396_zpid/
Condo for sale,4000 N Charles St UNIT 312,Baltimore,MD,21218,"$119,500","2 bds , 2 ba , 2,424 sqft",,https://www.zillow.com/homedetails/4000-N-Charles-St-UNIT-312-Baltimore-MD-21218/36470757_zpid/
Townhouse for sale,2106 Commissary Cir,Odenton,MD,21113,"$99,900","3 bds , 3 ba , 1,960 sqft",,https://www.zillow.com/homedetails/2106-Commissary-Cir-Odenton-MD-21113/36110769_zpid/
House for sale,1801 Eutaw Pl,Baltimore,MD,21217,"$885,000","12 bds , 8 ba , 11,536 sqft",,https://www.zillow.com/homedetails/1801-Eutaw-Pl-Baltimore-MD-21217/36486680_zpid/
House for sale,2727 Friday Harbor Dr,Sykesville,MD,21784,"$380,000","6 bds , 5 ba , 4,633 sqft",,https://www.zillow.com/homedetails/2727-Friday-Harbor-Dr-Sykesville-MD-21784/36768043_zpid/
House for sale,3637 Satinleaf Ct,Waldorf,MD,20602,"$291,000","4 bds , 3 ba , 2,100 sqft",,https://www.zillow.com/homedetails/3637-Satinleaf-Ct-Waldorf-MD-20602/36724316_zpid/
House for sale,15325 Masonwood Dr,Gaithersburg,MD,20878,"$7,600,000","8 bds , 11 ba , 18,422 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/15325-Masonwood-Dr-Gaithersburg-MD-20878/37162613_zpid/
House for sale,10501 Chapel Rd,Potomac,MD,20854,"$9,250,000","9 bds , 16 ba , 25,051 sqft",,https://www.zillow.com/homedetails/10501-Chapel-Rd-Potomac-MD-20854/37256791_zpid/
House for sale,2405 Kinderbrook Ln,Bowie,MD,20715,"$259,900","3 bds , 2 ba , 1,856 sqft",,https://www.zillow.com/homedetails/2405-Kinderbrook-Ln-Bowie-MD-20715/37407953_zpid/
Townhouse for sale,4024 Colborne Rd,Baltimore,MD,21229,"$149,900","4 bds , 2 ba , 1,910 sqft",,https://www.zillow.com/homedetails/4024-Colborne-Rd-Baltimore-MD-21229/36507620_zpid/
House for sale,2961 Bethany Ln,Ellicott City,MD,21042,"$600,000","4 bds , 4 ba , 3,448 sqft",,https://www.zillow.com/homedetails/2961-Bethany-Ln-Ellicott-City-MD-21042/37033168_zpid/
House for sale,3220 Meadow Valley Dr,ABINGDON,MD,21009,"$269,900","4 bds , 2 ba , 1,768 sqft",,https://www.zillow.com/homedetails/3220-Meadow-Valley-Dr-Abingdon-MD-21009/36929558_zpid/
House for sale,13301 Dover Rd,Reisterstown,MD,21136,"$3,995,000","6 bds , 14 ba , 21,890 sqft",,https://www.zillow.com/homedetails/13301-Dover-Rd-Reisterstown-MD-21136/2097035057_zpid/
House for sale,9005 Eugene Dr,Gaithersburg,MD,20877,"$400,000","5 bds , 3 ba , 3,672 sqft",,https://www.zillow.com/homedetails/9005-Eugene-Dr-Gaithersburg-MD-20877/37215431_zpid/
House for sale,11710 Lisborough Rd,Bowie,MD,20720,"$384,900","4 bds , 4 ba , 2,590 sqft",,https://www.zillow.com/homedetails/11710-Lisborough-Rd-Bowie-MD-20720/37477722_zpid/
Coming soon,14602 King Lear Ct # 12-146,Silver Spring,MD,20906,"$319,000","4 bds , 4 ba , 1,941 sqft",,https://www.zillow.com/homedetails/14602-King-Lear-Ct-12-146-Silver-Spring-MD-20906/37325486_zpid/
Townhouse for sale,1312 Bennett Pl,Bel Air,MD,21015,"$215,000","3 bds , 3 ba , 2,058 sqft",,https://www.zillow.com/homedetails/1312-Bennett-Pl-Bel-Air-MD-21015/36961955_zpid/
House for sale,2311 Calhoun St,Fort Washington,MD,20744,"$228,000","4 bds , 4 ba , 3,172 sqft",,https://www.zillow.com/homedetails/2311-Calhoun-St-Fort-Washington-MD-20744/37464166_zpid/
Auction,3406 Woodvalley Dr,Baltimore,MD,21208,"$250,000","4 bds , 4 ba , 3,883 sqft",,https://www.zillow.com/homedetails/3406-Woodvalley-Dr-Baltimore-MD-21208/36341917_zpid/
House for sale,1953 Lewis Ave,Rockville,MD,20851,"$399,900","3 bds , 2 ba , 1,924 sqft",,https://www.zillow.com/homedetails/1953-Lewis-Ave-Rockville-MD-20851/37103759_zpid/
House for sale,7747 Rockburn Dr,Ellicott City,MD,21043,"$589,900","5 bds , 4 ba , 3,484 sqft",,https://www.zillow.com/homedetails/7747-Rockburn-Dr-Ellicott-City-MD-21043/36990027_zpid/
House for sale,7633 Bluff Point Ln,Elkridge,MD,21075,"$247,500","2 bds , 2 ba , 1,904 sqft",,https://www.zillow.com/homedetails/7633-Bluff-Point-Ln-Elkridge-MD-21075/67486828_zpid/
House for sale,20544 Anndyke Way,Germantown,MD,20874,"$484,900","4 bds , 3 ba , 2,900 sqft",,https://www.zillow.com/homedetails/20544-Anndyke-Way-Germantown-MD-20874/37082377_zpid/
House for sale,8322 Forestwood Ln,Jessup,MD,20794,"$150,000","3 bds , 2 ba , 2,200 sqft",,https://www.zillow.com/homedetails/8322-Forestwood-Ln-Jessup-MD-20794/2097932255_zpid/
For sale by owner,1817 Madison Ave,Baltimore,MD,21217,"$154,999","5 bds , 3 ba , 3,200 sqft",,https://www.zillow.com/homedetails/1817-Madison-Ave-Baltimore-MD-21217/36488396_zpid/
House for sale,4306 Delmar Ave,Temple Hills,MD,20748,"$249,900","3 bds , 3 ba , 2,568 sqft",,https://www.zillow.com/homedetails/4306-Delmar-Ave-Temple-Hills-MD-20748/37380730_zpid/
House for sale,694 Watersville Rd,Mount Airy,MD,21771,"$649,950","5 bds , 4 ba , 3,682 sqft",,https://www.zillow.com/homedetails/694-Watersville-Rd-Mount-Airy-MD-21771/37040162_zpid/
House for sale,8818 Sundale Dr,Silver Spring,MD,20910,"$599,000","4 bds , 3 ba , 1,636 sqft",,https://www.zillow.com/homedetails/8818-Sundale-Dr-Silver-Spring-MD-20910/37291965_zpid/
