title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,2756 Turtle Bluff Dr,Bloomfield Hills,MI,48302,"$10,550,000","6 bds , 10 ba , 10,108 sqft",,https://www.zillow.com/homedetails/2756-Turtle-Bluff-Dr-Bloomfield-Hills-MI-48302/125758232_zpid/
New construction,19409 Maybury Meadow Ct,Northville Twp,MI,48167,"$29,900,900","7 bds , 12 ba , 15,000 sqft",,https://www.zillow.com/homedetails/19409-Maybury-Meadow-Ct-Northville-Twp-MI-48167/2088188285_zpid/
House for sale,17156 Prairie St,DETROIT,MI,48221,"$36,400","5 bds , 2 ba , 2,100 sqft",CENTURY 21 AAA North,https://www.zillow.com/homedetails/17156-Prairie-St-Detroit-MI-48221/88415544_zpid/
House for sale,11500 Furbush Rd,Holly,MI,48442,"$279,900","3 bds , 2 ba , 1,577 sqft",,https://www.zillow.com/homedetails/11500-Furbush-Rd-Holly-MI-48442/24323172_zpid/
House for sale,1297 Colfax Ave,BENTON HARBOR,MI,49022,"$65,000","4 bds , 3 ba , 3,240 sqft",,https://www.zillow.com/homedetails/1297-Colfax-Ave-Benton-Harbor-MI-49022/120500884_zpid/
House for sale,338 N Lakeshore Dr,Holland,MI,49424,"$6,950,000","6 bds , 8 ba , 17,105 sqft",,https://www.zillow.com/homedetails/338-N-Lakeshore-Dr-Holland-MI-49424/149794395_zpid/
House for sale,1766 Sanford Pl,ANN ARBOR,MI,48103,"$345,000","3 bds , 2 ba , 1,218 sqft",Coldwell Banker Weir Manuel,https://www.zillow.com/homedetails/1766-Sanford-Pl-Ann-Arbor-MI-48103/24705315_zpid/
House for sale,464 Rochdale Dr S,Rochester Hills,MI,48309,"$329,900","4 bds , 4 ba , 2,210 sqft",,https://www.zillow.com/homedetails/464-Rochdale-Dr-S-Rochester-Hills-MI-48309/24430408_zpid/
House for sale,18582 Whitby St,LIVONIA,MI,48152,"$230,000","3 bds , 2 ba , 1,707 sqft",,https://www.zillow.com/homedetails/18582-Whitby-St-Livonia-MI-48152/88499900_zpid/
House for sale,3014 Sylvan Dr,ROYAL OAK,MI,48073,"$249,900","3 bds , 2 ba , 1,142 sqft",,https://www.zillow.com/homedetails/3014-Sylvan-Dr-Royal-Oak-MI-48073/24623236_zpid/
For sale by owner,17644 Sprenger Ave,Eastpointe,MI,48021,"$100,000","3 bds , 2 ba , 1,605 sqft",,https://www.zillow.com/homedetails/17644-Sprenger-Ave-Eastpointe-MI-48021/83578022_zpid/
House for sale,2508 N Vermont Ave,ROYAL OAK,MI,48073,"$279,900","3 bds , 2 ba , 1,331 sqft",,https://www.zillow.com/homedetails/2508-N-Vermont-Ave-Royal-Oak-MI-48073/24626297_zpid/
House for sale,9925 Bishop St,Detroit,MI,48224,"$5,000","3 bds , 1 ba , 1,206 sqft",,https://www.zillow.com/homedetails/9925-Bishop-St-Detroit-MI-48224/88423685_zpid/
House for sale,9137 Sussex St,Detroit,MI,48228,"$29,900","5 bds , 1.5 ba , 1,500 sqft",,https://www.zillow.com/homedetails/9137-Sussex-St-Detroit-MI-48228/88668306_zpid/
Foreclosure,4121 Sunvalley Dr,KALAMAZOO,MI,49008,"$149,500","4 bds , 4 ba , 2,008 sqft",,https://www.zillow.com/homedetails/4121-Sunvalley-Dr-Kalamazoo-MI-49008/74153686_zpid/
House for sale,1138 Rathbone St SW,WYOMING,MI,49509,"$119,900","3 bds , 2 ba , 1,288 sqft",,https://www.zillow.com/homedetails/1138-Rathbone-St-SW-Wyoming-MI-49509/23830193_zpid/
Apartment for sale,13200 La Salle Blvd,Detroit,MI,48238,"$25,000","30 bds , 30 ba , 15,579 sqft",,https://www.zillow.com/homedetails/13200-La-Salle-Blvd-Detroit-MI-48238/2088193344_zpid/
House for sale,824 Lexington Blvd,Royal Oak,MI,48073,"$489,000","3 bds , 3 ba , 2,378 sqft",,https://www.zillow.com/homedetails/824-Lexington-Blvd-Royal-Oak-MI-48073/24615384_zpid/
House for sale,1301 Wilkinson Dr,JACKSON,MI,49203,"$199,900","4 bds , 3 ba , 3,310 sqft",,https://www.zillow.com/homedetails/1301-Wilkinson-Dr-Jackson-MI-49203/74065578_zpid/
For sale by owner,9446 Port Sheldon St,ZEELAND,MI,49464,"$184,900","3 bds , 2 ba , 1,500 sqft",,https://www.zillow.com/homedetails/9446-Port-Sheldon-St-Zeeland-MI-49464/74181717_zpid/
House for sale,221 Plymouth Ave NE,GRAND RAPIDS,MI,49503,"$189,900","3 bds , 1 ba , 2,250 sqft",,https://www.zillow.com/homedetails/221-Plymouth-Ave-NE-Grand-Rapids-MI-49503/23809723_zpid/
House for sale,7166 Winona Ave,ALLEN PARK,MI,48101,"$165,000","3 bds , 3 ba , 1,200 sqft",,https://www.zillow.com/homedetails/7166-Winona-Ave-Allen-Park-MI-48101/88532879_zpid/
House for sale,9777 Hessler Xing,Rockford,MI,49341,"$265,000","5 bds , 4 ba , 2,490 sqft",,https://www.zillow.com/homedetails/9777-Hessler-Xing-Rockford-MI-49341/69452895_zpid/
House for sale,37912 Bradley Ct,Farmington Hills,MI,48335,"$249,900","3 bds , 4 ba , 2,641 sqft",,https://www.zillow.com/homedetails/37912-Bradley-Ct-Farmington-Hills-MI-48335/24578653_zpid/
House for sale,1829 Byrd Dr,PORTAGE,MI,49002,"$120,000","3 bds , 2 ba , 1,626 sqft",,https://www.zillow.com/homedetails/1829-Byrd-Dr-Portage-MI-49002/74119122_zpid/
House for sale,2428 Central Ave SW,WYOMING,MI,49519,"$109,900","3 bds , 1 ba , 1,672 sqft",,https://www.zillow.com/homedetails/2428-Central-Ave-SW-Wyoming-MI-49519/23833052_zpid/
House for sale,237 W Tacoma St,CLAWSON,MI,48017,"$185,000","3 bds , 2 ba , 1,362 sqft",,https://www.zillow.com/homedetails/237-W-Tacoma-St-Clawson-MI-48017/24614631_zpid/
House for sale,284 Silman St,Ferndale,MI,48220,"$249,900","3 bds , 2 ba , 1,478 sqft",,https://www.zillow.com/homedetails/284-Silman-St-Ferndale-MI-48220/24675020_zpid/
House for sale,4145 Balfour Rd,DETROIT,MI,48224,"$99,900","4 bds , 2 ba , 2,200 sqft",,https://www.zillow.com/homedetails/4145-Balfour-Rd-Detroit-MI-48224/88211260_zpid/
House for sale,7420 Inner Circle Dr,Bloomfield Township,MI,48301,"$7,495,000","6 bds , 8 ba , 10,578 sqft",,https://www.zillow.com/homedetails/7420-Inner-Circle-Dr-Bloomfield-Township-MI-48301/2106914356_zpid/
