title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,3770 Northome Rd,WAYZATA,MN,55391,"$14,895,000","4 bds , 7 ba , 8,800 sqft",Lakes Sotheby's International Realty,https://www.zillow.com/homedetails/3770-Northome-Rd-Wayzata-MN-55391/1813886_zpid/
House for sale,14105 74th Pl N,MAPLE GROVE,MN,55311,"$300,000","4 bds , 2 ba , 1,587 sqft",,https://www.zillow.com/homedetails/14105-74th-Pl-N-Maple-Grove-MN-55311/1947607_zpid/
House for sale,875 Moonlight Dr,Woodbury,MN,55125,"$325,000","3 bds , 3 ba , 2,100 sqft",Lakes Sotheby's International Realty,https://www.zillow.com/homedetails/875-Moonlight-Dr-Woodbury-MN-55125/2211686_zpid/
House for sale,10395 Lee Dr,EDEN PRAIRIE,MN,55347,"$250,000","2 bds , 2 ba , 1,566 sqft",,https://www.zillow.com/homedetails/10395-Lee-Dr-Eden-Prairie-MN-55347/1929567_zpid/
House for sale,4017 Mcculloch St,Duluth,MN,55804,"$184,900","3 bds , 2 ba , 1,490 sqft",,https://www.zillow.com/homedetails/4017-Mcculloch-St-Duluth-MN-55804/61529745_zpid/
Lot / Land for sale,3064 131st Ct NE,Blaine,MN,55449,"$155,000","9 bds , 10 ba , 10,200 sqft",,https://www.zillow.com/homedetails/3064-131st-Ct-NE-Blaine-MN-55449/126320705_zpid/
House for sale,10800 Harrison Ave S,Bloomington,MN,55437,"$350,000","3 bds , 2 ba , 1,876 sqft",,https://www.zillow.com/homedetails/10800-Harrison-Ave-S-Bloomington-MN-55437/1872913_zpid/
House for sale,219 E 58th St,MINNEAPOLIS,MN,55419,"$299,900","3 bds , 2 ba , 2,474 sqft",,https://www.zillow.com/homedetails/219-E-58th-St-Minneapolis-MN-55419/1906159_zpid/
House for sale,159 Western Ave S,SAINT PAUL,MN,55102,"$125,000","3 bds , 2 ba , 1,808 sqft",Coldwell Banker Burnet - Crocus Hill,https://www.zillow.com/homedetails/159-Western-Ave-S-Saint-Paul-MN-55102/2029236_zpid/
House for sale,1885 Deer Hills Trl,EAGAN,MN,55122,"$239,000","4 bds , 2 ba , 1,604 sqft",,https://www.zillow.com/homedetails/1885-Deer-Hills-Trl-Eagan-MN-55122/1631958_zpid/
House for sale,4545 29th Ave S,MINNEAPOLIS,MN,55406,"$234,900","2 bds , 1 ba , 1,205 sqft",Lakes Sotheby's International Realty,https://www.zillow.com/homedetails/4545-29th-Ave-S-Minneapolis-MN-55406/1802726_zpid/
House for sale,6364 Oakwood Rd,Woodbury,MN,55125,"$225,000","3 bds , 2 ba , 1,890 sqft",,https://www.zillow.com/homedetails/6364-Oakwood-Rd-Woodbury-MN-55125/2218643_zpid/
House for sale,3111 33rd Ave S,MINNEAPOLIS,MN,55406,"$259,000","3 bds , 2 ba , 1,318 sqft",Coldwell Banker Burnet - Highland Park,https://www.zillow.com/homedetails/3111-33rd-Ave-S-Minneapolis-MN-55406/1736319_zpid/
House for sale,3308 Birch Pl,Minnetonka,MN,55305,"$299,900","4 bds , 2 ba , 1,836 sqft",,https://www.zillow.com/homedetails/3308-Birch-Pl-Minnetonka-MN-55305/1813288_zpid/
House for sale,4200 Colfax Ave S,MINNEAPOLIS,MN,55409,"$525,000","4 bds , 2 ba , 2,340 sqft",,https://www.zillow.com/homedetails/4200-Colfax-Ave-S-Minneapolis-MN-55409/1771717_zpid/
House for sale,3318 Richmond Ave,SHOREVIEW,MN,55126,"$315,000","4 bds , 3 ba , 2,164 sqft",,https://www.zillow.com/homedetails/3318-Richmond-Ave-Shoreview-MN-55126/2160647_zpid/
House for sale,4052 Oregon Ave N,New Hope,MN,55427,"$209,900","4 bds , 2 ba , 1,720 sqft",,https://www.zillow.com/homedetails/4052-Oregon-Ave-N-New-Hope-MN-55427/1855555_zpid/
House for sale,1012 29th Ave N,MINNEAPOLIS,MN,55411,"$108,000","3 bds , 2 ba , 1,072 sqft",,https://www.zillow.com/homedetails/1012-29th-Ave-N-Minneapolis-MN-55411/124758943_zpid/
