title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,3918 SW Harbor Dr,LEES SUMMIT,MO,64082,"$179,900","4 bds , 3 ba , 3,211 sqft",,https://www.zillow.com/homedetails/3918-SW-Harbor-Dr-Lees-Summit-MO-64082/2480592_zpid/
House for sale,3319 Cleveland Ave,KANSAS CITY,MO,64128,"$60,000","4 bds , 3 ba , 1,732 sqft",,https://www.zillow.com/homedetails/3319-Cleveland-Ave-Kansas-City-MO-64128/2334093_zpid/
House for sale,18255 Canyon Forest Ct,Chesterfield,MO,63005,"$7,900","4 bds , 5 ba , 4,706 sqft",,https://www.zillow.com/homedetails/18255-Canyon-Forest-Ct-Chesterfield-MO-63005/87733097_zpid/
House for sale,1007 Enwood Ct,SAINT PETERS,MO,63376,"$210,000","3 bds , 3 ba , 1,203 sqft",Coldwell Banker Gundaker - Chesterfield / Wildwood,https://www.zillow.com/homedetails/1007-Enwood-Ct-Saint-Peters-MO-63376/2536864_zpid/
House for sale,4132 Holmes St,KANSAS CITY,MO,64110,"$289,000","4 bds , 3 ba , 2,150 sqft",,https://www.zillow.com/homedetails/4132-Holmes-St-Kansas-City-MO-64110/2342468_zpid/
House for sale,2342 Eagle Pines Dr,SAINT CHARLES,MO,63303,"$239,900","3 bds , 3 ba , 1,316 sqft",,https://www.zillow.com/homedetails/2342-Eagle-Pines-Dr-Saint-Charles-MO-63303/2557606_zpid/
House for sale,302 Alberta Ln,WASHINGTON,MO,63090,"$135,000","3 bds , 2 ba , 1,428 sqft",,https://www.zillow.com/homedetails/302-Alberta-Ln-Washington-MO-63090/67506212_zpid/
House for sale,11408 Manchester Rd,Saint Louis,MO,63122,"$197,000","3 bds , 2 ba , 1,556 sqft",,https://www.zillow.com/homedetails/11408-Manchester-Rd-Saint-Louis-MO-63122/2803459_zpid/
House for sale,3700 Mill St,WENTZVILLE,MO,63385,"$80,000","4 bds , 2 ba , 1,980 sqft",Coldwell Banker Gundaker - Highway 94 at Mid Rivers,https://www.zillow.com/homedetails/3700-Mill-St-Wentzville-MO-63385/103700975_zpid/
House for sale,1356 Green Elm Dr,Fenton,MO,63026,"$189,900","3 bds , 2 ba , 2,814 sqft",,https://www.zillow.com/homedetails/1356-Green-Elm-Dr-Fenton-MO-63026/2901047_zpid/
House for sale,1412 N Countryshire Dr,COLUMBIA,MO,65202,"$299,900","4 bds , 4 ba , 4,727 sqft",,https://www.zillow.com/homedetails/1412-N-Countryshire-Dr-Columbia-MO-65202/58696866_zpid/
Auction,316 SE Ridgeview Dr,LEES SUMMIT,MO,64063,"$75,000","3 bds , 2 ba , 1,609 sqft",,https://www.zillow.com/homedetails/316-SE-Ridgeview-Dr-Lees-Summit-MO-64063/2454137_zpid/
House for sale,721 Cheviot Ct,Saint Louis,MO,63122,"$239,900","3 bds , 2 ba , 1,536 sqft",,https://www.zillow.com/homedetails/721-Cheviot-Ct-Saint-Louis-MO-63122/2841443_zpid/
House for sale,67 Chafford Woods,Saint Louis,MO,63144,"$345,000","3 bds , 2 ba , 2,152 sqft",,https://www.zillow.com/homedetails/67-Chafford-Woods-Saint-Louis-MO-63144/2772989_zpid/
House for sale,1719 Deergrass Dr,SAINT CHARLES,MO,63303,"$218,000","3 bds , 3 ba , 1,380 sqft",,https://www.zillow.com/homedetails/1719-Deergrass-Dr-Saint-Charles-MO-63303/2532130_zpid/
For sale by owner,4000 NE 80th Ter,KANSAS CITY,MO,64119,"$279,000","4 bds , 3 ba , 2,250 sqft",,https://www.zillow.com/homedetails/4000-NE-80th-Ter-Kansas-City-MO-64119/71155150_zpid/
House for sale,1069 Mccausland Ave,Saint Louis,MO,63117,"$175,000","4 bds , 3 ba , 1,768 sqft",,https://www.zillow.com/homedetails/1069-Mccausland-Ave-Saint-Louis-MO-63117/2983882_zpid/
House for sale,2218 Yale Ave,Saint Louis,MO,63143,"$175,000","2 bds , 2 ba , 924 sqft",,https://www.zillow.com/homedetails/2218-Yale-Ave-Saint-Louis-MO-63143/2783612_zpid/
House for sale,224 Crownridge Dr,Chesterfield,MO,63017,"$349,900","4 bds , 3 ba , 2,212 sqft",,https://www.zillow.com/homedetails/224-Crownridge-Dr-Chesterfield-MO-63017/2731740_zpid/
House for sale,19 Edgemont Rd,SAINT PETERS,MO,63376,"$169,000","3 bds , 2 ba , 1,209 sqft",Coldwell Banker Gundaker - St. Louis,https://www.zillow.com/homedetails/19-Edgemont-Rd-Saint-Peters-MO-63376/2537712_zpid/
House for sale,1461 Glenlea Dr,Maryland Heights,MO,63043,"$224,900","3 bds , 3 ba , 2,368 sqft",,https://www.zillow.com/homedetails/1461-Glenlea-Dr-Maryland-Heights-MO-63043/2702025_zpid/
House for sale,104 E 80th Ter,KANSAS CITY,MO,64114,"$185,000","2 bds , 2 ba , 1,132 sqft",,https://www.zillow.com/homedetails/104-E-80th-Ter-Kansas-City-MO-64114/2424885_zpid/
House for sale,703 E 41st St,KANSAS CITY,MO,64110,"$169,900","3 bds , 2 ba , 1,553 sqft",,https://www.zillow.com/homedetails/703-E-41st-St-Kansas-City-MO-64110/2342408_zpid/
House for sale,5223 Potomac St,Saint Louis,MO,63139,"$179,900","3 bds , 2 ba , 1,105 sqft",,https://www.zillow.com/homedetails/5223-Potomac-St-Saint-Louis-MO-63139/2986279_zpid/
House for sale,7832 Kenridge Ln,Saint Louis,MO,63119,"$250,000","4 bds , 3 ba , 1,470 sqft",,https://www.zillow.com/homedetails/7832-Kenridge-Ln-Saint-Louis-MO-63119/2816960_zpid/
House for sale,4128 Exeter Ave,Saint Louis,MO,63119,"$229,900","3 bds , 2 ba , 1,542 sqft",,https://www.zillow.com/homedetails/4128-Exeter-Ave-Saint-Louis-MO-63119/2795319_zpid/
House for sale,12 Pinon Pine Ct,SAINT PETERS,MO,63376,"$194,900","3 bds , 2 ba , 1,350 sqft",,https://www.zillow.com/homedetails/12-Pinon-Pine-Ct-Saint-Peters-MO-63376/2536335_zpid/
House for sale,8334 Marty Martin Rd,HILLSBORO,MO,63050,"$139,900","3 bds , 2 ba , 1,740 sqft",,https://www.zillow.com/homedetails/8334-Marty-Martin-Rd-Hillsboro-MO-63050/49722610_zpid/
House for sale,7304 N Granby Ave,Kansas City,MO,64151,"$185,000","4 bds , 3 ba , 1,440 sqft",,https://www.zillow.com/homedetails/7304-N-Granby-Ave-Kansas-City-MO-64151/2491005_zpid/
House for sale,12 Kingston Manor Dr,Saint Louis,MO,63124,"$679,900","5 bds , 3 ba , 2,225 sqft",,https://www.zillow.com/homedetails/12-Kingston-Manor-Dr-Saint-Louis-MO-63124/2751665_zpid/
House for sale,5907 Pennbrooke Dr,Saint Louis,MO,63129,"$239,900","4 bds , 4 ba , 1,816 sqft",Coldwell Banker Premier Group,https://www.zillow.com/homedetails/5907-Pennbrooke-Dr-Saint-Louis-MO-63129/2928044_zpid/
For sale by owner,1301 E 76th St,KANSAS CITY,MO,64131,"$85,000","4 bds , 2 ba , 1,565 sqft",,https://www.zillow.com/homedetails/1301-E-76th-St-Kansas-City-MO-64131/2422562_zpid/
For sale by owner,6723 Glades Ave,SAINT LOUIS,MO,63139,"$124,999","3 bds , 1 ba , 980 sqft",,https://www.zillow.com/homedetails/6723-Glades-Ave-Saint-Louis-MO-63139/2984547_zpid/
House for sale,5320 S Hazel Dr,Springfield,MO,65810,"$319,900","4 bds , 3 ba , 2,526 sqft",,https://www.zillow.com/homedetails/5320-S-Hazel-Dr-Springfield-MO-65810/66816691_zpid/
House for sale,74 Wedgewood Rd,ELDON,MO,65026,"$67,900","4 bds , 2 ba , 1,805 sqft",,https://www.zillow.com/homedetails/74-Wedgewood-Rd-Eldon-MO-65026/126831900_zpid/
House for sale,870 Hollyridge Dr,Ballwin,MO,63011,"$280,000","4 bds , 3 ba , 2,742 sqft",,https://www.zillow.com/homedetails/870-Hollyridge-Dr-Ballwin-MO-63011/2791290_zpid/
House for sale,7318 N Euclid Ave,Gladstone,MO,64118,"$160,000","3 bds , 2 ba , 2,064 sqft",,https://www.zillow.com/homedetails/7318-N-Euclid-Ave-Gladstone-MO-64118/66417088_zpid/
House for sale,528 NE Wood Ct,BLUE SPRINGS,MO,64014,"$185,000","3 bds , 3 ba , 1,614 sqft",,https://www.zillow.com/homedetails/528-NE-Wood-Ct-Blue-Springs-MO-64014/2385572_zpid/
