title,address,city,state,postal_code,price,facts and features,real estate provider,url
Coming soon,5507 Mcchesney Dr,CHARLOTTE,NC,28269,"$334,750","4 bds , 3 ba , 2,956 sqft",,https://www.zillow.com/homedetails/5507-Mcchesney-Dr-Charlotte-NC-28269/6148178_zpid/
House for sale,116 Ulverston Dr,Holly Springs,NC,27540,"$498,460","5 bds , 6 ba , 4,178 sqft",,https://www.zillow.com/homedetails/116-Ulverston-Dr-Holly-Springs-NC-27540/122280363_zpid/
Coming soon,5500 Twin Brook Dr,CHARLOTTE,NC,28269,"$211,150","4 bds , 3 ba , 2,940 sqft",,https://www.zillow.com/homedetails/5500-Twin-Brook-Dr-Charlotte-NC-28269/89697484_zpid/
Coming soon,128 Morena Dr,Holly Springs,NC,27540,"$268,830","4 bds , 3 ba , 1,916 sqft",,https://www.zillow.com/homedetails/128-Morena-Dr-Holly-Springs-NC-27540/6564495_zpid/
House for sale,810 Grand Provincial Ave,Matthews,NC,28105,"$551,749","4 bds , 4 ba , 3,983 sqft",,https://www.zillow.com/homedetails/810-Grand-Provincial-Ave-Matthews-NC-28105/65049794_zpid/
House for sale,104 Shadow Mist Ct,Apex,NC,27539,"$552,080","6 bds , 4 ba , 5,402 sqft",,https://www.zillow.com/homedetails/104-Shadow-Mist-Ct-Apex-NC-27539/118202442_zpid/
Coming soon,9020 Blueshot Ct,CHARLOTTE,NC,28273,"$235,870","4 bds , 3 ba , 1,848 sqft",,https://www.zillow.com/homedetails/9020-Blueshot-Ct-Charlotte-NC-28273/6285884_zpid/
House for sale,9000 Linslade Way,Wake Forest,NC,27587,"$358,530","4 bds , 3 ba , 3,049 sqft",,https://www.zillow.com/homedetails/9000-Linslade-Way-Wake-Forest-NC-27587/82677621_zpid/
Coming soon,1005 Tulip Grove Ln,Wake Forest,NC,27587,"$224,540","3 bds , 3 ba , 1,616 sqft",,https://www.zillow.com/homedetails/1005-Tulip-Grove-Ln-Wake-Forest-NC-27587/60539735_zpid/
House for sale,1400 Alpine Creek Dr,RALEIGH,NC,27614,"$6,500,000","7 bds , 12 ba , 18,398 sqft",Hodge & Kittrell Sotheby's International Realty,https://www.zillow.com/homedetails/1400-Alpine-Creek-Dr-Raleigh-NC-27614/80205877_zpid/
House for sale,3919 Faith Church Rd,Indian Trail,NC,28079,"$243,320","3 bds , 3 ba , 1,793 sqft",,https://www.zillow.com/homedetails/3919-Faith-Church-Rd-Indian-Trail-NC-28079/51465926_zpid/
Coming soon,2033 Gloucester St,Weddington,NC,28104,"$454,230","4 bds , 3 ba , 2,924 sqft",,https://www.zillow.com/homedetails/2033-Gloucester-St-Weddington-NC-28104/89702238_zpid/
House for sale,303 S Brandon Way,Jacksonville,NC,28540,"$133,000","4 bds , 3 ba , 2,279 sqft",Coldwell Banker Fountain Realty,https://www.zillow.com/homedetails/303-S-Brandon-Way-Jacksonville-NC-28540/2136321166_zpid/
Foreclosure,564 Wildwood Acres Rd,FRANKLIN,NC,28734,"$100,000","3 bds , 3 ba , 3,304 sqft",,https://www.zillow.com/homedetails/564-Wildwood-Acres-Rd-Franklin-NC-28734/65636278_zpid/
House for sale,3820 Moncacy Dr,RALEIGH,NC,27610,"$200,000","3 bds , 3 ba , 1,868 sqft",,https://www.zillow.com/homedetails/3820-Moncacy-Dr-Raleigh-NC-27610/81436827_zpid/
Foreclosure,1849 Kirby Rd,LILESVILLE,NC,28091,"$63,000","4 bds , 5 ba , 3,120 sqft",,https://www.zillow.com/homedetails/1849-Kirby-Rd-Lilesville-NC-28091/88860099_zpid/
Coming soon,6205 Castlecove Rd,Charlotte,NC,28278,"$361,530","4 bds , 5 ba , 4,592 sqft",,https://www.zillow.com/homedetails/6205-Castlecove-Rd-Charlotte-NC-28278/80455519_zpid/
House for sale,6955 Wadsworth Pl,FAYETTEVILLE,NC,28314,"$79,300","3 bds , 3 ba , 1,534 sqft",,https://www.zillow.com/homedetails/6955-Wadsworth-Pl-Fayetteville-NC-28314/53708558_zpid/
House for sale,24 Browntown Rd,Asheville,NC,28803,"$10,750,000","5 bds , 8.5 ba , 16,221 sqft",Beverly-Hanks Biltmore Park,https://www.zillow.com/homedetails/24-Browntown-Rd-Asheville-NC-28803/5611518_zpid/
House for sale,1842 Southwind Dr,CHARLOTTE,NC,28216,"$189,900","4 bds , 3 ba , 2,264 sqft",Wilkinson ERA Real Estate,https://www.zillow.com/homedetails/1842-Southwind-Dr-Charlotte-NC-28216/65006222_zpid/
House for sale,12520 Ivey Creek Dr,Charlotte,NC,28273,"$255,000","4 bds , 3 ba , 2,356 sqft",,https://www.zillow.com/homedetails/12520-Ivey-Creek-Dr-Charlotte-NC-28273/54497246_zpid/
House for sale,420 Williamsboro St,OXFORD,NC,27565,"$110,000","3 bds , 3 ba , 4,134 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/420-Williamsboro-St-Oxford-NC-27565/93025841_zpid/
Coming soon,4003 Stonehill Ln,MATTHEWS,NC,28104,"$452,170","5 bds , 4 ba , 3,339 sqft",,https://www.zillow.com/homedetails/4003-Stonehill-Ln-Matthews-NC-28104/80909910_zpid/
Coming soon,2209 Wide River Dr,RALEIGH,NC,27614,"$531,480","6 bds , 6 ba , 4,636 sqft",,https://www.zillow.com/homedetails/2209-Wide-River-Dr-Raleigh-NC-27614/79885861_zpid/
House for sale,2216 Long And Winding Rd,RALEIGH,NC,27603,"$237,500","3 bds , 3 ba , 1,567 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/2216-Long-And-Winding-Rd-Raleigh-NC-27603/6518914_zpid/
New construction,1306 Pineview Dr,GARNER,NC,27529,"$125,000","4 bds , 3 ba , 1,919 sqft",,https://www.zillow.com/homedetails/1306-Pineview-Dr-Garner-NC-27529/6405164_zpid/
Coming soon,9416 Leyton Dr,HARRISBURG,NC,28075,"$429,510","5 bds , 4 ba , 3,331 sqft",,https://www.zillow.com/homedetails/9416-Leyton-Dr-Harrisburg-NC-28075/80200327_zpid/
House for sale,9235 Sweetleaf Pl,CHARLOTTE,NC,28278,"$6,200,000","6 bds , 11 ba , 15,621 sqft",,https://www.zillow.com/homedetails/9235-Sweetleaf-Pl-Charlotte-NC-28278/65057386_zpid/
House for sale,1812 Lakepark Dr,RALEIGH,NC,27612,"$359,000","3 bds , 3 ba , 2,899 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/1812-Lakepark-Dr-Raleigh-NC-27612/6449937_zpid/
