title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5722 S 185th St,OMAHA,NE,68135,"$315,000","4 bds , 3 ba , 2,241 sqft",,https://www.zillow.com/homedetails/5722-S-185th-St-Omaha-NE-68135/75842399_zpid/
House for sale,811 N 43rd St,OMAHA,NE,68131,"$160,000","4 bds , 2 ba , 1,596 sqft",,https://www.zillow.com/homedetails/811-N-43rd-St-Omaha-NE-68131/75778801_zpid/
For sale by owner,5040 La Salle St,Lincoln,NE,68516,"$235,000","3 bds , 4 ba , 1,760 sqft",,https://www.zillow.com/homedetails/5040-La-Salle-St-Lincoln-NE-68516/6595861_zpid/
House for sale,12801 Josephine St,OMAHA,NE,68138,"$179,900","3 bds , 2 ba , 1,503 sqft",,https://www.zillow.com/homedetails/12801-Josephine-St-Omaha-NE-68138/58584956_zpid/
For sale by owner,8049 Lowell Ave,Lincoln,NE,68506,"$235,000","4 bds , 3 ba , 1,276 sqft",,https://www.zillow.com/homedetails/8049-Lowell-Ave-Lincoln-NE-68506/6590330_zpid/
House for sale,4105 S 173rd St,Omaha,NE,68135,"$325,000","5 bds , 4 ba , 3,195 sqft",,https://www.zillow.com/homedetails/4105-S-173rd-St-Omaha-NE-68135/75804801_zpid/
House for sale,4643 Farnam St,OMAHA,NE,68132,"$235,000","3 bds , 2 ba , 1,718 sqft",,https://www.zillow.com/homedetails/4643-Farnam-St-Omaha-NE-68132/75786217_zpid/
House for sale,5112 Underwood Ave,OMAHA,NE,68132,"$350,000","3 bds , 2 ba , 2,363 sqft",Better Homes and Gardens Real Estate The Good Life Group,https://www.zillow.com/homedetails/5112-Underwood-Ave-Omaha-NE-68132/75875344_zpid/
House for sale,2354 Calumet Ct,Lincoln,NE,68502,"$255,900","4 bds , 2 ba , 1,912 sqft",,https://www.zillow.com/homedetails/2354-Calumet-Ct-Lincoln-NE-68502/6625251_zpid/
House for sale,2722 S 48th St,OMAHA,NE,68106,"$160,000","3 bds , 2 ba , 2,224 sqft",,https://www.zillow.com/homedetails/2722-S-48th-St-Omaha-NE-68106/75780900_zpid/
For sale by owner,3621 S 35th St,Lincoln,NE,68506,"$224,900","4 bds , 3 ba , 2,800 sqft",,https://www.zillow.com/homedetails/3621-S-35th-St-Lincoln-NE-68506/6593995_zpid/
House for sale,7031 S 31st Pl,Lincoln,NE,68516,"$229,900","3 bds , 3 ba , 1,681 sqft",,https://www.zillow.com/homedetails/7031-S-31st-Pl-Lincoln-NE-68516/6601956_zpid/
