title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,10 Frick Dr,ALPINE,NJ,07620,"$17,999,999","8 bds , 14 ba , 22,000 sqft",,https://www.zillow.com/homedetails/10-Frick-Dr-Alpine-NJ-07620/124236838_zpid/
Condo for sale,821 Jersey Ave APT 8A,Elizabeth,NJ,07202,"$199,000","3 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/821-Jersey-Ave-APT-8A-Elizabeth-NJ-07202/2146131282_zpid/
House for sale,117 Garfield Ave,TOMS RIVER,NJ,08753,"$249,900","3 bds , 2 ba , 1,240 sqft",,https://www.zillow.com/homedetails/117-Garfield-Ave-Toms-River-NJ-08753/39595510_zpid/
House for sale,27 Ward Ave,RUMSON,NJ,07760,"$11,750,000","8 bds , 12 ba , 16,000 sqft",,https://www.zillow.com/homedetails/27-Ward-Ave-Rumson-NJ-07760/82748567_zpid/
House for sale,942 Columbus Dr,Brick,NJ,08724,"$174,000","3 bds , 2 ba , 1,409 sqft",,https://www.zillow.com/homedetails/942-Columbus-Dr-Brick-NJ-08724/39569957_zpid/
House for sale,89 Llewellyn Dr,SPARTA,NJ,07871,"$250,000","3 bds , 2 ba , 1,608 sqft",,https://www.zillow.com/homedetails/89-Llewellyn-Dr-Sparta-NJ-07871/39949408_zpid/
House for sale,55 Columbus Ave,HASBROUCK HEIGHTS,NJ,07604,"$299,900","4 bds , 2 ba , 1,491 sqft",,https://www.zillow.com/homedetails/55-Columbus-Ave-Hasbrouck-Heights-NJ-07604/37931794_zpid/
House for sale,20 S Columbia St,Woodbury,NJ,08096,"$69,900","5 bds , 2 ba , 1,640 sqft",Century 21 Advantage Gold-Cherry Hill,https://www.zillow.com/homedetails/20-S-Columbia-St-Woodbury-NJ-08096/38827058_zpid/
House for sale,142 Lenape Trl,MANASQUAN,NJ,08736,"$459,000","3 bds , 3 ba , 2,588 sqft",,https://www.zillow.com/homedetails/142-Lenape-Trl-Manasquan-NJ-08736/39301751_zpid/
Foreclosure,2023 Florence Ave,Hazlet,NJ,07730,"$165,000","4 bds , 3 ba , 2,275 sqft",,https://www.zillow.com/homedetails/2023-Florence-Ave-Hazlet-NJ-07730/39250346_zpid/
House for sale,28 Edgewood Rd,Glen Ridge,NJ,07028,"$499,000","4 bds , 3 ba , 1,800 sqft",,https://www.zillow.com/homedetails/28-Edgewood-Rd-Glen-Ridge-NJ-07028/38655805_zpid/
House for sale,7 Ruth Pl,Piscataway,NJ,08854,"$213,750","4 bds , 2 ba , 1,776 sqft","CENTURY 21 Charles Smith Agency, Inc.",https://www.zillow.com/homedetails/7-Ruth-Pl-Piscataway-NJ-08854/39143860_zpid/
House for sale,112 Weber Ave,SAYREVILLE,NJ,08872,"$100,000","4 bds , 3 ba , 1,850 sqft",,https://www.zillow.com/homedetails/112-Weber-Ave-Sayreville-NJ-08872/39158990_zpid/
House for sale,12-18 Randolph Pl,NEWARK,NJ,07108,"$135,000","6 bds , 4 ba , 3,769 sqft",CENTURY 21 Pogo Realtors,https://www.zillow.com/homedetails/12-18-Randolph-Pl-Newark-NJ-07108/38706755_zpid/
House for sale,133 Nassau Ave,PAULSBORO,NJ,08066,"$89,440","3 bds , 2 ba , 2,040 sqft",,https://www.zillow.com/homedetails/133-Nassau-Ave-Paulsboro-NJ-08066/52398675_zpid/
House for sale,200 Stabled Way,MAHWAH,NJ,07430,"$29,500,000","10 bds , 12 ba , 9,528 sqft",,https://www.zillow.com/homedetails/200-Stabled-Way-Mahwah-NJ-07430/67878857_zpid/
House for sale,105 Montclair Ave,Montclair,NJ,07042,"$765,000","5 bds , 4 ba , 2,386 sqft",,https://www.zillow.com/homedetails/105-Montclair-Ave-Montclair-NJ-07042/38688574_zpid/
House for sale,520 Bird St,Vineland,NJ,08360,"$15,600","3 bds , 2 ba , 1,209 sqft",,https://www.zillow.com/homedetails/520-Bird-St-Vineland-NJ-08360/38421310_zpid/
House for sale,9 Park Ter,MONTCLAIR,NJ,07043,"$569,000","4 bds , 3 ba , 2,300 sqft",,https://www.zillow.com/homedetails/9-Park-Ter-Montclair-NJ-07043/38684848_zpid/
House for sale,46 School St,PISCATAWAY,NJ,08854,"$219,900","4 bds , 2 ba , 1,348 sqft",,https://www.zillow.com/homedetails/46-School-St-Piscataway-NJ-08854/39148258_zpid/
House for sale,398 Rushfoil Dr,Williamstown,NJ,08094,"$299,900","4 bds , 3 ba , 2,826 sqft",,https://www.zillow.com/homedetails/398-Rushfoil-Dr-Williamstown-NJ-08094/2085536018_zpid/
House for sale,326 N Van Dien Ave,Ridgewood,NJ,07450,"$538,000","3 bds , 2 ba , 1,932 sqft",Prominent Properties Sotheby's International Realty,https://www.zillow.com/homedetails/326-N-Van-Dien-Ave-Ridgewood-NJ-07450/38012141_zpid/
House for sale,309 Manor Ave,Cranford,NJ,07016,"$415,000","3 bds , 2 ba , 1,752 sqft",Coldwell Banker Residential Brokerage - Westfield West Office,https://www.zillow.com/homedetails/309-Manor-Ave-Cranford-NJ-07016/39981838_zpid/
House for sale,301 Dearborne Ave,BLACKWOOD,NJ,08012,"$275,000","4 bds , 4 ba , 2,475 sqft",,https://www.zillow.com/homedetails/301-Dearborne-Ave-Blackwood-NJ-08012/38257701_zpid/
House for sale,99 Bellevue Ave,Montclair,NJ,07043,"$679,000","4 bds , 4 ba , 2,259 sqft",Prominent Properties Sotheby's International Realty,https://www.zillow.com/homedetails/99-Bellevue-Ave-Montclair-NJ-07043/38686901_zpid/
House for sale,84 Hillside Ave,SPRINGFIELD,NJ,07081,"$535,900","4 bds , 4 ba , 2,300 sqft",Coldwell Banker Residential Brokerage - Livingston Office,https://www.zillow.com/homedetails/84-Hillside-Ave-Springfield-NJ-07081/40061858_zpid/
House for sale,51 Harvard St,MONTCLAIR,NJ,07042,"$399,000","3 bds , 2 ba , 1,256 sqft",Coldwell Banker Residential Brokerage - Montclair Office,https://www.zillow.com/homedetails/51-Harvard-St-Montclair-NJ-07042/38688990_zpid/
House for sale,30 Aubrey Rd,MONTCLAIR,NJ,07043,"$699,000","4 bds , 3 ba , 2,195 sqft",Prominent Properties Sotheby's International Realty,https://www.zillow.com/homedetails/30-Aubrey-Rd-Montclair-NJ-07043/38686446_zpid/
