title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,4101 Los Tomases Dr NW,Albuquerque,NM,87107,"$200,000","4 bds , 3 ba , 2,304 sqft",Coldwell Banker Legacy,https://www.zillow.com/homedetails/4101-Los-Tomases-Dr-NW-Albuquerque-NM-87107/6722576_zpid/
Foreclosure,157 Sandy Ln,Corrales,NM,87048,"$250,000","3 bds , 2 ba , 2,586 sqft",,https://www.zillow.com/homedetails/157-Sandy-Ln-Corrales-NM-87048/2126060054_zpid/
House for sale,335 Villeros St,SANTA FE,NM,87501,"$375,000","3 bds , 2 ba , 1,548 sqft",,https://www.zillow.com/homedetails/335-Villeros-St-Santa-Fe-NM-87501/6834140_zpid/
House for sale,300 San Jose Pass,Edgewood,NM,87015,"$135,000","3 bds , 2 ba , 2,087 sqft",ERA Sellers & Buyers Real Estate,https://www.zillow.com/homedetails/300-San-Jose-Pass-Edgewood-NM-87015/246187504_zpid/
House for sale,4162 Raindance Ln,Santa Fe,NM,87507,"$295,000","3 bds , 2 ba , 1,268 sqft",,https://www.zillow.com/homedetails/4162-Raindance-Ln-Santa-Fe-NM-87507/63752640_zpid/
House for sale,7 Lowlands Lane (rt 5 # 287-M),Santa Fe,NM,87506,"$199,900","3 bds , 3 ba , 2,415 sqft",,https://www.zillow.com/homedetails/7-Lowlands-Lane-(rt-5-287-M)-Santa-Fe-NM-87506/2088707872_zpid/
House for sale,7609 Richmond Hill Rd NW,ALBUQUERQUE,NM,87120,"$288,000","4 bds , 3 ba , 2,360 sqft",,https://www.zillow.com/homedetails/7609-Richmond-Hill-Rd-NW-Albuquerque-NM-87120/6693436_zpid/
House for sale,117 Tesuque Rdg,SANTA FE,NM,87501,"$13,650,000","6 bds , 5 ba , 13,779 sqft",Sotheby's International Realty - Main Downtown,https://www.zillow.com/homedetails/117-Tesuque-Rdg-Santa-Fe-NM-87501/80885381_zpid/
House for sale,32 Colonias Pointe,Taos,NM,87571,"$326,000","2 bds , 2 ba , 1,536 sqft",,https://www.zillow.com/homedetails/32-Colonias-Pointe-Taos-NM-87571/2088070105_zpid/
Condo for sale,334 Otero St # 11-1,Santa Fe,NM,87501,"$170,000","2 bds , 2.25 ba , 1,226 sqft",,https://www.zillow.com/homedetails/334-Otero-St-11-1-Santa-Fe-NM-87501/2095551764_zpid/
Foreclosure,322B County Road 84,Santa Fe,NM,87506,"$139,900","3 bds , 1 ba , 2,016 sqft",,https://www.zillow.com/homedetails/322B-County-Road-84-Santa-Fe-NM-87506/2094873437_zpid/
House for sale,8305 Tierra Linda Pl NE,ALBUQUERQUE,NM,87122,"$375,000","4 bds , 3 ba , 2,521 sqft",Coldwell Banker Legacy,https://www.zillow.com/homedetails/8305-Tierra-Linda-Pl-NE-Albuquerque-NM-87122/6769952_zpid/
House for sale,627 Cyan Ct NW,ALBUQUERQUE,NM,87120,"$178,000","3 bds , 2 ba , 1,428 sqft",,https://www.zillow.com/homedetails/627-Cyan-Ct-NW-Albuquerque-NM-87120/67902787_zpid/
