title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5501 Painted Sunrise Dr,Las Vegas,NV,89149,"$453,200","4 bds , 3 ba , 3,135 sqft",,https://www.zillow.com/homedetails/5501-Painted-Sunrise-Dr-Las-Vegas-NV-89149/6900259_zpid/
House for sale,1005 James Lovell St,Las Vegas,NV,89145,"$275,000","4 bds , 2 ba , 2,193 sqft",,https://www.zillow.com/homedetails/1005-James-Lovell-St-Las-Vegas-NV-89145/6975617_zpid/
House for sale,8625 Copper Ridge Ave,Las Vegas,NV,89129,"$330,000","4 bds , 3 ba , 2,139 sqft",,https://www.zillow.com/homedetails/8625-Copper-Ridge-Ave-Las-Vegas-NV-89129/6925815_zpid/
House for sale,3700 Beacon Point St,Las Vegas,NV,89129,"$280,000","3 bds , 3 ba , 1,524 sqft",,https://www.zillow.com/homedetails/3700-Beacon-Point-St-Las-Vegas-NV-89129/6925892_zpid/
Coming soon,2529 Charteroak St,Las Vegas,NV,89108,"$216,000","3 bds , 2 ba , 1,221 sqft",,https://www.zillow.com/homedetails/2529-Charteroak-St-Las-Vegas-NV-89108/6935748_zpid/
House for sale,1674 Spotted Wolf Ave,Las Vegas,NV,89123,"$292,000","3 bds , 3 ba , 1,866 sqft",,https://www.zillow.com/homedetails/1674-Spotted-Wolf-Ave-Las-Vegas-NV-89123/66863243_zpid/
House for sale,7937 Farralon Ridge Ct,Las Vegas,NV,89149,"$373,000","3 bds , 3 ba , 2,325 sqft",,https://www.zillow.com/homedetails/7937-Farralon-Ridge-Ct-Las-Vegas-NV-89149/66844815_zpid/
House for sale,4654 Ashington St,Las Vegas,NV,89147,"$310,000","3 bds , 3 ba , 2,048 sqft",,https://www.zillow.com/homedetails/4654-Ashington-St-Las-Vegas-NV-89147/7132668_zpid/
House for sale,6636 Joe Michael Way,Las Vegas,NV,89108,"$240,900","3 bds , 3 ba , 1,297 sqft",,https://www.zillow.com/homedetails/6636-Joe-Michael-Way-Las-Vegas-NV-89108/6931343_zpid/
House for sale,8233 Spanish Meadows Ave,Las Vegas,NV,89131,"$359,000","3 bds , 3 ba , 2,684 sqft",,https://www.zillow.com/homedetails/8233-Spanish-Meadows-Ave-Las-Vegas-NV-89131/55105583_zpid/
House for sale,2535 Cortina Ave,Henderson,NV,89074,"$344,500","4 bds , 3 ba , 1,991 sqft",,https://www.zillow.com/homedetails/2535-Cortina-Ave-Henderson-NV-89074/7197987_zpid/
House for sale,4209 Hawks Glide Ave,North Las Vegas,NV,89084,"$490,000","5 bds , 4 ba , 4,263 sqft",,https://www.zillow.com/homedetails/4209-Hawks-Glide-Ave-North-Las-Vegas-NV-89084/70055883_zpid/
House for sale,3557 Moraga Dr,Las Vegas,NV,89103,"$284,900","4 bds , 2 ba , 1,704 sqft",,https://www.zillow.com/homedetails/3557-Moraga-Dr-Las-Vegas-NV-89103/7122148_zpid/
House for sale,6541 Churnet Valley Ave,Las Vegas,NV,89139,"$272,000","4 bds , 3 ba , 1,655 sqft",,https://www.zillow.com/homedetails/6541-Churnet-Valley-Ave-Las-Vegas-NV-89139/61747891_zpid/
House for sale,1222 Sonatina Dr,Henderson,NV,89052,"$368,000","3 bds , 2 ba , 1,638 sqft",,https://www.zillow.com/homedetails/1222-Sonatina-Dr-Henderson-NV-89052/55111902_zpid/
House for sale,10307 Artful Stone Ave,Las Vegas,NV,89149,"$479,900","3 bds , 3 ba , 2,562 sqft",,https://www.zillow.com/homedetails/10307-Artful-Stone-Ave-Las-Vegas-NV-89149/118197713_zpid/
House for sale,11138 Romola St,Las Vegas,NV,89141,"$379,000","4 bds , 3 ba , 2,793 sqft",,https://www.zillow.com/homedetails/11138-Romola-St-Las-Vegas-NV-89141/53377994_zpid/
House for sale,1676 Ravanusa Dr,Henderson,NV,89052,"$485,000","5 bds , 4 ba , 2,855 sqft",,https://www.zillow.com/homedetails/1676-Ravanusa-Dr-Henderson-NV-89052/52215119_zpid/
Coming soon,2324 Aragon Canyon St,Las Vegas,NV,89135,"$569,750","3 bds , 3 ba , 3,158 sqft",,https://www.zillow.com/homedetails/2324-Aragon-Canyon-St-Las-Vegas-NV-89135/66848832_zpid/
