title,address,city,state,postal_code,price,facts and features,real estate provider,url
Townhouse for sale,12 E 69th St,NEW YORK,NY,10021,"$88,000,000","6 bds , 11 ba , 20,000 sqft",,https://www.zillow.com/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/
Condo for sale,520 W 28th St,New York,NY,10001,"$58,500,000","7 bds , 9 ba , 11,121 sqft",,https://www.zillow.com/homedetails/520-W-28th-St-New-York-NY-10001/2086472572_zpid/
House for sale,Jule Pond Dr,Water Mill,NY,11976,"$175,000,000","12 bds , 12 ba , 20,000 sqft",,https://www.zillow.com/homedetails/Jule-Pond-Dr-Water-Mill-NY-11976/2092865524_zpid/
Condo for sale,635 W 42nd St # 45,New York,NY,10036,"$85,000,000","10 bds , 10.5 ba , 15,000 sqft",,https://www.zillow.com/homedetails/635-W-42nd-St-45-New-York-NY-10036/2102322179_zpid/
Townhouse for sale,134 Charles St,New York,NY,10014,"$80,000,000","6 bds , 8.5 ba , 18,000 sqft",,https://www.zillow.com/homedetails/134-Charles-St-New-York-NY-10014/2105104498_zpid/
Condo for sale,12 E 63rd St,New York,NY,10065,"$67,000,000","7 bds , 11 ba , 13,000 sqft",,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/
House for sale,Spring Knls,Great Neck,NY,11024,"$35,000,000","6 bds , 17 ba , 26,000 sqft",Daniel Gale Great Neck LLC,https://www.zillow.com/homedetails/Spring-Knls-Great-Neck-NY-11024/2087197092_zpid/
Condo for sale,45 E 22nd St # PHAB,New York,NY,10010,"$77,700,000","6 bds , 11 ba , 13,060 sqft",,https://www.zillow.com/homedetails/45-E-22nd-St-PHAB-New-York-NY-10010/2087101986_zpid/
House for sale,351 S 1st Ave,MOUNT VERNON,NY,10550,"$249,900","6 bds , 3 ba , 2,600 sqft",,https://www.zillow.com/homedetails/351-S-1st-Ave-Mount-Vernon-NY-10550/32954511_zpid/
Co-op for sale,21544 47th Ave APT 1C,Bayside,NY,11361,"$299,000","2 bds , 1 ba , 118,000 sqft",,https://www.zillow.com/homedetails/21544-47th-Ave-APT-1C-Bayside-NY-11361/245379132_zpid/
