title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,28 S Crosstimber Trl,Edmond,OK,73034,"$315,000","4 bds , 3 ba , 2,823 sqft",,https://www.zillow.com/homedetails/28-S-Crosstimber-Trl-Edmond-OK-73034/21938835_zpid/
House for sale,8340 Belcaro Bnd,EDMOND,OK,73034,"$307,000","4 bds , 3 ba , 2,507 sqft",CENTURY 21 Goodyear Green,https://www.zillow.com/homedetails/8340-Belcaro-Bnd-Edmond-OK-73034/69624224_zpid/
House for sale,19416 Hawthorne Branch Dr,Edmond,OK,73012,"$150,000","3 bds , 2 ba , 1,299 sqft",,https://www.zillow.com/homedetails/19416-Hawthorne-Branch-Dr-Edmond-OK-73012/89351980_zpid/
House for sale,415 Aspen Ave,Tuttle,OK,73089,"$108,800","3 bds , 2 ba , 1,514 sqft",,https://www.zillow.com/homedetails/415-Aspen-Ave-Tuttle-OK-73089/78478694_zpid/
House for sale,8333 S Sandusky Ave,TULSA,OK,74137,"$200,000","4 bds , 3 ba , 2,486 sqft",,https://www.zillow.com/homedetails/8333-S-Sandusky-Ave-Tulsa-OK-74137/22219194_zpid/
House for sale,521 W College St,BROKEN ARROW,OK,74012,"$99,900","4 bds , 2 ba , 1,755 sqft",,https://www.zillow.com/homedetails/521-W-College-St-Broken-Arrow-OK-74012/22243993_zpid/
House for sale,1027 E Queen St,TULSA,OK,74106,"$59,900","2 bds , 2 ba , 872 sqft",,https://www.zillow.com/homedetails/1027-E-Queen-St-Tulsa-OK-74106/22104398_zpid/
House for sale,10833 NW 32nd Ter,Yukon,OK,73099,"$269,900","4 bds , 3 ba , 2,252 sqft",,https://www.zillow.com/homedetails/10833-NW-32nd-Ter-Yukon-OK-73099/123681872_zpid/
House for sale,9713 Berkley Cir,Oklahoma City,OK,73162,"$189,000","4 bds , 3 ba , 2,808 sqft",,https://www.zillow.com/homedetails/9713-Berkley-Cir-Oklahoma-City-OK-73162/21976594_zpid/
House for sale,9437 Prairie Dog Dr,EDMOND,OK,73034,"$157,000","3 bds , 2 ba , 1,344 sqft",,https://www.zillow.com/homedetails/9437-Prairie-Dog-Dr-Edmond-OK-73034/55104163_zpid/
House for sale,5105 E 25th Ct,TULSA,OK,74114,"$165,000","3 bds , 2 ba , 2,107 sqft",,https://www.zillow.com/homedetails/5105-E-25th-Ct-Tulsa-OK-74114/22123980_zpid/
House for sale,5101 Broadway,Norman,OK,73069,"$330,000","4 bds , 2 ba , 2,587 sqft",,https://www.zillow.com/homedetails/5101-Broadway-Norman-OK-73069/2085545578_zpid/
For sale by owner,4805 NW 75th St,Oklahoma City,OK,73132,"$249,900","4 bds , 3 ba , 2,475 sqft",,https://www.zillow.com/homedetails/4805-NW-75th-St-Oklahoma-City-OK-73132/21954564_zpid/
House for sale,6731 S Marion Ave,TULSA,OK,74136,"$319,000","3 bds , 3 ba , 2,653 sqft",,https://www.zillow.com/homedetails/6731-S-Marion-Ave-Tulsa-OK-74136/22229875_zpid/
House for sale,8800 Lakeaire Dr,Oklahoma City,OK,73132,"$229,500","5 bds , 3 ba , 2,618 sqft",,https://www.zillow.com/homedetails/8800-Lakeaire-Dr-Oklahoma-City-OK-73132/21966018_zpid/
House for sale,4867 S 69th East Ave,Tulsa,OK,74145,"$145,000","3 bds , 2 ba , 1,850 sqft",Coldwell Banker Select,https://www.zillow.com/homedetails/4867-S-69th-East-Ave-Tulsa-OK-74145/22153190_zpid/
House for sale,13900 SE 119th St,Oklahoma City,OK,73165,"$209,900","3 bds , 2 ba , 2,059 sqft",,https://www.zillow.com/homedetails/13900-SE-119th-St-Oklahoma-City-OK-73165/21764223_zpid/
House for sale,713 NW 143rd St,Edmond,OK,73013,"$225,000","3 bds , 2 ba , 2,144 sqft",CENTURY 21 Goodyear Green,https://www.zillow.com/homedetails/713-NW-143rd-St-Edmond-OK-73013/21937533_zpid/
House for sale,9300 N Yale Ave,SPERRY,OK,74073,"$189,500","4 bds , 3.5 ba , 7,099 sqft",,https://www.zillow.com/homedetails/9300-N-Yale-Ave-Sperry-OK-74073/81439965_zpid/
New construction,13200 W Wilshire Blvd,Yukon,OK,73099,"$950,000","4 bds , 4 ba , 3,943 sqft",,https://www.zillow.com/homedetails/13200-W-Wilshire-Blvd-Yukon-OK-73099/206587350_zpid/
House for sale,4750 E Indian Hills Rd,Norman,OK,73026,"$249,900","3 bds , 2 ba , 2,206 sqft",,https://www.zillow.com/homedetails/4750-E-Indian-Hills-Rd-Norman-OK-73026/21760997_zpid/
House for sale,2401 Horse Trail Rd,Edmond,OK,73012,"$225,000","4 bds , 3 ba , 2,449 sqft",,https://www.zillow.com/homedetails/2401-Horse-Trail-Rd-Edmond-OK-73012/21957983_zpid/
House for sale,7301 S Drexel Ave,Oklahoma City,OK,73159,"$129,900","4 bds , 2 ba , 1,191 sqft",,https://www.zillow.com/homedetails/7301-S-Drexel-Ave-Oklahoma-City-OK-73159/21966556_zpid/
House for sale,12850 Fox Hole Rd,EDMOND,OK,73034,"$145,000","3 bds , 2 ba , 1,954 sqft",,https://www.zillow.com/homedetails/12850-Fox-Hole-Rd-Edmond-OK-73034/59897074_zpid/
House for sale,460 Falcon Cir,Sapulpa,OK,74066,"$189,900","4 bds , 3 ba , 2,484 sqft",,https://www.zillow.com/homedetails/460-Falcon-Cir-Sapulpa-OK-74066/21777949_zpid/
