title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,380 Talmadge Rd,INDEPENDENCE,OR,97351,"$149,500","4 bds , 3 ba , 2,440 sqft",,https://www.zillow.com/homedetails/380-Talmadge-Rd-Independence-OR-97351/48519311_zpid/
House for sale,9912 NW Wind Ridge Dr,PORTLAND,OR,97229,"$8,650,000","4 bds , 6 ba , 11,399 sqft",,https://www.zillow.com/homedetails/9912-NW-Wind-Ridge-Dr-Portland-OR-97229/53931221_zpid/
House for sale,1704 SE Ellis St,PORTLAND,OR,97202,"$364,900","2 bds , 3 ba , 1,766 sqft",Cascade Sotheby's International Realty,https://www.zillow.com/homedetails/1704-SE-Ellis-St-Portland-OR-97202/53912774_zpid/
House for sale,685 SE 24th Ave,HILLSBORO,OR,97123,"$300,000","3 bds , 2 ba , 1,392 sqft",,https://www.zillow.com/homedetails/685-SE-24th-Ave-Hillsboro-OR-97123/48593746_zpid/
House for sale,16400 Jordan Rd,Sisters,OR,97759,"$24,000,000","8 bds , 9 ba , 14,666 sqft",Cascade Sotheby's International Realty,https://www.zillow.com/homedetails/16400-Jordan-Rd-Sisters-OR-97759/133619597_zpid/
House for sale,2424 SW Montgomery Dr,PORTLAND,OR,97201,"$5,900,000","7 bds , 8 ba , 14,335 sqft",,https://www.zillow.com/homedetails/2424-SW-Montgomery-Dr-Portland-OR-97201/53956393_zpid/
House for sale,728 SE 141st Ave,Portland,OR,97233,"$289,900","4 bds , 2 ba , 1,545 sqft",,https://www.zillow.com/homedetails/728-SE-141st-Ave-Portland-OR-97233/53930655_zpid/
House for sale,72406 E Hwy 26,Rhododendron,OR,97049,"$99,950","2 bds , 1 ba , 1,053 sqft",,https://www.zillow.com/homedetails/72406-E-Hwy-26-Rhododendron-OR-97049/2086426550_zpid/
House for sale,525 NW 57th St,NEWPORT,OR,97365,"$199,000","3 bds , 2 ba , 2,336 sqft",,https://www.zillow.com/homedetails/525-NW-57th-St-Newport-OR-97365/60368704_zpid/
House for sale,61961 Ballantrae Ct,BEND,OR,97702,"$6,950,000","7 bds , 10 ba , 14,821 sqft",Cascade Sotheby's International Realty,https://www.zillow.com/homedetails/61961-Ballantrae-Ct-Bend-OR-97702/89801046_zpid/
For sale by owner,3352 S Tenmile Lk,Lakeside,OR,97449,"$150,000","1 bd , 1 ba , 970 sqft",,https://www.zillow.com/homedetails/3352-S-Tenmile-Lk-Lakeside-OR-97449/2089095769_zpid/
House for sale,1831 N Jantzen Ave,Portland,OR,97217,"$30,000","1 bd , 1 ba , 1,100 sqft",,https://www.zillow.com/homedetails/1831-N-Jantzen-Ave-Portland-OR-97217/2087201588_zpid/
House for sale,5120 SE 45th Ave,Portland,OR,97206,"$299,900","2 bds , 1 ba , 1,264 sqft",,https://www.zillow.com/homedetails/5120-SE-45th-Ave-Portland-OR-97206/53902647_zpid/
House for sale,1510 SW Buddington St,Portland,OR,97219,"$4,198,000","4 bds , 7 ba , 7,981 sqft",,https://www.zillow.com/homedetails/1510-SW-Buddington-St-Portland-OR-97219/58472820_zpid/
House for sale,6356 NE Rodney Ave,PORTLAND,OR,97211,"$399,900","3 bds , 2 ba , 2,302 sqft",,https://www.zillow.com/homedetails/6356-NE-Rodney-Ave-Portland-OR-97211/53933972_zpid/
