title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,770 Godfrey Rd,VILLANOVA,PA,19085,"$14,650,000","10 bds , 14 ba , 19,000 sqft",Kurfiss Sotheby's International Realty,https://www.zillow.com/homedetails/770-Godfrey-Rd-Villanova-PA-19085/54670939_zpid/
House for sale,5532 Morris St,Philadelphia,PA,19144,"$150,000","4 bds , 2 ba , 2,062 sqft",,https://www.zillow.com/homedetails/5532-Morris-St-Philadelphia-PA-19144/10234079_zpid/
House for sale,A1 Ashbourne Rd,Elkins Park,PA,19027,"$11,000,000","55 bds , 20 ba , 70,000 sqft",,https://www.zillow.com/homedetails/A1-Ashbourne-Rd-Elkins-Park-PA-19027/2104144500_zpid/
Foreclosure,37 Comanche Ct,JIM THORPE,PA,18229,"$38,500","3 bds , 2 ba , 2,418 sqft",,https://www.zillow.com/homedetails/37-Comanche-Ct-Jim-Thorpe-PA-18229/78573142_zpid/
House for sale,17595 Susquehanna Trl S,NEW FREEDOM,PA,17349,"$1,950,000","7 bds , 12 ba , 16,828 sqft",,https://www.zillow.com/homedetails/17595-Susquehanna-Trl-S-New-Freedom-PA-17349/83090473_zpid/
House for sale,6604 N 12th St,Philadelphia,PA,19126,"$169,999","6 bds , 4 ba , 3,615 sqft",,https://www.zillow.com/homedetails/6604-N-12th-St-Philadelphia-PA-19126/10546233_zpid/
House for sale,258 Peekskill St,PITTSBURGH,PA,15212,"$199,900","4 bds , 3 ba , 2,161 sqft",,https://www.zillow.com/homedetails/258-Peekskill-St-Pittsburgh-PA-15212/11505881_zpid/
House for sale,1354 S West End Blvd,QUAKERTOWN,PA,18951,"$199,000","3 bds , 2 ba , 1,439 sqft",,https://www.zillow.com/homedetails/1354-S-West-End-Blvd-Quakertown-PA-18951/9090577_zpid/
House for sale,3053 Powder Mill Cir,BETHLEHEM,PA,18017,"$299,900","4 bds , 3 ba , 2,360 sqft",,https://www.zillow.com/homedetails/3053-Powder-Mill-Cir-Bethlehem-PA-18017/10135477_zpid/
House for sale,2425 Golf Rd,Philadelphia,PA,19131,"$165,000","4 bds , 3 ba , 1,640 sqft",CENTURY 21 Advantage Gold,https://www.zillow.com/homedetails/2425-Golf-Rd-Philadelphia-PA-19131/10486670_zpid/
House for sale,146 Harvest Dr,VERONA,PA,15147,"$28,600","2 bds , 2 ba , 1,444 sqft",ERA Meridian Real Estate Group,https://www.zillow.com/homedetails/146-Harvest-Dr-Verona-PA-15147/11415117_zpid/
House for sale,2918 Alton Ave,Allentown,PA,18103,"$175,000","3 bds , 2 ba , 1,718 sqft",,https://www.zillow.com/homedetails/2918-Alton-Ave-Allentown-PA-18103/2100515785_zpid/
House for sale,222 Garden Ave,HORSHAM,PA,19044,"$272,500","4 bds , 2 ba , 1,350 sqft",,https://www.zillow.com/homedetails/222-Garden-Ave-Horsham-PA-19044/9936376_zpid/
House for sale,4112 Blueberry Hill Rd,BUSHKILL,PA,18324,"$64,900","2 bds , 2 ba , 1,260 sqft",,https://www.zillow.com/homedetails/4112-Blueberry-Hill-Rd-Bushkill-PA-18324/89400329_zpid/
New construction,2618 Federal St # 1,Philadelphia,PA,19146,"$270,000","3 bds , 3 ba , 1,317 sqft",,https://www.zillow.com/homedetails/2618-Federal-St-1-Philadelphia-PA-19146/2087092025_zpid/
House for sale,4370 Kilbert Dr,ALLISON PARK,PA,15101,"$359,900","4 bds , 3 ba , 2,451 sqft",,https://www.zillow.com/homedetails/4370-Kilbert-Dr-Allison-Park-PA-15101/11621371_zpid/
House for sale,1408 Center St,WEST CHESTER,PA,19382,"$400,000","4 bds , 2 ba , 3,138 sqft",,https://www.zillow.com/homedetails/1408-Center-St-West-Chester-PA-19382/54752216_zpid/
House for sale,546 S Franklin St,WILKES BARRE,PA,18702,"$12,600","3 bds , 2 ba , 1,460 sqft",,https://www.zillow.com/homedetails/546-S-Franklin-St-Wilkes-Barre-PA-18702/53519898_zpid/
Townhouse for sale,2337 Morris St,Philadelphia,PA,19145,"$285,000","3 bds , 3 ba , 1,996 sqft",,https://www.zillow.com/homedetails/2337-Morris-St-Philadelphia-PA-19145/10367732_zpid/
House for sale,3200 Brownsville Rd,PITTSBURGH,PA,15227,"$264,900","5 bds , 3 ba , 2,515 sqft",,https://www.zillow.com/homedetails/3200-Brownsville-Rd-Pittsburgh-PA-15227/11304876_zpid/
House for sale,1503 Grasshopper Rd,HUNTINGDON VALLEY,PA,19006,"$353,900","4 bds , 4 ba , 4,044 sqft",,https://www.zillow.com/homedetails/1503-Grasshopper-Rd-Huntingdon-Valley-PA-19006/9971661_zpid/
Foreclosure,5929 Phillips Ave,PITTSBURGH,PA,15217,"$144,900","4 bds , 2 ba , 1,971 sqft",,https://www.zillow.com/homedetails/5929-Phillips-Ave-Pittsburgh-PA-15217/11635164_zpid/
House for sale,2101 Market St,Harrisburg,PA,17103,"$69,900","5 bds , 3 ba , 2,505 sqft",,https://www.zillow.com/homedetails/2101-Market-St-Harrisburg-PA-17103/86491830_zpid/
Foreclosure,168 Rolling Rd,Bethel Park,PA,15102,"$97,900","3 bds , 2 ba , 1,335 sqft",,https://www.zillow.com/homedetails/168-Rolling-Rd-Bethel-Park-PA-15102/11471549_zpid/
House for sale,1331 Grant Ave,Philadelphia,PA,19115,"$314,900","3 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/1331-Grant-Ave-Philadelphia-PA-19115/80949970_zpid/
House for sale,8131 Remington Dr,PITTSBURGH,PA,15237,"$225,000","3 bds , 2 ba , 1,404 sqft",,https://www.zillow.com/homedetails/8131-Remington-Dr-Pittsburgh-PA-15237/11558907_zpid/
House for sale,7722 Old York Rd,ELKINS PARK,PA,19027,"$178,900","4 bds , 4 ba , 2,842 sqft",,https://www.zillow.com/homedetails/7722-Old-York-Rd-Elkins-Park-PA-19027/9918431_zpid/
House for sale,726 Humphreys Rd,ARDMORE,PA,19003,"$235,000","4 bds , 4 ba , 1,596 sqft",,https://www.zillow.com/homedetails/726-Humphreys-Rd-Ardmore-PA-19003/9378911_zpid/
House for sale,410 E Rose Tree Rd,MEDIA,PA,19063,"$184,900","4 bds , 3 ba , 2,541 sqft",,https://www.zillow.com/homedetails/410-E-Rose-Tree-Rd-Media-PA-19063/9420868_zpid/
House for sale,104 Tyler Rd,KING OF PRUSSIA,PA,19406,"$229,900","3 bds , 2 ba , 1,173 sqft",Coldwell Banker Preferred - Old City Office,https://www.zillow.com/homedetails/104-Tyler-Rd-King-Of-Prussia-PA-19406/10045683_zpid/
House for sale,541 Snyder Rd,ONTELAUNEE,PA,19605,"$140,000","4 bds , 2 ba , 480 sqft",,https://www.zillow.com/homedetails/541-Snyder-Rd-Ontelaunee-PA-19605/8910006_zpid/
House for sale,107 Bradley Rd,ANNVILLE,PA,17003,"$200,000","3 bds , 3 ba , 2,132 sqft",,https://www.zillow.com/homedetails/107-Bradley-Rd-Annville-PA-17003/86544899_zpid/
House for sale,2729 River Rd,NEW HOPE,PA,18938,"$250,800","3 bds , 2 ba , 1,324 sqft",,https://www.zillow.com/homedetails/2729-River-Rd-New-Hope-PA-18938/9096420_zpid/
House for sale,1306 N Frazier St,Philadelphia,PA,19131,"$199,900","4 bds , 2 ba , 1,536 sqft",,https://www.zillow.com/homedetails/1306-N-Frazier-St-Philadelphia-PA-19131/10193864_zpid/
House for sale,7111 Sheaff Ln,FORT WASHINGTON,PA,19034,"$10,000,000","9 bds , 15 ba , 36,957 sqft",,https://www.zillow.com/homedetails/7111-Sheaff-Ln-Fort-Washington-PA-19034/10073064_zpid/
House for sale,1209 Harrow Hill Ct,CORAOPOLIS,PA,15108,"$390,000","4 bds , 4 ba , 2,978 sqft",,https://www.zillow.com/homedetails/1209-Harrow-Hill-Ct-Coraopolis-PA-15108/11586513_zpid/
House for sale,1978 River Rd,MIDDLETOWN,PA,17057,"$199,900","3 bds , 2 ba , 1,688 sqft",,https://www.zillow.com/homedetails/1978-River-Rd-Middletown-PA-17057/86434320_zpid/
House for sale,1421 Nectarine Rd,DANIELSVILLE,PA,18038,"$239,000","3 bds , 2 ba , 1,493 sqft",,https://www.zillow.com/homedetails/1421-Nectarine-Rd-Danielsville-PA-18038/10093342_zpid/
