title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,758 Parker Dr,Pawleys Island,SC,29585,"$95,000","6 bds , 7 ba , 3,268 sqft",,https://www.zillow.com/homedetails/758-Parker-Dr-Pawleys-Island-SC-29585/10974248_zpid/
House for sale,32 Legare St,CHARLESTON,SC,29401,"$14,999,000","9 bds , 14.5 ba , 17,142 sqft",,https://www.zillow.com/homedetails/32-Legare-St-Charleston-SC-29401/10904569_zpid/
Foreclosure,1930 Willow St,COLUMBIA,SC,29203,"$32,000","4 bds , 2 ba , 1,872 sqft",CENTURY 21 Vanguard,https://www.zillow.com/homedetails/1930-Willow-St-Columbia-SC-29203/11690782_zpid/
House for sale,745 Tall Oaks Ct,Myrtle Beach,SC,29588,"$73,000","3 bds , 3 ba , 1,500 sqft",,https://www.zillow.com/homedetails/745-Tall-Oaks-Ct-Myrtle-Beach-SC-29588/2122645256_zpid/
House for sale,1421 Lee Dobbins Rd,ANDERSON,SC,29626,"$149,900","4 bds , 2 ba , 2,420 sqft",,https://www.zillow.com/homedetails/1421-Lee-Dobbins-Rd-Anderson-SC-29626/10779985_zpid/
House for sale,520 Snow Mill Dr,WOODRUFF,SC,29388,"$165,000","3 bds , 2 ba , 1,855 sqft",,https://www.zillow.com/homedetails/520-Snow-Mill-Dr-Woodruff-SC-29388/11799420_zpid/
House for sale,57 Olde Springs Rd,COLUMBIA,SC,29223,"$254,950","4 bds , 4 ba , 3,574 sqft",Coldwell Banker Residential Brokerage - Midtown,https://www.zillow.com/homedetails/57-Olde-Springs-Rd-Columbia-SC-29223/11729400_zpid/
House for sale,22 Plantation Homes Dr # 22,Daufuskie Island,SC,29915,"$199,000","3 bds , 4 ba , 2,504 sqft",,https://www.zillow.com/homedetails/22-Plantation-Homes-Dr-22-Daufuskie-Island-SC-29915/2104002169_zpid/
House for sale,1926 Maybank Hwy,CHARLESTON,SC,29412,"$5,999,000","6 bds , 8 ba , 7,000 sqft",,https://www.zillow.com/homedetails/1926-Maybank-Hwy-Charleston-SC-29412/10869062_zpid/
House for sale,405 Plantation Dr,LEXINGTON,SC,29072,"$219,000","5 bds , 3 ba , 2,592 sqft",,https://www.zillow.com/homedetails/405-Plantation-Dr-Lexington-SC-29072/11206140_zpid/
House for sale,1225 Parker Dr,PAWLEYS ISLAND,SC,29585,"$150,000","6 bds , 6 ba , 3,640 sqft",,https://www.zillow.com/homedetails/1225-Parker-Dr-Pawleys-Island-SC-29585/10973991_zpid/
House for sale,5080 Rodgwin Rd,Sumter,SC,29153,"$29,900","3 bds , 2 ba , 1,311 sqft",,https://www.zillow.com/homedetails/5080-Rodgwin-Rd-Sumter-SC-29153/2120579675_zpid/
House for sale,110 Springhouse Way,GREENVILLE,SC,29607,"$274,900","4 bds , 3 ba , 2,221 sqft",,https://www.zillow.com/homedetails/110-Springhouse-Way-Greenville-SC-29607/67596804_zpid/
House for sale,15 Ashley Hall Dr,BLUFFTON,SC,29910,"$495,000","3 bds , 4 ba , 4,018 sqft",,https://www.zillow.com/homedetails/15-Ashley-Hall-Dr-Bluffton-SC-29910/68795435_zpid/
House for sale,172 Ingleoak Ln,GREENVILLE,SC,29615,"$215,000","4 bds , 4 ba , 2,400 sqft",,https://www.zillow.com/homedetails/172-Ingleoak-Ln-Greenville-SC-29615/11015978_zpid/
House for sale,405 N Silver Ridge Dr,GREER,SC,29651,"$424,900","4 bds , 3 ba , 2,886 sqft",,https://www.zillow.com/homedetails/405-N-Silver-Ridge-Dr-Greer-SC-29651/11088068_zpid/
House for sale,29 Legare St,CHARLESTON,SC,29401,"$13,850,000","5 bds , 6 ba , 7,800 sqft",,https://www.zillow.com/homedetails/29-Legare-St-Charleston-SC-29401/10904030_zpid/
House for sale,99 Swanson Dr,SUMMERVILLE,SC,29483,"$145,000","7 bds , 5 ba , 3,702 sqft",,https://www.zillow.com/homedetails/99-Swanson-Dr-Summerville-SC-29483/10948658_zpid/
House for sale,6453 Old Bucksville Rd,Conway,SC,29527,"$249,990","3 bds , 2 ba , 3,000 sqft",,https://www.zillow.com/homedetails/6453-Old-Bucksville-Rd-Conway-SC-29527/2086102883_zpid/
For sale by owner,195 Offshore Dr,Murrells Inlet,SC,29576,"$72,900","4 bds , 2 ba , 2,400 sqft",,https://www.zillow.com/homedetails/195-Offshore-Dr-Murrells-Inlet-SC-29576/69596453_zpid/
New construction,24 Oyster Catcher Rd,HILTON HEAD ISLAND,SC,29928,"$8,995,000","7 bds , 9 ba , 6,700 sqft",,https://www.zillow.com/homedetails/24-Oyster-Catcher-Rd-Hilton-Head-Island-SC-29928/68792586_zpid/
House for sale,151 Shoreham Rd,SPARTANBURG,SC,29307,"$121,695","4 bds , 3 ba , 2,740 sqft",,https://www.zillow.com/homedetails/151-Shoreham-Rd-Spartanburg-SC-29307/11826380_zpid/
House for sale,106 Bonneau Ct,SUMMERVILLE,SC,29485,"$300,000","3 bds , 2 ba , 2,584 sqft",,https://www.zillow.com/homedetails/106-Bonneau-Ct-Summerville-SC-29485/10960588_zpid/
House for sale,256 Letha Ln,Lexington,SC,29072,"$289,000","4 bds , 3 ba , 3,339 sqft",,https://www.zillow.com/homedetails/256-Letha-Ln-Lexington-SC-29072/111149759_zpid/
House for sale,9 Angelica Ave,Summerville,SC,29483,"$273,090","4 bds , 3 ba , 2,433 sqft",,https://www.zillow.com/homedetails/9-Angelica-Ave-Summerville-SC-29483/2085740103_zpid/
House for sale,104 Devonwood Ct,COLUMBIA,SC,29212,"$165,000","4 bds , 3 ba , 2,250 sqft",CENTURY 21 Vanguard,https://www.zillow.com/homedetails/104-Devonwood-Ct-Columbia-SC-29212/11192464_zpid/
Condo for sale,300 Woodhaven Dr APT 1104,HILTON HEAD ISLAND,SC,29928,"$65,000","2 bds , 2 ba , 1,167 sqft",,https://www.zillow.com/homedetails/300-Woodhaven-Dr-APT-1104-Hilton-Head-Island-SC-29928/68814420_zpid/
House for sale,219 Barefoot Dr,Lexington,SC,29073,"$289,900","3 bds , 2 ba , 1,992 sqft",CENTURY 21 Vanguard,https://www.zillow.com/homedetails/219-Barefoot-Dr-Lexington-SC-29073/121566541_zpid/
House for sale,113 Gayle St,PIEDMONT,SC,29673,"$115,000","3 bds , 2 ba , 1,150 sqft",,https://www.zillow.com/homedetails/113-Gayle-St-Piedmont-SC-29673/11092660_zpid/
House for sale,1845 Gippy Ln,CHARLESTON,SC,29407,"$79,900","3 bds , 2 ba , 1,614 sqft",,https://www.zillow.com/homedetails/1845-Gippy-Ln-Charleston-SC-29407/10876743_zpid/
