title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1358 Page Rd,NASHVILLE,TN,37205,"$17,999,999","6 bds , 11 ba , 20,533 sqft",,https://www.zillow.com/homedetails/1358-Page-Rd-Nashville-TN-37205/41173570_zpid/
House for sale,3720 Diana Ridge Rd,Pulaski,TN,38478,"$199,900","3 bds , 2 ba , 2,400 sqft",,https://www.zillow.com/homedetails/3720-Diana-Ridge-Rd-Pulaski-TN-38478/63006747_zpid/
House for sale,2423 Hidden River Ln,FRANKLIN,TN,37069,"$17,900,000","6 bds , 13 ba , 22,743 sqft",,https://www.zillow.com/homedetails/2423-Hidden-River-Ln-Franklin-TN-37069/52023495_zpid/
New construction,1001 11th Ave N,NASHVILLE,TN,37208,"$185,000","3 bds , 2 ba , 1,289 sqft",,https://www.zillow.com/homedetails/1001-11th-Ave-N-Nashville-TN-37208/41099142_zpid/
House for sale,5628 Lyons View Pike,Knoxville,TN,37919,"$14,995,000","8 bds , 13.5 ba , 40,768 sqft",,https://www.zillow.com/homedetails/5628-Lyons-View-Pike-Knoxville-TN-37919/186228165_zpid/
House for sale,2925 Beasley Rd,CHAPEL HILL,TN,37034,$1,"4 bds , 3 ba , 3,520 sqft",,https://www.zillow.com/homedetails/2925-Beasley-Rd-Chapel-Hill-TN-37034/41920264_zpid/
New construction,337 Bournemouth Ln,Hermitage,TN,37076,"$699,000","6 bds , 6 ba , 5,288 sqft",,https://www.zillow.com/homedetails/337-Bournemouth-Ln-Hermitage-TN-37076/108755884_zpid/
For sale by owner,6113 Kettle Dr,KNOXVILLE,TN,37918,"$33,000","3 bds , 2 ba , 1,408 sqft",,https://www.zillow.com/homedetails/6113-Kettle-Dr-Knoxville-TN-37918/52596075_zpid/
House for sale,4107 Forest Trail Dr,Sevierville,TN,37876,"$125,000","2 bds , 2 ba , 1,655 sqft",,https://www.zillow.com/homedetails/4107-Forest-Trail-Dr-Sevierville-TN-37876/42498137_zpid/
House for sale,3540 Trimble Rd,NASHVILLE,TN,37215,"$3,249,000","5 bds , 7 ba , 8,050 sqft",,https://www.zillow.com/homedetails/3540-Trimble-Rd-Nashville-TN-37215/41158343_zpid/
House for sale,2317 Benay Rd,Nashville,TN,37214,"$180,000","3 bds , 2 ba , 960 sqft",,https://www.zillow.com/homedetails/2317-Benay-Rd-Nashville-TN-37214/41067088_zpid/
House for sale,8473 Stone Wood Cv E,CORDOVA,TN,38018,"$99,999","3 bds , 2 ba , 2,391 sqft",,https://www.zillow.com/homedetails/8473-Stone-Wood-Cv-E-Cordova-TN-38018/42288459_zpid/
House for sale,333 Snead Dr,Crossville,TN,38558,"$89,900","2 bds , 2 ba , 1,977 sqft",,https://www.zillow.com/homedetails/333-Snead-Dr-Crossville-TN-38558/41002894_zpid/
House for sale,7201 Stagecoach Trl,KNOXVILLE,TN,37909,"$240,000","3 bds , 4 ba , 2,771 sqft",,https://www.zillow.com/homedetails/7201-Stagecoach-Trl-Knoxville-TN-37909/41664933_zpid/
House for sale,241 Dickerson Rd,Hillsboro,TN,37342,$1,"4 bds , 2 ba , 2,536 sqft",,https://www.zillow.com/homedetails/241-Dickerson-Rd-Hillsboro-TN-37342/81078491_zpid/
