title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5619 Walnut Hill Ln,Dallas,TX,75229,"$29,500,000","10 bds , 17 ba , 27,092 sqft",,https://www.zillow.com/homedetails/5619-Walnut-Hill-Ln-Dallas-TX-75229/26757825_zpid/
House for sale,100 Carnarvon Dr,HOUSTON,TX,77024,"$29,999,999","8 bds , 8 ba , 26,401 sqft",Sotheby's International Realty - Memorial Brokerage,https://www.zillow.com/homedetails/100-Carnarvon-Dr-Houston-TX-77024/84024352_zpid/
House for sale,1210 Hacienda Del Sol,Weslaco,TX,78596,"$150,000","8 bds , 6 ba , 5,408 sqft",,https://www.zillow.com/homedetails/1210-Hacienda-Del-Sol-Weslaco-TX-78596/52819522_zpid/
House for sale,10210 Strait Ln,DALLAS,TX,75229,"$23,000,000","6 bds , 11 ba , 11,387 sqft",Briggs Freeman Sotheby's International Realty,https://www.zillow.com/homedetails/10210-Strait-Ln-Dallas-TX-75229/26758058_zpid/
House for sale,6005 Rayburn Dr,Fort Worth,TX,76133,"$305,000","5 bds , 4 ba , 3,797 sqft",,https://www.zillow.com/homedetails/6005-Rayburn-Dr-Fort-Worth-TX-76133/29109285_zpid/
House for sale,1000 Kirby Dr,HOUSTON,TX,77019,"$20,000,000","9 bds , 11 ba , 23,870 sqft",Sotheby's International Realty - Briar Hollow Brokerage,https://www.zillow.com/homedetails/1000-Kirby-Dr-Houston-TX-77019/27792466_zpid/
House for sale,2816 Birmingham Ave,Dallas,TX,75215,"$300,000","3 bds , 3 ba , 2,037 sqft",,https://www.zillow.com/homedetails/2816-Birmingham-Ave-Dallas-TX-75215/96515154_zpid/
For sale by owner,11203 Loblolly Ln,Euless,TX,76040,"$128,500","3 bds , 2 ba , 1,856 sqft",,https://www.zillow.com/homedetails/11203-Loblolly-Ln-Euless-TX-76040/2087614433_zpid/
House for sale,5131 Pine Lake Dr,SAN ANTONIO,TX,78244,"$173,900","4 bds , 3 ba , 2,113 sqft",,https://www.zillow.com/homedetails/5131-Pine-Lake-Dr-San-Antonio-TX-78244/26189886_zpid/
House for sale,1808 Point De Vue Dr,Flower Mound,TX,75022,"$12,000,000","11 bds , 13 ba , 19,337 sqft",,https://www.zillow.com/homedetails/1808-Point-De-Vue-Dr-Flower-Mound-TX-75022/2133120005_zpid/
House for sale,10 Davenport Ln,SAN ANTONIO,TX,78257,"$9,500,000","11 bds , 9 ba , 8,675 sqft",,https://www.zillow.com/homedetails/10-Davenport-Ln-San-Antonio-TX-78257/26477110_zpid/
House for sale,15714 Bellforest Ct,HOUSTON,TX,77044,"$275,000","4 bds , 4 ba , 3,863 sqft",,https://www.zillow.com/homedetails/15714-Bellforest-Ct-Houston-TX-77044/80591989_zpid/
House for sale,7654 Eagle Ledge,SAN ANTONIO,TX,78249,"$327,000","4 bds , 3 ba , 2,792 sqft",,https://www.zillow.com/homedetails/7654-Eagle-Ledge-San-Antonio-TX-78249/80041789_zpid/
House for sale,2904 Harbinger Ln,DALLAS,TX,75287,"$242,500","2 bds , 2 ba , 1,298 sqft",CENTURY 21 Judge Fite Co.,https://www.zillow.com/homedetails/2904-Harbinger-Ln-Dallas-TX-75287/55172764_zpid/
Condo for sale,3121 Park Ln APT 1111,Dallas,TX,75220,"$90,000","3 bds , 2 ba , 1,193 sqft",,https://www.zillow.com/homedetails/3121-Park-Ln-APT-1111-Dallas-TX-75220/2087109911_zpid/
House for sale,5139 Seneca Dr,DALLAS,TX,75209,"$8,995,000","6 bds , 9 ba , 16,000 sqft",Briggs Freeman Sotheby's International Realty,https://www.zillow.com/homedetails/5139-Seneca-Dr-Dallas-TX-75209/26759508_zpid/
House for sale,4601 Misty Ridge Dr,Fort Worth,TX,76137,"$190,000","3 bds , 3 ba , 1,696 sqft",Century 21 Judge Fite Co.,https://www.zillow.com/homedetails/4601-Misty-Ridge-Dr-Fort-Worth-TX-76137/29220760_zpid/
House for sale,204 Ridgecrest Dr,Euless,TX,76040,"$169,000","3 bds , 2 ba , 1,222 sqft",,https://www.zillow.com/homedetails/204-Ridgecrest-Dr-Euless-TX-76040/29060215_zpid/
Foreclosure,507 W Vega Ln,Killeen,TX,76542,"$122,000","4 bds , 3 ba , 2,106 sqft",,https://www.zillow.com/homedetails/507-W-Vega-Ln-Killeen-TX-76542/120887427_zpid/
House for sale,9553 Bella Terra Dr,Fort Worth,TX,76126,"$7,000,000","6 bds , 9 ba , 24,093 sqft",,https://www.zillow.com/homedetails/9553-Bella-Terra-Dr-Fort-Worth-TX-76126/83788499_zpid/
House for sale,26631 Lisa Ln,PORTER,TX,77365,"$129,900","2 bds , 2 ba , 1,124 sqft",,https://www.zillow.com/homedetails/26631-Lisa-Ln-Porter-TX-77365/67662484_zpid/
House for sale,127 Birnam Wood Ct,AUSTIN,TX,78746,"$9,450,000","6 bds , 6.2 ba , 8,975 sqft",,https://www.zillow.com/homedetails/127-Birnam-Wood-Ct-Austin-TX-78746/29332420_zpid/
For sale by owner,5712 Brookneal Ct,Arlington,TX,76018,"$152,000","4 bds , 2 ba , 1,696 sqft",,https://www.zillow.com/homedetails/5712-Brookneal-Ct-Arlington-TX-76018/29298760_zpid/
For sale by owner,8310 Holmwood Dr,HOUSTON,TX,77040,"$170,000","5 bds , 3 ba , 2,270 sqft",,https://www.zillow.com/homedetails/8310-Holmwood-Dr-Houston-TX-77040/28446224_zpid/
Coming soon,15130 Mause Creek Dr,Humble,TX,77396,"$228,660","4 bds , 3 ba , 2,458 sqft",,https://www.zillow.com/homedetails/15130-Mause-Creek-Dr-Humble-TX-77396/161421362_zpid/
House for sale,5540 N 40th Pl,Dallas,TX,75252,"$6,999,000","9 bds , 12 ba , 15,074 sqft",,https://www.zillow.com/homedetails/5540-N-40th-Pl-Dallas-TX-75252/53127814_zpid/
House for sale,1109 Pleasant Valley Rd,Garland,TX,75040,"$65,000","3 bds , 2 ba , 1,555 sqft",Coldwell Banker Apex Realtors,https://www.zillow.com/homedetails/1109-Pleasant-Valley-Rd-Garland-TX-75040/27004880_zpid/
For sale by owner,11208 Loblolly Ln,Euless,TX,76040,"$134,250","4 bds , 2 ba , 2,040 sqft",,https://www.zillow.com/homedetails/11208-Loblolly-Ln-Euless-TX-76040/2089322746_zpid/
House for sale,3410 Woodbriar Dr,HOUSTON,TX,77068,"$220,000","4 bds , 3 ba , 2,626 sqft","Coldwell Banker United, Realtors - Sugar Land",https://www.zillow.com/homedetails/3410-Woodbriar-Dr-Houston-TX-77068/28239433_zpid/
New construction,4926 Deloache Ave,DALLAS,TX,75220,"$12,495,000","7 bds , 13 ba , 14,179 sqft",,https://www.zillow.com/homedetails/4926-Deloache-Ave-Dallas-TX-75220/96510928_zpid/
House for sale,1703 Aurora Dr,Richardson,TX,75081,"$300,000","5 bds , 4 ba , 2,743 sqft",,https://www.zillow.com/homedetails/1703-Aurora-Dr-Richardson-TX-75081/27159683_zpid/
House for sale,940 W Dove Rd,Southlake,TX,76092,"$11,000,000","8 bds , 13 ba , 16,477 sqft",Briggs Freeman Sotheby's International Realty,https://www.zillow.com/homedetails/940-W-Dove-Rd-Southlake-TX-76092/97701597_zpid/
House for sale,5134 Vanderbilt Ave,DALLAS,TX,75206,"$335,000","3 bds , 2 ba , 1,586 sqft",,https://www.zillow.com/homedetails/5134-Vanderbilt-Ave-Dallas-TX-75206/26695574_zpid/
House for sale,11911 Fawnview Dr,HOUSTON,TX,77070,"$289,900","4 bds , 3 ba , 3,576 sqft",,https://www.zillow.com/homedetails/11911-Fawnview-Dr-Houston-TX-77070/28261645_zpid/
House for sale,31 W Rivercrest Dr,HOUSTON,TX,77042,"$4,875,000","11 bds , 12 ba , 20,513 sqft",,https://www.zillow.com/homedetails/31-W-Rivercrest-Dr-Houston-TX-77042/84051651_zpid/
New construction,6223 Katy Run,San Antonio,TX,78220,"$211,000","4 bds , 3 ba , 1,706 sqft",,https://www.zillow.com/homedetails/6223-Katy-Run-San-Antonio-TX-78220/2086346755_zpid/
House for sale,10010 Moongrove Pass,SAN ANTONIO,TX,78239,"$134,900","3 bds , 3 ba , 2,786 sqft",,https://www.zillow.com/homedetails/10010-Moongrove-Pass-San-Antonio-TX-78239/69663459_zpid/
Condo for sale,4548 Chaha Rd APT 102,Garland,TX,75043,"$220,000","4 bds , 5 ba , 2,701 sqft",,https://www.zillow.com/homedetails/4548-Chaha-Rd-APT-102-Garland-TX-75043/2092899033_zpid/
House for sale,3811 Westlake Dr,AUSTIN,TX,78746,"$9,990,000","5 bds , 6.5 ba , 5,775 sqft",,https://www.zillow.com/homedetails/3811-Westlake-Dr-Austin-TX-78746/29342058_zpid/
House for sale,12099 Village Gate Dr,EL PASO,TX,79936,"$199,900","4 bds , 2.5 ba , 2,417 sqft",ERA Sellers & Buyers Real Estate,https://www.zillow.com/homedetails/12099-Village-Gate-Dr-El-Paso-TX-79936/27515902_zpid/
House for sale,215 S Pinto St,SAN ANTONIO,TX,78207,"$215,000","4 bds , 1 ba , 2,004 sqft",,https://www.zillow.com/homedetails/215-S-Pinto-St-San-Antonio-TX-78207/26125193_zpid/
House for sale,14331 Bellcrest Dr,SAN ANTONIO,TX,78217,"$179,999","3 bds , 2 ba , 1,588 sqft",,https://www.zillow.com/homedetails/14331-Bellcrest-Dr-San-Antonio-TX-78217/26397413_zpid/
House for sale,1222 Crockett St,Amarillo,TX,79102,"$129,900","4 bds , 2 ba , 1,918 sqft",,https://www.zillow.com/homedetails/1222-Crockett-St-Amarillo-TX-79102/50803244_zpid/
House for sale,1102 Baffin Ln,HOUSTON,TX,77090,"$125,000","4 bds , 4 ba , 3,547 sqft",,https://www.zillow.com/homedetails/1102-Baffin-Ln-Houston-TX-77090/28176093_zpid/
House for sale,1038 W Ridgewood Ct,SAN ANTONIO,TX,78201,"$129,900","3 bds , 2 ba , 1,450 sqft",,https://www.zillow.com/homedetails/1038-W-Ridgewood-Ct-San-Antonio-TX-78201/26141640_zpid/
House for sale,3716 N White Chapel Blvd,Southlake,TX,76092,"$3,500,000","8 bds , 10 ba , 19,673 sqft",,https://www.zillow.com/homedetails/3716-N-White-Chapel-Blvd-Southlake-TX-76092/79918269_zpid/
New construction,2727 Carpenter Ave,DALLAS,TX,75215,"$164,000","3 bds , 2 ba , 1,416 sqft",,https://www.zillow.com/homedetails/2727-Carpenter-Ave-Dallas-TX-75215/26687232_zpid/
House for sale,5007 Pepper Ln,Austin,TX,78744,"$189,000","3 bds , 2 ba , 1,224 sqft",,https://www.zillow.com/homedetails/5007-Pepper-Ln-Austin-TX-78744/29489181_zpid/
For sale by owner,435 Bear Trl # 368,Glenn Heights,TX,75154,"$75,000","3 bds , 2 ba , 1,699 sqft",,https://www.zillow.com/homedetails/435-Bear-Trl-368-Glenn-Heights-TX-75154/27225377_zpid/
House for sale,1810 Foxlake Dr,HOUSTON,TX,77084,"$189,000","4 bds , 3 ba , 2,159 sqft",,https://www.zillow.com/homedetails/1810-Foxlake-Dr-Houston-TX-77084/28371636_zpid/
New construction,2003 Kraft St,DALLAS,TX,75212,"$369,900","5 bds , 4 ba , 2,472 sqft",,https://www.zillow.com/homedetails/2003-Kraft-St-Dallas-TX-75212/96512585_zpid/
For sale by owner,9807 Heritage Farm,San Antonio,TX,78245,"$189,900","4 bds , 2 ba , 1,874 sqft",,https://www.zillow.com/homedetails/9807-Heritage-Farm-San-Antonio-TX-78245/26367890_zpid/
House for sale,2006 Roanwood Dr,Houston,TX,77090,"$161,800","5 bds , 4 ba , 2,848 sqft",,https://www.zillow.com/homedetails/2006-Roanwood-Dr-Houston-TX-77090/28167493_zpid/
House for sale,4531 Laurie Michelle Rd,SAN ANTONIO,TX,78261,"$389,500","5 bds , 4 ba , 3,748 sqft",,https://www.zillow.com/homedetails/4531-Laurie-Michelle-Rd-San-Antonio-TX-78261/26168979_zpid/
House for sale,715 Mannington Dr,Dallas,TX,75232,"$155,000","4 bds , 2 ba , 1,437 sqft",,https://www.zillow.com/homedetails/715-Mannington-Dr-Dallas-TX-75232/67951494_zpid/
House for sale,13022 Peregrine,SAN ANTONIO,TX,78233,"$149,750","3 bds , 2 ba , 1,639 sqft",,https://www.zillow.com/homedetails/13022-Peregrine-San-Antonio-TX-78233/69638319_zpid/
New construction,2702 Brighton Park # TEVHVL,San Antonio,TX,78201,"$319,900","4 bds , 4 ba , 3,100 sqft",,https://www.zillow.com/community/horizon-pointe/2086971852_zpid/
House for sale,47 Grand Regency Cir,THE WOODLANDS,TX,77382,"$7,000,000","9 bds , 13 ba , 17,315 sqft",,https://www.zillow.com/homedetails/47-Grand-Regency-Cir-The-Woodlands-TX-77382/70331545_zpid/
House for sale,14738 Highland Rdg,SAN ANTONIO,TX,78233,"$204,900","4 bds , 2 ba , 2,037 sqft",,https://www.zillow.com/homedetails/14738-Highland-Rdg-San-Antonio-TX-78233/26386668_zpid/
House for sale,13411 Douglas Lake Rd,Houston,TX,77044,"$329,900","4 bds , 4 ba , 3,039 sqft",,https://www.zillow.com/homedetails/13411-Douglas-Lake-Rd-Houston-TX-77044/112159380_zpid/
House for sale,2509 Wooded Acres Dr,WACO,TX,76710,"$284,900","4 bds , 3 ba , 2,920 sqft",,https://www.zillow.com/homedetails/2509-Wooded-Acres-Dr-Waco-TX-76710/52104815_zpid/
