title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,4218 W 700 N,Vernal,UT,84078,"$104,000","5 bds , 2 ba , 3,284 sqft",,https://www.zillow.com/homedetails/4218-W-700-N-Vernal-UT-84078/229096318_zpid/
House for sale,217 White Pine Canyon Rd,Park City,UT,84060,"$14,000,000","6 bds , 9 ba , 12,303 sqft",,https://www.zillow.com/homedetails/217-White-Pine-Canyon-Rd-Park-City-UT-84060/111975959_zpid/
House for sale,69 White Pine Canyon Rd LOT 75,Park City,UT,84060,"$14,950,000","14 bds , 22 ba , 33,000 sqft",Summit Sotheby's International Realty,https://www.zillow.com/homedetails/69-White-Pine-Canyon-Rd-LOT-75-Park-City-UT-84060/2092293263_zpid/
House for sale,137 S 500 E,Pleasant Grove,UT,84062,"$320,000","7 bds , 4 ba , 3,523 sqft",,https://www.zillow.com/homedetails/137-S-500-E-Pleasant-Grove-UT-84062/82711251_zpid/
House for sale,166 S Dooley Ct,Salt Lake City,UT,84102,"$339,000","3 bds , 2 ba , 1,693 sqft",,https://www.zillow.com/homedetails/166-S-Dooley-Ct-Salt-Lake-City-UT-84102/12753453_zpid/
House for sale,2575 E Providence Ct,Holladay,UT,84121,"$5,995,000","8 bds , 13 ba , 24,401 sqft",,https://www.zillow.com/homedetails/2575-E-Providence-Ct-Holladay-UT-84121/97754638_zpid/
House for sale,322 S Concord St,SALT LAKE CITY,UT,84104,"$255,000","2 bds , 2 ba , 1,009 sqft",,https://www.zillow.com/homedetails/322-S-Concord-St-Salt-Lake-City-UT-84104/12736065_zpid/
House for sale,9726 E Lambs Canyon Rd,Slc,UT,84109,"$230,000","1 bd , 1 ba , 484 sqft",,https://www.zillow.com/homedetails/9726-E-Lambs-Canyon-Rd-Slc-UT-84109/2089077890_zpid/
House for sale,652 Oakview Ct,NORTH SALT LAKE,UT,84054,"$499,000","5 bds , 4 ba , 3,632 sqft",,https://www.zillow.com/homedetails/652-Oakview-Ct-North-Salt-Lake-UT-84054/89665242_zpid/
House for sale,756 E Parkway Ave,SALT LAKE CITY,UT,84106,"$299,900","2 bds , 1 ba , 1,305 sqft",,https://www.zillow.com/homedetails/756-E-Parkway-Ave-Salt-Lake-City-UT-84106/12775523_zpid/
House for sale,1601 E Mayfair S Cir,Salt Lake City,UT,84105,"$599,900","4 bds , 2 ba , 2,556 sqft",,https://www.zillow.com/homedetails/1601-E-Mayfair-S-Cir-Salt-Lake-City-UT-84105/2085532833_zpid/
House for sale,1141 N Oak Forest Rd,SALT LAKE CITY,UT,84103,"$7,100,000","5 bds , 7 ba , 12,351 sqft",Coldwell Banker Residential Brokerage - Union Heights,https://www.zillow.com/homedetails/1141-N-Oak-Forest-Rd-Salt-Lake-City-UT-84103/12717417_zpid/
New construction,300 E Gordon Ln # DK5FZ6,Murray,UT,84107,"$138,900","3 bds , 2 ba , 1,568 sqft",,https://www.zillow.com/community/cottonwood-coves/2086847402_zpid/
Condo for sale,346 W Pierpont Ave # W207,SALT LAKE CITY,UT,84101,"$235,000","1 bd , 1 ba , 463 sqft",,https://www.zillow.com/homedetails/346-W-Pierpont-Ave-W207-Salt-Lake-City-UT-84101/61167282_zpid/
New construction,8785 Lookout Ln,Park City,UT,84098,"$8,650,000","6 bds , 8 ba , 9,415 sqft",Summit Sotheby's International Realty,https://www.zillow.com/homedetails/8785-Lookout-Ln-Park-City-UT-84098/111975396_zpid/
House for sale,1194 N 1560 West Cir,St George,UT,84770,"$327,900","4 bds , 2 ba , 1,840 sqft",,https://www.zillow.com/homedetails/1194-N-1560-West-Cir-St-George-UT-84770/68898941_zpid/
House for sale,3384 Aztec Rd,St George,UT,84790,"$379,000","6 bds , 3 ba , 3,338 sqft",,https://www.zillow.com/homedetails/3384-Aztec-Rd-St-George-UT-84790/68884347_zpid/
House for sale,72 White Pine Canyon Rd,Park City,UT,84060,"$14,000,000","9 bds , 15 ba , 17,422 sqft",,https://www.zillow.com/homedetails/72-White-Pine-Canyon-Rd-Park-City-UT-84060/68853725_zpid/
House for sale,9806 Summit View Dr,Park City,UT,84060,"$17,900,000","6 bds , 10 ba , 13,536 sqft",,https://www.zillow.com/homedetails/9806-Summit-View-Dr-Park-City-UT-84060/2141549934_zpid/
House for sale,2562 E 2100 S,SALT LAKE CITY,UT,84109,"$400,000","4 bds , 2 ba , 2,018 sqft",CENTURY 21 Everest,https://www.zillow.com/homedetails/2562-E-2100-S-Salt-Lake-City-UT-84109/12778838_zpid/
