title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1055 Shillelagh Rd,CHESAPEAKE,VA,23323,"$180,000","4 bds , 3 ba , 2,144 sqft",,https://www.zillow.com/homedetails/1055-Shillelagh-Rd-Chesapeake-VA-23323/61408560_zpid/
New construction,300 River Bend Rd,Great Falls,VA,22066,"$6,981,000","6 bds , 9.5 ba , 16,800 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/300-River-Bend-Rd-Great-Falls-VA-22066/51700842_zpid/
House for sale,632 Fleet Dr,VIRGINIA BEACH,VA,23454,"$123,000","2 bds , 2 ba , 1,750 sqft",,https://www.zillow.com/homedetails/632-Fleet-Dr-Virginia-Beach-VA-23454/60756164_zpid/
Townhouse for sale,9784 Hagel Cir,LORTON,VA,22079,"$154,000","3 bds , 2 ba , 1,320 sqft",,https://www.zillow.com/homedetails/9784-Hagel-Cir-Lorton-VA-22079/51987638_zpid/
House for sale,4730 Occoquan Overlook,WOODBRIDGE,VA,22192,"$2,175,000","5 bds , 7 ba , 13,303 sqft",Coldwell Banker Residential Brokerage - Woodbridge- Prince William County,https://www.zillow.com/homedetails/4730-Occoquan-Overlook-Woodbridge-VA-22192/122336012_zpid/
House for sale,2620 Pea Ridge Rd,CHARLOTTESVILLE,VA,22901,"$259,900","3 bds , 1 ba , 1,356 sqft",,https://www.zillow.com/homedetails/2620-Pea-Ridge-Rd-Charlottesville-VA-22901/79010174_zpid/
House for sale,724 Atwell Ave,WINCHESTER,VA,22601,"$229,900","3 bds , 2 ba , 1,864 sqft","ERA OakCrest Realty, Inc.",https://www.zillow.com/homedetails/724-Atwell-Ave-Winchester-VA-22601/75340269_zpid/
New construction,7201 Dulany Dr,MCLEAN,VA,22101,"$10,800,000","8 bds , 12 ba , 16,000 sqft",,https://www.zillow.com/homedetails/7201-Dulany-Dr-Mclean-VA-22101/51750956_zpid/
House for sale,715 Draughon Rd,Chesapeake,VA,23322,"$240,000","5 bds , 3 ba , 3,251 sqft",,https://www.zillow.com/homedetails/715-Draughon-Rd-Chesapeake-VA-23322/61419887_zpid/
House for sale,3127 Griffin Ave,RICHMOND,VA,23222,"$289,900","3 bds , 3 ba , 1,595 sqft",,https://www.zillow.com/homedetails/3127-Griffin-Ave-Richmond-VA-23222/12529799_zpid/
Condo for sale,2623 S Walter Reed Dr UNIT C,Arlington,VA,22206,"$430,000","3 bds , 2 ba , 1,576 sqft",,https://www.zillow.com/homedetails/2623-S-Walter-Reed-Dr-UNIT-C-Arlington-VA-22206/12098493_zpid/
House for sale,208 Clifford Ave,Alexandria,VA,22305,"$729,900","3 bds , 2 ba , 1,277 sqft",,https://www.zillow.com/homedetails/208-Clifford-Ave-Alexandria-VA-22305/192125741_zpid/
House for sale,5820 Shana Pl,BURKE,VA,22015,"$379,900","3 bds , 2 ba , 1,277 sqft",,https://www.zillow.com/homedetails/5820-Shana-Pl-Burke-VA-22015/51901126_zpid/
