title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1700 SW Austin St,SEATTLE,WA,98106,"$569,000","3 bds , 3 ba , 1,980 sqft",,https://www.zillow.com/homedetails/1700-SW-Austin-St-Seattle-WA-98106/49060422_zpid/
Foreclosure,7506 47th Ave NW,TULALIP,WA,98271,"$48,900","3 bds , 2 ba , 1,123 sqft",,https://www.zillow.com/homedetails/7506-47th-Ave-NW-Tulalip-WA-98271/38475565_zpid/
New construction,2310 Perkins Ln W,Seattle,WA,98199,"$500,000","3 bds , 3 ba , 3,220 sqft",,https://www.zillow.com/homedetails/2310-Perkins-Ln-W-Seattle-WA-98199/2103112291_zpid/
House for sale,3105 N Park Rd,SPOKANE VALLEY,WA,99212,"$135,000","3 bds , 1 ba , 1,384 sqft",,https://www.zillow.com/homedetails/3105-N-Park-Rd-Spokane-Valley-WA-99212/23519246_zpid/
House for sale,(undisclosed Address),Hunts Point,WA,98004,"$45,000,000","3 bds , 5 ba , 9,420 sqft",,https://www.zillow.com/homedetails/(undisclosed-Address)-Hunts-Point-WA-98004/2087938187_zpid/
House for sale,2494 NW Selmer Ln,Poulsbo,WA,98370,"$269,000","3 bds , 2 ba , 1,296 sqft",,https://www.zillow.com/homedetails/2494-NW-Selmer-Ln-Poulsbo-WA-98370/89825499_zpid/
House for sale,1004 Roberson Rd,SEQUIM,WA,98382,"$575,000","3 bds , 3 ba , 2,793 sqft",,https://www.zillow.com/homedetails/1004-Roberson-Rd-Sequim-WA-98382/114634097_zpid/
House for sale,6213 61st Loop SE,Lacey,WA,98513,"$275,000","3 bds , 3 ba , 1,729 sqft",,https://www.zillow.com/homedetails/6213-61st-Loop-SE-Lacey-WA-98513/49395656_zpid/
House for sale,18884 SE 42nd St,ISSAQUAH,WA,98027,"$12,988,000","6 bds , 7 ba , 10,800 sqft",,https://www.zillow.com/homedetails/18884-SE-42nd-St-Issaquah-WA-98027/48761686_zpid/
House for sale,213 Carolina St,BELLINGHAM,WA,98225,"$325,000","4 bds , 1 ba , 1,279 sqft",,https://www.zillow.com/homedetails/213-Carolina-St-Bellingham-WA-98225/23631627_zpid/
House for sale,733 Holcomb Rd,KELSO,WA,98626,"$260,000","3 bds , 3 ba , 2,838 sqft",,https://www.zillow.com/homedetails/733-Holcomb-Rd-Kelso-WA-98626/67029843_zpid/
House for sale,19311 83rd Pl W,EDMONDS,WA,98026,"$415,000","4 bds , 2 ba , 1,920 sqft",,https://www.zillow.com/homedetails/19311-83rd-Pl-W-Edmonds-WA-98026/38529994_zpid/
House for sale,14224 168th Ave NE,WOODINVILLE,WA,98072,"$9,995,000","5 bds , 6 ba , 16,430 sqft",,https://www.zillow.com/homedetails/14224-168th-Ave-NE-Woodinville-WA-98072/48798733_zpid/
House for sale,8013 11th Ave NW,SEATTLE,WA,98117,"$499,950","3 bds , 3 ba , 1,560 sqft",,https://www.zillow.com/homedetails/8013-11th-Ave-NW-Seattle-WA-98117/49131500_zpid/
House for sale,5330 Butterworth Rd,MERCER ISLAND,WA,98040,"$18,888,000","5 bds , 11 ba , 14,940 sqft",Coldwell Banker Bain,https://www.zillow.com/homedetails/5330-Butterworth-Rd-Mercer-Island-WA-98040/49095545_zpid/
House for sale,18824 SE 164th St,RENTON,WA,98058,"$360,000","4 bds , 2.75 ba , 2,250 sqft",,https://www.zillow.com/homedetails/18824-SE-164th-St-Renton-WA-98058/48948130_zpid/
House for sale,20200 10th Pl SW,Normandy Park,WA,98166,"$9,950,000","4 bds , 9 ba , 12,033 sqft",,https://www.zillow.com/homedetails/20200-10th-Pl-SW-Normandy-Park-WA-98166/48679796_zpid/
House for sale,2517 E Miller St,SEATTLE,WA,98112,"$825,000","3 bds , 2 ba , 1,613 sqft",,https://www.zillow.com/homedetails/2517-E-Miller-St-Seattle-WA-98112/49006305_zpid/
Foreclosure,9809 Oak Ln SW,LAKEWOOD,WA,98499,"$199,000","3 bds , 3 ba , 1,550 sqft",,https://www.zillow.com/homedetails/9809-Oak-Ln-SW-Lakewood-WA-98499/49235090_zpid/
House for sale,2617 W Broadway Ave,SPOKANE,WA,99201,"$139,900","3 bds , 2 ba , 1,647 sqft",,https://www.zillow.com/homedetails/2617-W-Broadway-Ave-Spokane-WA-99201/23482809_zpid/
House for sale,1115 E 27th St,VANCOUVER,WA,98663,"$229,990","2 bds , 2 ba , 1,079 sqft",,https://www.zillow.com/homedetails/1115-E-27th-St-Vancouver-WA-98663/23233773_zpid/
Condo for sale,4601 SW 320th St UNIT D-12,Federal Way,WA,98023,"$155,000","3 bds , 2 ba , 1,017 sqft",,https://www.zillow.com/homedetails/4601-SW-320th-St-UNIT-D-12-Federal-Way-WA-98023/48948811_zpid/
