title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,N8064 975th St,RIVER FALLS,WI,54022,"$190,000","2 bds , 2 ba , 2,236 sqft",,https://www.zillow.com/homedetails/N8064-975th-St-River-Falls-WI-54022/79395961_zpid/
House for sale,3005 W Kilbourn Ave,MILWAUKEE,WI,53208,"$5,000","8 bds , 4 ba , 4,592 sqft",,https://www.zillow.com/homedetails/3005-W-Kilbourn-Ave-Milwaukee-WI-53208/40469373_zpid/
House for sale,4117 Barby Ln,Madison,WI,53704,"$184,900","3 bds , 2 ba , 1,607 sqft",,https://www.zillow.com/homedetails/4117-Barby-Ln-Madison-WI-53704/2085521098_zpid/
House for sale,590 S Lake Shore Dr,LAKE GENEVA,WI,53147,"$14,500,000","13 bds , 16 ba , 13,000 sqft",Coldwell Banker Residential Brokerage - North Shore Office,https://www.zillow.com/homedetails/590-S-Lake-Shore-Dr-Lake-Geneva-WI-53147/40769824_zpid/
House for sale,6226 N Highlands Ave,MADISON,WI,53705,"$599,900","4 bds , 3 ba , 3,106 sqft",,https://www.zillow.com/homedetails/6226-N-Highlands-Ave-Madison-WI-53705/55388380_zpid/
House for sale,152 W Foster St,APPLETON,WI,54915,"$124,900","2 bds , 2 ba , 1,152 sqft",,https://www.zillow.com/homedetails/152-W-Foster-St-Appleton-WI-54915/69769953_zpid/
House for sale,440 Fairway Dr,BROOKFIELD,WI,53005,"$339,900","3 bds , 3 ba , 1,910 sqft",,https://www.zillow.com/homedetails/440-Fairway-Dr-Brookfield-WI-53005/40625175_zpid/
Foreclosure,303 4th St,FOND DU LAC,WI,54935,"$50,990","5 bds , 2 ba , 2,258 sqft",,https://www.zillow.com/homedetails/303-4th-St-Fond-Du-Lac-WI-54935/62686753_zpid/
House for sale,1017 E Park Ridge Ave,APPLETON,WI,54911,"$189,000","4 bds , 2 ba , 2,128 sqft",,https://www.zillow.com/homedetails/1017-E-Park-Ridge-Ave-Appleton-WI-54911/69766226_zpid/
House for sale,1539 N Cass St,MILWAUKEE,WI,53202,"$369,900","4 bds , 3 ba , 3,100 sqft",,https://www.zillow.com/homedetails/1539-N-Cass-St-Milwaukee-WI-53202/50882002_zpid/
House for sale,5448 S 48th St,GREENFIELD,WI,53220,"$249,900","3 bds , 2 ba , 2,745 sqft",,https://www.zillow.com/homedetails/5448-S-48th-St-Greenfield-WI-53220/83874805_zpid/
House for sale,3174 S 40th St,MILWAUKEE,WI,53215,"$205,000","4 bds , 2 ba , 1,900 sqft",,https://www.zillow.com/homedetails/3174-S-40th-St-Milwaukee-WI-53215/40501639_zpid/
House for sale,1947 S 12th St,MILWAUKEE,WI,53204,"$114,900","3 bds , 2 ba , 2,124 sqft",,https://www.zillow.com/homedetails/1947-S-12th-St-Milwaukee-WI-53204/40482931_zpid/
Coming soon,N7293 French Rd,SEYMOUR,WI,54165,"$164,900","5 bds , 1 ba , 2,051 sqft",,https://www.zillow.com/homedetails/N7293-French-Rd-Seymour-WI-54165/69753744_zpid/
House for sale,4525 W College Ave,GREENDALE,WI,53129,"$245,000","3 bds , 3 ba , 2,114 sqft",,https://www.zillow.com/homedetails/4525-W-College-Ave-Greendale-WI-53129/110734658_zpid/
House for sale,S82W17262 Woods Rd,MUSKEGO,WI,53150,"$497,900","4 bds , 3 ba , 2,600 sqft",,https://www.zillow.com/homedetails/S82W17262-Woods-Rd-Muskego-WI-53150/40665282_zpid/
House for sale,435 Virginia Ter,MADISON,WI,53726,"$460,000","3 bds , 2 ba , 1,914 sqft",,https://www.zillow.com/homedetails/435-Virginia-Ter-Madison-WI-53726/55403583_zpid/
House for sale,2527 Martha Ave,GREEN BAY,WI,54301,"$199,900","3 bds , 2 ba , 1,662 sqft",Coldwell Banker The Real Estate Group,https://www.zillow.com/homedetails/2527-Martha-Ave-Green-Bay-WI-54301/51144143_zpid/
House for sale,5932 Dawson Ct,GREENDALE,WI,53129,"$279,900","4 bds , 3 ba , 2,750 sqft",,https://www.zillow.com/homedetails/5932-Dawson-Ct-Greendale-WI-53129/110714895_zpid/
House for sale,3570 S Russel Rd,NEW BERLIN,WI,53151,"$289,900","3 bds , 3 ba , 1,547 sqft",,https://www.zillow.com/homedetails/3570-S-Russel-Rd-New-Berlin-WI-53151/40676327_zpid/
House for sale,11900 260th Ave,TREVOR,WI,53179,"$266,000","4 bds , 5 ba , 3,832 sqft",,https://www.zillow.com/homedetails/11900-260th-Ave-Trevor-WI-53179/110280330_zpid/
House for sale,715 N Milwaukee St APT 205,Milwaukee,WI,53202,"$175,000","2 bds , 1 ba , 1,125 sqft",,https://www.zillow.com/homedetails/715-N-Milwaukee-St-APT-205-Milwaukee-WI-53202/68920903_zpid/
