title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,49 Rr 1,Valley Bend,WV,26293,"$150,000","4 bds , 2 ba , 3,304 sqft",,https://www.zillow.com/homedetails/49-Rr-1-Valley-Bend-WV-26293/2128566159_zpid/
House for sale,26 Eagle Ridge Dr,Vienna,WV,26105,"$75,000","5 bds , 5 ba , 4,432 sqft",,https://www.zillow.com/homedetails/26-Eagle-Ridge-Dr-Vienna-WV-26105/97841992_zpid/
House for sale,43 Pattys Pl,Falling waters,WV,25419,"$279,900","5 bds , 4 ba , 4,224 sqft",,https://www.zillow.com/homedetails/43-Pattys-Pl-Falling-Waters-WV-25419/22321855_zpid/
House for sale,3401 Vanica Ct,HURRICANE,WV,25526,"$236,000","4 bds , 4 ba , 2,952 sqft",,https://www.zillow.com/homedetails/3401-Vanica-Ct-Hurricane-WV-25526/22989770_zpid/
House for sale,230 Quarry Rdg E,CHARLESTON,WV,25304,"$13,000,000","8 bds , 14 ba , 19,000 sqft",,https://www.zillow.com/homedetails/230-Quarry-Rdg-E-Charleston-WV-25304/22594944_zpid/
For sale by owner,1274 Braewick Dr,MORGANTOWN,WV,26505,"$319,000","3 bds , 4 ba , 2,733 sqft",,https://www.zillow.com/homedetails/1274-Braewick-Dr-Morgantown-WV-26505/22890195_zpid/
For sale by owner,1104 Edgewood Dr,CHARLESTON,WV,25302,"$135,000","5 bds , 4 ba , 2,271 sqft",,https://www.zillow.com/homedetails/1104-Edgewood-Dr-Charleston-WV-25302/22606158_zpid/
House for sale,14 Fox Hill Dr,PARKERSBURG,WV,26104,"$190,000","4 bds , 2 ba , 2,039 sqft",,https://www.zillow.com/homedetails/14-Fox-Hill-Dr-Parkersburg-WV-26104/23176211_zpid/
House for sale,27435 Northwestern Pike,Romney,WV,26757,"$220,000","6 bds , 3 ba , 4,981 sqft",,https://www.zillow.com/homedetails/27435-Northwestern-Pike-Romney-WV-26757/97820435_zpid/
House for sale,153 Tammy Ln,MARTINSBURG,WV,25405,"$99,900","3 bds , 2 ba , 1,528 sqft",,https://www.zillow.com/homedetails/153-Tammy-Ln-Martinsburg-WV-25405/22315955_zpid/
House for sale,120 Race Rd,Flemington,WV,26347,"$369,000","4 bds , 5 ba , 3,567 sqft",,https://www.zillow.com/homedetails/120-Race-Rd-Flemington-WV-26347/97843594_zpid/
