address,city,density(sq mi),income(USD),price(USD),age,bds,ba,sqft,state,url,city_wiki,text
35450 Greeting Ct,Sterling,72,47700,105000,6,2,2,1408,AK,https://www.zillow.com/homedetails/35450-Greeting-Ct-Sterling-AK-99672/120111902_zpid/,"https://en.wikipedia.org/wiki/Sterling,_AK","The median income for a household in the CDP was $47,700, and the median income for a family was $53,889. Males had a median income of $45,063 versus $27,946 for females. The per capita income for the CDP was $20,741.  About 7.7% of families and 10.0% of the population were below the poverty line, including 11.8% of those under age 18 and 5.9% of those age 65 or over."
L15 Cheveley Drive,Anchorage,151.94,73004,998000,0,4,4,3709,AK,https://www.zillow.com/homedetails/L15-Cheveley-Drive-Anchorage-AK-99515/2085889481_zpid/,"https://en.wikipedia.org/wiki/Anchorage,_AK","The median income for a household in the municipality was $73,004, and the median income for a family was $85,829. The per capita income for the municipality was $34,678. About 5.1% of families and 7.9% of the population were below the poverty line.[59][60] Of the city's population over the age of 25, 33.7% held a bachelor's degree or higher, and 92.1% had a high school diploma or equivalent.[55]"
L1-2 Dirt Rd,Wasilla,738.26,48226,180000,41,2,1,1000,AK,https://www.zillow.com/homedetails/L1-2-Dirt-Rd-Wasilla-AK-99623/2087922863_zpid/,"https://en.wikipedia.org/wiki/Wasilla,_AK","The median income for a household in the city was $48,226, and the median income for a family was $53,792. Males had a median income of $41,332 versus $29,119 for females. The per capita income for the city was $21,127. About 5.7% of families and 9.6% of the population were below the poverty line, including 12.6% of those under the age of 18 and 9.7% of those 65 and older."
6200 Downey Finch Dr,Anchorage,151.94,73004,995000,34,5,6,7650,AK,https://www.zillow.com/homedetails/6200-Downey-Finch-Dr-Anchorage-AK-99516/44014_zpid/,"https://en.wikipedia.org/wiki/Anchorage,_AK","The median income for a household in the municipality was $73,004, and the median income for a family was $85,829. The per capita income for the municipality was $34,678. About 5.1% of families and 7.9% of the population were below the poverty line.[59][60] Of the city's population over the age of 25, 33.7% held a bachelor's degree or higher, and 92.1% had a high school diploma or equivalent.[55]"
23033 Myrtle Dr,Anchorage,151.94,73004,229900,43,2,2,2376,AK,https://www.zillow.com/homedetails/23033-Myrtle-Dr-Eagle-River-AK-99577/58259_zpid/,"https://en.wikipedia.org/wiki/Anchorage,_AK","The median income for a household in the municipality was $73,004, and the median income for a family was $85,829. The per capita income for the municipality was $34,678. About 5.1% of families and 7.9% of the population were below the poverty line.[59][60] Of the city's population over the age of 25, 33.7% held a bachelor's degree or higher, and 92.1% had a high school diploma or equivalent.[55]"
2506 Pansy St SW,Huntsville,912.01,,159900,72,3,1,1285,AL,https://www.zillow.com/homedetails/2506-Pansy-St-SW-Huntsville-AL-35801/92185449_zpid/,"https://en.wikipedia.org/wiki/Huntsville,_AL",3.3 Sex ratio and income distribution
6501 Bienville Ct,MOBILE,1364.91,37056,175000,31,3,2.5,1965,AL,https://www.zillow.com/homedetails/6501-Bienville-Ct-Mobile-AL-36695/51042072_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
1800 30th St W,Birmingham,1443.04,31898,59900,73,4,3,2251,AL,https://www.zillow.com/homedetails/1800-30th-St-W-Birmingham-AL-35208/2085654161_zpid/,"https://en.wikipedia.org/wiki/Birmingham,_AL","The median income for a household in the city was $31,898, and the median income for a family was $38,776. Males had a median income of $36,031 versus $30,367 for females. The city's per capita income was $19,962. About 22.5% of families and 27.3% of the population were below the poverty line, including 41.9% of those under the age of 18 and 18.3% of those age 65 or over.[41]"
0 E Bank Rd,Prattville,1051.23,45728,129900,15,3,2,1440,AL,https://www.zillow.com/homedetails/0-E-Bank-Rd-Prattville-AL-36067/2101117993_zpid/,"https://en.wikipedia.org/wiki/Prattville,_AL","In 2000, the median income for a household in the city was $45,728, and the median income for a family was $51,774. Males had a median income of $36,677 versus $22,978 for females. The per capita income for the city was $19,832. 8.3% of the population and 6.4% of families were below the poverty line. Out of the total population, 9.3% of those under the age of 18 and 9.2% of those 65 and older were living below the poverty line."
201 Springoaks Way,Dothan,760.68,35000,6000000,4,5,8,11000,AL,https://www.zillow.com/homedetails/201-Springoaks-Way-Dothan-AL-36305/213799361_zpid/,"https://en.wikipedia.org/wiki/Dothan,_AL","The median household income was $35,000, and the median family income was $45,025. Males had a median income of $34,475 versus $22,572 for females. The per capita income for the city was $20,539. About 12.7% of families and 15.6% of the population were below the poverty line, including 23.2% of those under age 18 and 15.0% of those age 65 or over."
100 Silverton Cir,Madison,1611.51,92136,399000,31,4,4,4052,AL,https://www.zillow.com/homedetails/100-Silverton-Cir-Madison-AL-35758/92083383_zpid/,"https://en.wikipedia.org/wiki/Madison,_AL","The median income for a household in the city was $92,136, and the median income for a family was $111,217. The per capita income for the city was $41,490. About 3.9% of families and 4.9% of the population were below the poverty line, including 5.9% of those under age 18 and 3.4% of those age 65 or over."
4941 43rd Way N,BIRMINGHAM,1443.04,31898,27000,60,3,2,1478,AL,https://www.zillow.com/homedetails/4941-43rd-Way-N-Birmingham-AL-35217/947253_zpid/,"https://en.wikipedia.org/wiki/Birmingham,_AL","The median income for a household in the city was $31,898, and the median income for a family was $38,776. Males had a median income of $36,031 versus $30,367 for females. The city's per capita income was $19,962. About 22.5% of families and 27.3% of the population were below the poverty line, including 41.9% of those under the age of 18 and 18.3% of those age 65 or over.[41]"
911 Redfern Trl,Homewood,3054.68,55431,249900,65,3,1,1279,AL,https://www.zillow.com/homedetails/911-Redfern-Trl-Homewood-AL-35209/1012169_zpid/,"https://en.wikipedia.org/wiki/Homewood,_AL","The median income for a household in the city was $55,431, and the median income for a family was $70,256. Males had a median income of $40,969 versus $34,694 for females. The per capita income for the city was $25,491. About 4.4% of families and 7.6% of the population were below the poverty line, including 4.5% of those under age 18 and 4.3% of those age 65 or over.[9]"
118 Bush Ave,MOBILE,1364.91,37056,13000,37,3,2,1842,AL,https://www.zillow.com/homedetails/118-Bush-Ave-Mobile-AL-36604/51010301_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
4156 Shan Dr E,Mobile,1364.91,37056,114124,58,3,2,1504,AL,https://www.zillow.com/homedetails/4156-Shan-Dr-E-Mobile-AL-36693/2085585244_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
317 Observatory Dr,BIRMINGHAM,1443.04,31898,173900,46,3,3,2523,AL,https://www.zillow.com/homedetails/317-Observatory-Dr-Birmingham-AL-35206/950386_zpid/,"https://en.wikipedia.org/wiki/Birmingham,_AL","The median income for a household in the city was $31,898, and the median income for a family was $38,776. Males had a median income of $36,031 versus $30,367 for females. The city's per capita income was $19,962. About 22.5% of families and 27.3% of the population were below the poverty line, including 41.9% of those under the age of 18 and 18.3% of those age 65 or over.[41]"
1504 Hollins Dr,Birmingham,1443.04,31898,102000,9,3,2.5,1925,AL,https://www.zillow.com/homedetails/1504-Hollins-Dr-Birmingham-AL-35214/112339114_zpid/,"https://en.wikipedia.org/wiki/Birmingham,_AL","The median income for a household in the city was $31,898, and the median income for a family was $38,776. Males had a median income of $36,031 versus $30,367 for females. The city's per capita income was $19,962. About 22.5% of families and 27.3% of the population were below the poverty line, including 41.9% of those under the age of 18 and 18.3% of those age 65 or over.[41]"
603 Spanish Main,SPANISH FORT,285.99,65244,156000,49,5,3,2944,AL,https://www.zillow.com/homedetails/603-Spanish-Main-Spanish-Fort-AL-36527/72726129_zpid/,"https://en.wikipedia.org/wiki/Spanish_Fort,_AL","In the city, the population was 23.0% under the age of 18, 7.4% from 18 to 24, 24.4% from 25 to 44, 28.4% from 45 to 64, and 16.8% who were 65 years of age or older. The median age was 41.5 years. For every 100 females, there were 95.7 males. For every 100 females age 18 and over, there were 100.9 males. The median income for a household in the city was $65,244, and the median income for a family was $76,469. Males had a median income of $58,958 versus $36,695 for females. The per capita income for the city was $32,856. About 1.8% of families and 3.2% of the population were below the poverty line, including 1.1% of those under age 18 and 2.8% of those age 65 or over."
7805 Wildcreek Trl SE,HUNTSVILLE,912.01,,280000,36,5,3,2690,AL,https://www.zillow.com/homedetails/7805-Wildcreek-Trl-SE-Huntsville-AL-35802/92125555_zpid/,"https://en.wikipedia.org/wiki/Huntsville,_AL",3.3 Sex ratio and income distribution
318 Hill Ave,GUNTERSVILLE,332.03,29882,159900,72,4,3,1750,AL,https://www.zillow.com/homedetails/318-Hill-Ave-Guntersville-AL-35976/144070_zpid/,"https://en.wikipedia.org/wiki/Guntersville,_AL","The median household income was $29,882, and the median family income was $39,464. Males had a median income of $36,175 versus $20,480 for females. The per capita income for the city was $18,503. About 11.2% of families and 14.2% of the population were below the poverty line, including 15.2% of those under age 18 and 16.3% of those age 65 or over."
751 Ashwood Dr W,Mobile,1364.91,37056,225000,,4,3.5,2886,AL,https://www.zillow.com/homedetails/751-Ashwood-Dr-W-Mobile-AL-36693/2142993925_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
3427 East St,VESTAVIA,1728.12,87154,395900,79,4,3,3164,AL,https://www.zillow.com/homedetails/3427-East-St-Vestavia-AL-35243/980803_zpid/,"https://en.wikipedia.org/wiki/Vestavia,_AL","There were 14,952 housing units and 13,388 households, with a home ownership rate of 76.8%. The average household size was 2.47 and the average family size was 3.03. The Median value of owner-occupied housing units was $318,200. The median household income was $87,154 with 4.0% of the population below the poverty line. The per capita income for the city was $50,017."
3220 Winchester Rd,Hoover,1804.62,75365,180000,54,4,2,2192,AL,https://www.zillow.com/homedetails/3220-Winchester-Rd-Hoover-AL-35226/1057756_zpid/,"https://en.wikipedia.org/wiki/Hoover,_AL","According to a 2007 estimate, the median income for a household in the city was $75,365, and the median income for a family was $89,513. Males had a median income of $55,660 versus $34,836 for females. The per capita income for the city was $33,361. About 2.1% of families and 3.4% of the population were below the poverty line, including 2.7% of those under age 18 and 3.9% of those age 65 or over."
15038 County Road 13,Fairhope,1508.5,66157,199000,99,3,2,1785,AL,https://www.zillow.com/homedetails/15038-County-Road-13-Fairhope-AL-36532/196104518_zpid/,"https://en.wikipedia.org/wiki/Fairhope,_AL","21.4% of the population was under the age of 18, 4.9% from 18 to 24, 20.4% from 25 to 44, 28.5% from 45 to 64, and 23.7% who were 65 years of age or older. The median age was 46 years. For every 100 females, there were 86.4 males. For every 100 females age 18 and over, there were 86.3 males. The median income for a household in the city was $66,157, and the median income for a family was $93,549. Males had a median income of $60,591 versus $36,218 for females. The per capita income for the city was $35,086. About 5.0% of families and 5.9% of the population were below the poverty line, including 9.8% of those under age 18 and 4.6% of those age 65 or over."
1618 Kristi Cir,Vestavia,1728.12,87154,269900,19,3,3,1700,AL,https://www.zillow.com/homedetails/1618-Kristi-Cir-Vestavia-AL-35243/55538025_zpid/,"https://en.wikipedia.org/wiki/Vestavia,_AL","There were 14,952 housing units and 13,388 households, with a home ownership rate of 76.8%. The average household size was 2.47 and the average family size was 3.03. The Median value of owner-occupied housing units was $318,200. The median household income was $87,154 with 4.0% of the population below the poverty line. The per capita income for the city was $50,017."
100 River Bridge Way,HUNTSVILLE,912.01,,292000,15,4,3,2600,AL,https://www.zillow.com/homedetails/100-River-Bridge-Way-Huntsville-AL-35811/92092078_zpid/,"https://en.wikipedia.org/wiki/Huntsville,_AL",3.3 Sex ratio and income distribution
11300 Crestfield Dr SE,HUNTSVILLE,912.01,,154900,52,3,2,1539,AL,https://www.zillow.com/homedetails/11300-Crestfield-Dr-SE-Huntsville-AL-35803/92131962_zpid/,"https://en.wikipedia.org/wiki/Huntsville,_AL",3.3 Sex ratio and income distribution
346 Mohawk Rd SE,OWENS CROSS ROADS,234.26,34856,139900,32,3,2,1896,AL,https://www.zillow.com/homedetails/346-Mohawk-Rd-SE-Owens-Cross-Roads-AL-35763/92141889_zpid/,"https://en.wikipedia.org/wiki/Owens_Cross_Roads,_AL","The median income for a household in the town was $34,856, and the median income for a family was $45,167. Males had a median income of $30,781 versus $22,917 for females. The per capita income for the town was $17,534. About 4.6% of families and 7.1% of the population were below the poverty line, including 8.9% of those under age 18 and 11.8% of those age 65 or over."
2405 Polk Cir NE,HUNTSVILLE,912.01,,239900,41,4,3,3872,AL,https://www.zillow.com/homedetails/2405-Polk-Cir-NE-Huntsville-AL-35801/92077788_zpid/,"https://en.wikipedia.org/wiki/Huntsville,_AL",3.3 Sex ratio and income distribution
1109 Cullom St S,BIRMINGHAM,1443.04,31898,65000,104,4,3,2504,AL,https://www.zillow.com/homedetails/1109-Cullom-St-S-Birmingham-AL-35205/60569629_zpid/,"https://en.wikipedia.org/wiki/Birmingham,_AL","The median income for a household in the city was $31,898, and the median income for a family was $38,776. Males had a median income of $36,031 versus $30,367 for females. The city's per capita income was $19,962. About 22.5% of families and 27.3% of the population were below the poverty line, including 41.9% of those under the age of 18 and 18.3% of those age 65 or over.[41]"
1806 Paulette Dr,Hoover,1804.62,75365,259000,50,4,3,2660,AL,https://www.zillow.com/homedetails/1806-Paulette-Dr-Hoover-AL-35226/1058747_zpid/,"https://en.wikipedia.org/wiki/Hoover,_AL","According to a 2007 estimate, the median income for a household in the city was $75,365, and the median income for a family was $89,513. Males had a median income of $55,660 versus $34,836 for females. The per capita income for the city was $33,361. About 2.1% of families and 3.4% of the population were below the poverty line, including 2.7% of those under age 18 and 3.9% of those age 65 or over."
2309 Crystal Ky,Mobile,1364.91,37056,139900,33,3,3,1658,AL,https://www.zillow.com/homedetails/2309-Crystal-Ky-Mobile-AL-36695/51040418_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
10166 Dairy Dr S,MOBILE,1364.91,37056,240280,11,4,3,2625,AL,https://www.zillow.com/homedetails/10166-Dairy-Dr-S-Mobile-AL-36695/82589611_zpid/,"https://en.wikipedia.org/wiki/Mobile,_AL","The age distribution of the population in 2010 consisted of 6.7% under the age of five years, 75.9% over 18, and 13.7% over 65.[142] The median age was 35.7 years.[142] The male population was 47.0% and the female population was 53.0%.[142] The median income for a household in the city was $37,056 for 2006 to 2010. The per capita income for the city was $22,401.[139]"
112 Castlehill Dr,VESTAVIA,1728.12,87154,287500,16,4,3,2044,AL,https://www.zillow.com/homedetails/112-Castlehill-Dr-Vestavia-AL-35226/63561071_zpid/,"https://en.wikipedia.org/wiki/Vestavia,_AL","There were 14,952 housing units and 13,388 households, with a home ownership rate of 76.8%. The average household size was 2.47 and the average family size was 3.03. The Median value of owner-occupied housing units was $318,200. The median household income was $87,154 with 4.0% of the population below the poverty line. The per capita income for the city was $50,017."
221 Mainsail Way,Madison,1611.51,92136,164000,21,3,2.5,2341,AL,https://www.zillow.com/homedetails/221-Mainsail-Way-Madison-AL-35758/92087559_zpid/,"https://en.wikipedia.org/wiki/Madison,_AL","The median income for a household in the city was $92,136, and the median income for a family was $111,217. The per capita income for the city was $41,490. About 3.9% of families and 4.9% of the population were below the poverty line, including 5.9% of those under age 18 and 3.4% of those age 65 or over."
1717 E Overcrest St,FAYETTEVILLE,1578.07,31393,195000,44,4,2,2065,AR,https://www.zillow.com/homedetails/1717-E-Overcrest-St-Fayetteville-AR-72703/72869649_zpid/,"https://en.wikipedia.org/wiki/Fayetteville,_AR","The median income for a household in the city was $31,393, and the median income for a family was $62,258. Males had a median income of $42,004 versus $29,373 for females, indicating a huge income disparity. The per capita income for the city was $26,267. 38.7% of the population and 26.9% of families were below the poverty line. Out of the total population, 19.0% of those under the age of 18 and 17.3% of those 65 and older were living below the poverty line.[49]"
