address,city,price(USD),age,bds,ba,sqft,state,url
35450 Greeting Ct,Sterling,105000,6,2.0,2.0,1408,AK,https://www.zillow.com/homedetails/35450-Greeting-Ct-Sterling-AK-99672/120111902_zpid/
L15 Cheveley Drive,Anchorage,998000,0,4.0,4.0,3709,AK,https://www.zillow.com/homedetails/L15-Cheveley-Drive-Anchorage-AK-99515/2085889481_zpid/
L1-2 Dirt Rd,Wasilla,180000,41,2.0,1.0,1000,AK,https://www.zillow.com/homedetails/L1-2-Dirt-Rd-Wasilla-AK-99623/2087922863_zpid/
6200 Downey Finch Dr,ANCHORAGE,995000,34,5.0,6.0,7650,AK,https://www.zillow.com/homedetails/6200-Downey-Finch-Dr-Anchorage-AK-99516/44014_zpid/
23033 Myrtle Dr,EAGLE RIVER,229900,43,2.0,2.0,2376,AK,https://www.zillow.com/homedetails/23033-Myrtle-Dr-Eagle-River-AK-99577/58259_zpid/
2506 Pansy St SW,Huntsville,159900,72,3.0,1.0,1285,AL,https://www.zillow.com/homedetails/2506-Pansy-St-SW-Huntsville-AL-35801/92185449_zpid/
6501 Bienville Ct,MOBILE,175000,31,3.0,2.5,1965,AL,https://www.zillow.com/homedetails/6501-Bienville-Ct-Mobile-AL-36695/51042072_zpid/
1800 30th St W,Birmingham,59900,73,4.0,3.0,2251,AL,https://www.zillow.com/homedetails/1800-30th-St-W-Birmingham-AL-35208/2085654161_zpid/
0 E Bank Rd,Prattville,129900,15,3.0,2.0,1440,AL,https://www.zillow.com/homedetails/0-E-Bank-Rd-Prattville-AL-36067/2101117993_zpid/
201 Springoaks Way,Dothan,6000000,4,5.0,8.0,11000,AL,https://www.zillow.com/homedetails/201-Springoaks-Way-Dothan-AL-36305/213799361_zpid/
100 Silverton Cir,Madison,399000,31,4.0,4.0,4052,AL,https://www.zillow.com/homedetails/100-Silverton-Cir-Madison-AL-35758/92083383_zpid/
4941 43rd Way N,BIRMINGHAM,27000,60,3.0,2.0,1478,AL,https://www.zillow.com/homedetails/4941-43rd-Way-N-Birmingham-AL-35217/947253_zpid/
911 Redfern Trl,Homewood,249900,65,3.0,1.0,1279,AL,https://www.zillow.com/homedetails/911-Redfern-Trl-Homewood-AL-35209/1012169_zpid/
