address,city,price(USD),bds,ba,sqft,state,url
2506 Pansy St SW,Huntsville,159900,3,1,1285,AL,https://www.zillow.com/homedetails/2506-Pansy-St-SW-Huntsville-AL-35801/92185449_zpid/
6501 Bienville Ct,MOBILE,175000,3,2.5,1965,AL,https://www.zillow.com/homedetails/6501-Bienville-Ct-Mobile-AL-36695/51042072_zpid/
1800 30th St W,Birmingham,59900,4,3,2251,AL,https://www.zillow.com/homedetails/1800-30th-St-W-Birmingham-AL-35208/2085654161_zpid/
0 E Bank Rd,Prattville,129900,3,2,1440,AL,https://www.zillow.com/homedetails/0-E-Bank-Rd-Prattville-AL-36067/2101117993_zpid/
201 Springoaks Way,Dothan,6000000,5,8,11000,AL,https://www.zillow.com/homedetails/201-Springoaks-Way-Dothan-AL-36305/213799361_zpid/
100 Silverton Cir,Madison,399000,4,4,4052,AL,https://www.zillow.com/homedetails/100-Silverton-Cir-Madison-AL-35758/92083383_zpid/
4941 43rd Way N,BIRMINGHAM,27000,3,2,1478,AL,https://www.zillow.com/homedetails/4941-43rd-Way-N-Birmingham-AL-35217/947253_zpid/
911 Redfern Trl,Homewood,249900,3,1,1279,AL,https://www.zillow.com/homedetails/911-Redfern-Trl-Homewood-AL-35209/1012169_zpid/
118 Bush Ave,MOBILE,13000,3,2,1842,AL,https://www.zillow.com/homedetails/118-Bush-Ave-Mobile-AL-36604/51010301_zpid/
4156 Shan Dr E,Mobile,114124,3,2,1504,AL,https://www.zillow.com/homedetails/4156-Shan-Dr-E-Mobile-AL-36693/2085585244_zpid/
317 Observatory Dr,BIRMINGHAM,173900,3,3,2523,AL,https://www.zillow.com/homedetails/317-Observatory-Dr-Birmingham-AL-35206/950386_zpid/
1504 Hollins Dr,Birmingham,102000,3,2.5,1925,AL,https://www.zillow.com/homedetails/1504-Hollins-Dr-Birmingham-AL-35214/112339114_zpid/
603 Spanish Main,SPANISH FORT,156000,5,3,2944,AL,https://www.zillow.com/homedetails/603-Spanish-Main-Spanish-Fort-AL-36527/72726129_zpid/
7805 Wildcreek Trl SE,HUNTSVILLE,280000,5,3,2690,AL,https://www.zillow.com/homedetails/7805-Wildcreek-Trl-SE-Huntsville-AL-35802/92125555_zpid/
318 Hill Ave,GUNTERSVILLE,159900,4,3,1750,AL,https://www.zillow.com/homedetails/318-Hill-Ave-Guntersville-AL-35976/144070_zpid/
751 Ashwood Dr W,Mobile,225000,4,3.5,2886,AL,https://www.zillow.com/homedetails/751-Ashwood-Dr-W-Mobile-AL-36693/2142993925_zpid/
3427 East St,VESTAVIA,395900,4,3,3164,AL,https://www.zillow.com/homedetails/3427-East-St-Vestavia-AL-35243/980803_zpid/
3220 Winchester Rd,Hoover,180000,4,2,2192,AL,https://www.zillow.com/homedetails/3220-Winchester-Rd-Hoover-AL-35226/1057756_zpid/
15038 County Road 13,Fairhope,199000,3,2,1785,AL,https://www.zillow.com/homedetails/15038-County-Road-13-Fairhope-AL-36532/196104518_zpid/
1618 Kristi Cir,Vestavia,269900,3,3,1700,AL,https://www.zillow.com/homedetails/1618-Kristi-Cir-Vestavia-AL-35243/55538025_zpid/
100 River Bridge Way,HUNTSVILLE,292000,4,3,2600,AL,https://www.zillow.com/homedetails/100-River-Bridge-Way-Huntsville-AL-35811/92092078_zpid/
11300 Crestfield Dr SE,HUNTSVILLE,154900,3,2,1539,AL,https://www.zillow.com/homedetails/11300-Crestfield-Dr-SE-Huntsville-AL-35803/92131962_zpid/
346 Mohawk Rd SE,OWENS CROSS ROADS,139900,3,2,1896,AL,https://www.zillow.com/homedetails/346-Mohawk-Rd-SE-Owens-Cross-Roads-AL-35763/92141889_zpid/
2405 Polk Cir NE,HUNTSVILLE,239900,4,3,3872,AL,https://www.zillow.com/homedetails/2405-Polk-Cir-NE-Huntsville-AL-35801/92077788_zpid/
1109 Cullom St S,BIRMINGHAM,65000,4,3,2504,AL,https://www.zillow.com/homedetails/1109-Cullom-St-S-Birmingham-AL-35205/60569629_zpid/
1806 Paulette Dr,Hoover,259000,4,3,2660,AL,https://www.zillow.com/homedetails/1806-Paulette-Dr-Hoover-AL-35226/1058747_zpid/
2309 Crystal Ky,Mobile,139900,3,3,1658,AL,https://www.zillow.com/homedetails/2309-Crystal-Ky-Mobile-AL-36695/51040418_zpid/
10166 Dairy Dr S,MOBILE,240280,4,3,2625,AL,https://www.zillow.com/homedetails/10166-Dairy-Dr-S-Mobile-AL-36695/82589611_zpid/
112 Castlehill Dr,VESTAVIA,287500,4,3,2044,AL,https://www.zillow.com/homedetails/112-Castlehill-Dr-Vestavia-AL-35226/63561071_zpid/
221 Mainsail Way,Madison,164000,3,2.5,2341,AL,https://www.zillow.com/homedetails/221-Mainsail-Way-Madison-AL-35758/92087559_zpid/
