address,city,price(USD),bds,ba,sqft,state,url
1717 E Overcrest St,FAYETTEVILLE,195000,4,2,2065,AR,https://www.zillow.com/homedetails/1717-E-Overcrest-St-Fayetteville-AR-72703/72869649_zpid/
2409 E Zion Rd,FAYETTEVILLE,297800,5,4,3648,AR,https://www.zillow.com/homedetails/2409-E-Zion-Rd-Fayetteville-AR-72703/72843956_zpid/
14816 Quail Dr,ROGERS,375000,3,4,3286,AR,https://www.zillow.com/homedetails/14816-Quail-Dr-Rogers-AR-72758/70716689_zpid/
1705 Akins Creek Rd,Clinton,55000,6,4,2000,AR,https://www.zillow.com/homedetails/1705-Akins-Creek-Rd-Clinton-AR-72031/2085550951_zpid/
9221 Moody Rd,FORT SMITH,10900000,4,7,18367,AR,https://www.zillow.com/homedetails/9221-Moody-Rd-Fort-Smith-AR-72903/74536299_zpid/
3257 Indian Springs Ave,SPRINGDALE,180000,3,2,1763,AR,https://www.zillow.com/homedetails/3257-Indian-Springs-Ave-Springdale-AR-72762/70665357_zpid/
14 Haslingden Ln,Bella Vista,125000,2,4,1352,AR,https://www.zillow.com/homedetails/14-Haslingden-Ln-Bella-Vista-AR-72715/70734093_zpid/
16432 Hazel Valley Rd,Fayetteville,69000,3,3,2086,AR,https://www.zillow.com/homedetails/16432-Hazel-Valley-Rd-Fayetteville-AR-72701/2086175002_zpid/
2395 Orchid,Conway,169500,3,2,1571,AR,https://www.zillow.com/homedetails/2395-Orchid-Conway-AR-72034/60826436_zpid/
516 County Road 713,JONESBORO,189900,3,2,1964,AR,https://www.zillow.com/homedetails/516-County-Road-713-Jonesboro-AR-72401/76119418_zpid/
3648 E Township St,Fayetteville,372000,4,3,3227,AR,https://www.zillow.com/homedetails/3648-E-Township-St-Fayetteville-AR-72703/72871369_zpid/
11101 Rivercrest Dr,LITTLE ROCK,334900,4,3,2838,AR,https://www.zillow.com/homedetails/11101-Rivercrest-Dr-Little-Rock-AR-72212/82848206_zpid/
9992 Jims Trl,ROGERS,499900,5,4,2500,AR,https://www.zillow.com/homedetails/9992-Jims-Trl-Rogers-AR-72756/70693433_zpid/
3908 Lankford Ave,SPRINGDALE,139900,3,2,1704,AR,https://www.zillow.com/homedetails/3908-Lankford-Ave-Springdale-AR-72762/72857155_zpid/
10 Valley Crest Ct,LITTLE ROCK,2495000,5,12,15291,AR,https://www.zillow.com/homedetails/10-Valley-Crest-Ct-Little-Rock-AR-72223/79789009_zpid/
2155 Rainbow Rd,Conway,165000,3,2,1876,AR,https://www.zillow.com/homedetails/2155-Rainbow-Rd-Conway-AR-72032/240103_zpid/
5320 S Bellview Rd,ROGERS,15000,4,3,2511,AR,https://www.zillow.com/homedetails/5320-S-Bellview-Rd-Rogers-AR-72758/70656914_zpid/
18319 Williamstowne Pl,Springdale,264900,3,2,1497,AR,https://www.zillow.com/homedetails/18319-Williamstowne-Pl-Springdale-AR-72764/134617119_zpid/
4300 E Lawndale Dr,FAYETTEVILLE,165000,3,2,1298,AR,https://www.zillow.com/homedetails/4300-E-Lawndale-Dr-Fayetteville-AR-72701/72871218_zpid/
