address,city,price(USD),bds,ba,sqft,state,url
3820 S 101st Dr,TOLLESON,249900,3,2,2213,AZ,https://www.zillow.com/homedetails/3820-S-101st-Dr-Tolleson-AZ-85353/71491541_zpid/
2512 W Laredo Ln,PHOENIX,385000,5,4,3253,AZ,https://www.zillow.com/homedetails/2512-W-Laredo-Ln-Phoenix-AZ-85085/81971948_zpid/
2827 E Janice Way,Phoenix,190000,2,2,1020,AZ,https://www.zillow.com/homedetails/2827-E-Janice-Way-Phoenix-AZ-85032/8011623_zpid/
15945 W Marconi Ave,Surprise,270000,3,2,2174,AZ,https://www.zillow.com/homedetails/15945-W-Marconi-Ave-Surprise-AZ-85374/8306675_zpid/
7756 N 19th Ln,Phoenix,189000,2,3,1580,AZ,https://www.zillow.com/homedetails/7756-N-19th-Ln-Phoenix-AZ-85021/7778586_zpid/
21989 W Hadley St,Buckeye,282910,5,3,2594,AZ,https://www.zillow.com/homedetails/21989-W-Hadley-St-Buckeye-AZ-85326/71492515_zpid/
27586 N 99th Dr,Peoria,535000,4,4,3175,AZ,https://www.zillow.com/homedetails/27586-N-99th-Dr-Peoria-AZ-85383/125135162_zpid/
4711 E Frye Rd,PHOENIX,339900,4,3,2065,AZ,https://www.zillow.com/homedetails/4711-E-Frye-Rd-Phoenix-AZ-85048/8259804_zpid/
27663 N 108th Way,SCOTTSDALE,550000,3,2,2431,AZ,https://www.zillow.com/homedetails/27663-N-108th-Way-Scottsdale-AZ-85262/8038748_zpid/
7136 S 48th Gln,Laveen,204000,3,3,1637,AZ,https://www.zillow.com/homedetails/7136-S-48th-Gln-Laveen-AZ-85339/88061776_zpid/
4948 W Marcus Dr,Phoenix,505000,5,5,3937,AZ,https://www.zillow.com/homedetails/4948-W-Marcus-Dr-Phoenix-AZ-85083/71606743_zpid/
4824 N 196th Ln,Litchfield Park,476500,4,3,2832,AZ,https://www.zillow.com/homedetails/4824-N-196th-Ln-Litchfield-Park-AZ-85340/89027154_zpid/
1514 S 82nd Dr,Phoenix,208500,3,2,1565,AZ,https://www.zillow.com/homedetails/1514-S-82nd-Dr-Phoenix-AZ-85043/60047235_zpid/
215 W Angus Rd,San Tan Valley,214900,4,2,1635,AZ,https://www.zillow.com/homedetails/215-W-Angus-Rd-San-Tan-Valley-AZ-85143/63235723_zpid/
12735 W Nadine Way,Peoria,339900,5,3,2615,AZ,https://www.zillow.com/homedetails/12735-W-Nadine-Way-Peoria-AZ-85383/67784116_zpid/
2750 E Cactus Rd,PHOENIX,245900,4,2,1469,AZ,https://www.zillow.com/homedetails/2750-E-Cactus-Rd-Phoenix-AZ-85032/7820222_zpid/
16540 E El Lago Blvd UNIT 16,Fountain Hills,382900,2,2,1652,AZ,https://www.zillow.com/homedetails/16540-E-El-Lago-Blvd-UNIT-16-Fountain-Hills-AZ-85268/55261620_zpid/
1037 W Spur Ct,Gilbert,534900,4,3,3830,AZ,https://www.zillow.com/homedetails/1037-W-Spur-Ct-Gilbert-AZ-85233/55279787_zpid/
8560 E Roosevelt St,Scottsdale,157900,2,2,950,AZ,https://www.zillow.com/homedetails/8560-E-Roosevelt-St-Scottsdale-AZ-85257/7577659_zpid/
