address,city,price(USD),bds,ba,sqft,state,url
924 Bel Air Rd,LOS ANGELES,150000000,12,31,38000,CA,https://www.zillow.com/homedetails/924-Bel-Air-Rd-Los-Angeles-CA-90077/20529647_zpid/
67 Beverly Park Ct,BEVERLY HILLS,165000000,20,23,28660,CA,https://www.zillow.com/homedetails/67-Beverly-Park-Ct-Beverly-Hills-CA-90210/20533576_zpid/
822 Sarbonne Rd,LOS ANGELES,88000000,9,15,24922,CA,https://www.zillow.com/homedetails/822-Sarbonne-Rd-Los-Angeles-CA-90077/55822832_zpid/
4379 Firmament Ave,ENCINO,7795000,9,10,10200,CA,https://www.zillow.com/homedetails/4379-Firmament-Ave-Encino-CA-91436/19991124_zpid/
2571 Wallingford Dr,BEVERLY HILLS,135000000,17,30,43000,CA,https://www.zillow.com/homedetails/2571-Wallingford-Dr-Beverly-Hills-CA-90210/20532066_zpid/
9505 Lania Ln,BEVERLY HILLS,129000000,12,23,43000,CA,https://www.zillow.com/homedetails/9505-Lania-Ln-Beverly-Hills-CA-90210/20533853_zpid/
10697 Somma Way,Los Angeles,100000000,8,21,41000,CA,https://www.zillow.com/homedetails/10697-Somma-Way-Los-Angeles-CA-90077/2087104502_zpid/
1175 N Hillcrest Rd,BEVERLY HILLS,68000000,7,9,20000,CA,https://www.zillow.com/homedetails/1175-N-Hillcrest-Rd-Beverly-Hills-CA-90210/20534638_zpid/
277 Saint Pierre Rd,Los Angeles,49900000,8,20,36000,CA,https://www.zillow.com/homedetails/277-Saint-Pierre-Rd-Los-Angeles-CA-90077/20526917_zpid/
281 Bentley Cir,Los Angeles,48000000,7,10,20000,CA,https://www.zillow.com/homedetails/281-Bentley-Cir-Los-Angeles-CA-90049/20527733_zpid/
9826 La Jolla Farms Rd,LA JOLLA,30000000,6,6,11954,CA,https://www.zillow.com/homedetails/9826-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834391_zpid/
11490 Orum Rd,Los Angeles,56000000,9,15,18850,CA,https://www.zillow.com/homedetails/11490-Orum-Rd-Los-Angeles-CA-90049/20528926_zpid/
3970 Victoria Ln,Westlake Village,85000000,12,33,50255,CA,https://www.zillow.com/homedetails/3970-Victoria-Ln-Westlake-Village-CA-91362/66107878_zpid/
2900 Vallejo St,San Francisco,29000000,6,8.5,8675,CA,https://www.zillow.com/homedetails/2900-Vallejo-St-San-Francisco-CA-94123/15080751_zpid/
N Foothill Rd,Beverly Hills,125000000,6,16,18543,CA,https://www.zillow.com/homedetails/N-Foothill-Rd-Beverly-Hills-CA-90210/2086465791_zpid/
5521 Paradise Valley Rd,Hidden Hills,25000000,6,9,14491,CA,https://www.zillow.com/homedetails/5521-Paradise-Valley-Rd-Hidden-Hills-CA-91302/95704020_zpid/
10701 Bellagio Rd,Los angeles,59995000,8,12,27000,CA,https://www.zillow.com/homedetails/10701-Bellagio-Rd-Los-Angeles-CA-90077/250226177_zpid/
909 N Bedford Dr,BEVERLY HILLS,36500000,6,10,6736,CA,https://www.zillow.com/homedetails/909-N-Bedford-Dr-Beverly-Hills-CA-90210/20521337_zpid/
5225 Figueroa Mountain Rd,Los Olivos,31000000,6,9,12598,CA,https://www.zillow.com/homedetails/5225-Figueroa-Mountain-Rd-Los-Olivos-CA-93441/2100144275_zpid/
12300 Mulholland Dr,Beverly Hills,72000000,8,14,13084,CA,https://www.zillow.com/homedetails/12300-Mulholland-Dr-Beverly-Hills-CA-90210/135446760_zpid/
916 Oxford Way,BEVERLY HILLS,38750000,7,12,14279,CA,https://www.zillow.com/homedetails/916-Oxford-Way-Beverly-Hills-CA-90210/20521153_zpid/
26848 Pacific Coast Hwy,MALIBU,62000000,10,14,16107,CA,https://www.zillow.com/homedetails/26848-Pacific-Coast-Hwy-Malibu-CA-90265/20554889_zpid/
355 1st St UNIT S904,SAN FRANCISCO,422150,2,2,1034,CA,https://www.zillow.com/homedetails/355-1st-St-UNIT-S904-San-Francisco-CA-94105/64971601_zpid/
4425 Haskell Ave,ENCINO,11999000,8,8,14900,CA,https://www.zillow.com/homedetails/4425-Haskell-Ave-Encino-CA-91436/19991154_zpid/
25201 Prado Del Grandioso,CALABASAS,8499000,6,9,9680,CA,https://www.zillow.com/homedetails/25201-Prado-Del-Grandioso-Calabasas-CA-91302/79804694_zpid/
13691 Gavina Ave UNIT 594,Sylmar,134900,3,2,1652,CA,https://www.zillow.com/homedetails/13691-Gavina-Ave-UNIT-594-Sylmar-CA-91342/136709701_zpid/
20067 Canyon View Dr,Santa Clarita,149000,3,2,1825,CA,https://www.zillow.com/homedetails/20067-Canyon-View-Dr-Santa-Clarita-CA-91351/136710329_zpid/
5382 Kent Ave,RIVERSIDE,195000,3,2,1058,CA,https://www.zillow.com/homedetails/5382-Kent-Ave-Riverside-CA-92503/17808614_zpid/
1251 Shadow Hill Way,BEVERLY HILLS,24995000,5,7,11073,CA,https://www.zillow.com/homedetails/1251-Shadow-Hill-Way-Beverly-Hills-CA-90210/20521994_zpid/
3093 Sweetwater Mesa Road,MALIBU,36000000,5,5,14622,CA,https://www.zillow.com/homedetails/3093-Sweetwater-Mesa-Road-Malibu-CA-90265/2090568545_zpid/
