address,city,price(USD),bds,ba,sqft,state,url
10945 Parker Vista Pl,Parker,485000,4,4,3385,CO,https://www.zillow.com/homedetails/10945-Parker-Vista-Pl-Parker-CO-80138/13472246_zpid/
2451 S Espana Ct,Aurora,405000,4,3,2414,CO,https://www.zillow.com/homedetails/2451-S-Espana-Ct-Aurora-CO-80013/54643659_zpid/
4883 Raven Run,Broomfield,450000,3,4,2703,CO,https://www.zillow.com/homedetails/4883-Raven-Run-Broomfield-CO-80023/82262572_zpid/
4433 Tumbleweed Dr,Brighton,404000,6,4,2566,CO,https://www.zillow.com/homedetails/4433-Tumbleweed-Dr-Brighton-CO-80601/61505194_zpid/
4301 S Pierce St APT 7B,Denver,307000,2,3,1311,CO,https://www.zillow.com/homedetails/4301-S-Pierce-St-APT-7B-Denver-CO-80123/13432348_zpid/
3065 White Peaks Ct,Castle Rock,545000,4,3,3489,CO,https://www.zillow.com/homedetails/3065-White-Peaks-Ct-Castle-Rock-CO-80104/82025244_zpid/
3455 White Oak Ln,Highlands Ranch,585000,4,3,3572,CO,https://www.zillow.com/homedetails/3455-White-Oak-Ln-Highlands-Ranch-CO-80129/13450534_zpid/
157 S Lindsey St,Castle Rock,355000,3,3,2019,CO,https://www.zillow.com/homedetails/157-S-Lindsey-St-Castle-Rock-CO-80104/13494894_zpid/
10139 Hudson St,Thornton,316000,3,2,1470,CO,https://www.zillow.com/homedetails/10139-Hudson-St-Thornton-CO-80229/13005422_zpid/
1220 Watson Divide Rd,Snowmass,50000000,7,11,18000,CO,https://www.zillow.com/homedetails/1220-Watson-Divide-Rd-Snowmass-CO-81654/66695242_zpid/
7641 Marmot Pt,Colorado Springs,120000,3,2,1296,CO,https://www.zillow.com/homedetails/7641-Marmot-Pt-Colorado-Springs-CO-80922/98504698_zpid/
8017 E Phillips Cir,Centennial,404500,3,3,1682,CO,https://www.zillow.com/homedetails/8017-E-Phillips-Cir-Centennial-CO-80112/13141450_zpid/
12754 E Ohio Ave,AURORA,379500,4,4,2696,CO,https://www.zillow.com/homedetails/12754-E-Ohio-Ave-Aurora-CO-80012/13041695_zpid/
19551 E Mann Creek Dr APT B,Parker,284500,4,4,2380,CO,https://www.zillow.com/homedetails/19551-E-Mann-Creek-Dr-APT-B-Parker-CO-80134/13476252_zpid/
10687 Evans Ridge Rd,Parker,12900000,11,24,45212,CO,https://www.zillow.com/homedetails/10687-Evans-Ridge-Rd-Parker-CO-80134/13478189_zpid/
8232 Timothy Ct,Colorado Springs,279999,3,2,1615,CO,https://www.zillow.com/homedetails/8232-Timothy-Ct-Colorado-Springs-CO-80920/13564014_zpid/
8 Cherry Hills Park Dr,ENGLEWOOD,22000000,6,13,32254,CO,https://www.zillow.com/homedetails/8-Cherry-Hills-Park-Dr-Englewood-CO-80113/99607333_zpid/
3072 Rising Moon Way,Castle Rock,589000,5,3,3923,CO,https://www.zillow.com/homedetails/3072-Rising-Moon-Way-Castle-Rock-CO-80109/121236144_zpid/
3519 Vestal Loop,Broomfield,625000,5,3,3604,CO,https://www.zillow.com/homedetails/3519-Vestal-Loop-Broomfield-CO-80023/82267567_zpid/
3550 Central Park Blvd,Denver,258976,3,3,1605,CO,https://www.zillow.com/homedetails/3550-Central-Park-Blvd-Denver-CO-80238/247388872_zpid/
8167 Briar Ridge Dr,Castle Pines,548000,4,4,3165,CO,https://www.zillow.com/homedetails/8167-Briar-Ridge-Dr-Castle-Pines-CO-80108/13463483_zpid/
6890 E Mississippi Ave APT C,Denver,250000,4,2,1617,CO,https://www.zillow.com/homedetails/6890-E-Mississippi-Ave-APT-C-Denver-CO-80224/13407618_zpid/
7611 Crested Jay Pt,Colorado Springs,190000,3,2,1488,CO,https://www.zillow.com/homedetails/7611-Crested-Jay-Pt-Colorado-Springs-CO-80922/2089605886_zpid/
651 Pfister Dr,Aspen,36000000,8,11,13690,CO,https://www.zillow.com/homedetails/651-Pfister-Dr-Aspen-CO-81611/111440688_zpid/
10 Cherry Hills Park Dr,ENGLEWOOD,18000000,4,12,20060,CO,https://www.zillow.com/homedetails/10-Cherry-Hills-Park-Dr-Englewood-CO-80113/98370623_zpid/
515 E Iliff Ave,Denver,1085000,4,5,4874,CO,https://www.zillow.com/homedetails/515-E-Iliff-Ave-Denver-CO-80210/118269207_zpid/
5167 S Sicily St,Aurora,374000,3,3,1597,CO,https://www.zillow.com/homedetails/5167-S-Sicily-St-Aurora-CO-80015/54645933_zpid/
21528 E 45th Ave,Denver,299900,3,3,1300,CO,https://www.zillow.com/homedetails/21528-E-45th-Ave-Denver-CO-80249/13275767_zpid/
9550 E Florida Ave UNIT 1017,DENVER,268000,2,2,1311,CO,https://www.zillow.com/homedetails/9550-E-Florida-Ave-UNIT-1017-Denver-CO-80247/54642588_zpid/
860 W 132nd Ave LOT 7,Westminster,75500,3,2,1136,CO,https://www.zillow.com/homedetails/860-W-132nd-Ave-LOT-7-Westminster-CO-80234/124749617_zpid/
9151 Kornbrust Cir,Lone Tree,401500,2,3,1630,CO,https://www.zillow.com/homedetails/9151-Kornbrust-Cir-Lone-Tree-CO-80124/67453877_zpid/
8075 Martin Luther King Blvd,Denver,268691,3,3,1329,CO,https://www.zillow.com/homedetails/8075-Martin-Luther-King-Blvd-Denver-CO-80238/126228851_zpid/
7820 W 24th Pl,Lakewood,375000,2,2,1239,CO,https://www.zillow.com/homedetails/7820-W-24th-Pl-Lakewood-CO-80214/13747883_zpid/
22 Crossland Rd,Colorado Springs,8000000,7,10,16594,CO,https://www.zillow.com/homedetails/22-Crossland-Rd-Colorado-Springs-CO-80906/84638480_zpid/
14322 Double Dutch Cir,Parker,620000,5,3,4529,CO,https://www.zillow.com/homedetails/14322-Double-Dutch-Cir-Parker-CO-80134/119232888_zpid/
