address,city,price(USD),bds,ba,sqft,state,url
21 Vista Dr,GREENWICH,45000000,8,13,19773,CT,https://www.zillow.com/homedetails/21-Vista-Dr-Greenwich-CT-06830/57309085_zpid/
15 Meadowcroft Ln,Greenwich,18750000,6,12,12682,CT,https://www.zillow.com/homedetails/15-Meadowcroft-Ln-Greenwich-CT-06830/240525086_zpid/
1023 Northrop Rd,WALLINGFORD,319900,4,3,2578,CT,https://www.zillow.com/homedetails/1023-Northrop-Rd-Wallingford-CT-06492/57996688_zpid/
52 Shingle Mill Rd,Salem,195000,3,4,2372,CT,https://www.zillow.com/homedetails/52-Shingle-Mill-Rd-Salem-CT-06420/58982578_zpid/
48 Hamden Ave,Waterbury,64900,3,4,1188,CT,https://www.zillow.com/homedetails/48-Hamden-Ave-Waterbury-CT-06704/58010137_zpid/
274 High Rd,Berlin,269900,5,2,2826,CT,https://www.zillow.com/homedetails/274-High-Rd-Berlin-CT-06037/57693375_zpid/
25 Slater Rd,Glastonbury,289000,4,3,2284,CT,https://www.zillow.com/homedetails/25-Slater-Rd-Glastonbury-CT-06033/174064395_zpid/
5 Jacob Dr,Wethersfield,369900,3,3,2318,CT,https://www.zillow.com/homedetails/5-Jacob-Dr-Wethersfield-CT-06109/61307652_zpid/
1601 Glasgo Rd,Griswold,107000,3,2,1050,CT,https://www.zillow.com/homedetails/1601-Glasgo-Rd-Griswold-CT-06351/58053357_zpid/
17 Cotswold Way,AVON,369900,4,4,3239,CT,https://www.zillow.com/homedetails/17-Cotswold-Way-Avon-CT-06001/59045226_zpid/
1335 Brooklawn Ave,FAIRFIELD,279900,3,1,1321,CT,https://www.zillow.com/homedetails/1335-Brooklawn-Ave-Fairfield-CT-06825/57289125_zpid/
2 Heritage Ct,Westport,549000,3,3,1824,CT,https://www.zillow.com/homedetails/2-Heritage-Ct-Westport-CT-06880/177215102_zpid/
5 Hedley Farms Rd,Westport,14000000,8,12,13397,CT,https://www.zillow.com/homedetails/5-Hedley-Farms-Rd-Westport-CT-06880/177223017_zpid/
1 Carol Ann Dr,NEWTOWN,334900,3,2,1978,CT,https://www.zillow.com/homedetails/1-Carol-Ann-Dr-Newtown-CT-06470/57335869_zpid/
27 Rock Ridge Rd,SHELTON,449900,4,3,2810,CT,https://www.zillow.com/homedetails/27-Rock-Ridge-Rd-Shelton-CT-06484/57350541_zpid/
80 Windy Hill Rd,MILFORD,279900,4,2,2708,CT,https://www.zillow.com/homedetails/80-Windy-Hill-Rd-Milford-CT-06461/58919868_zpid/
124 Old Mill Rd,GREENWICH,19950000,8,14,15862,CT,https://www.zillow.com/homedetails/124-Old-Mill-Rd-Greenwich-CT-06831/57310828_zpid/
167 Pearl Lake Rd,Waterbury,115000,3,2,1200,CT,https://www.zillow.com/homedetails/167-Pearl-Lake-Rd-Waterbury-CT-06706/58023787_zpid/
11 Mill River Dr,Stratford,280000,3,2,1580,CT,https://www.zillow.com/homedetails/11-Mill-River-Dr-Stratford-CT-06614/58833518_zpid/
241 Thunder Lake Rd,Wilton,479000,4,3,2652,CT,https://www.zillow.com/homedetails/241-Thunder-Lake-Rd-Wilton-CT-06897/57418792_zpid/
930 Lake Dr,Guilford,139900,5,2,2818,CT,https://www.zillow.com/homedetails/930-Lake-Dr-Guilford-CT-06437/58898581_zpid/
365 Court D BLDG 49,Bridgeport,54950,3,2,1100,CT,https://www.zillow.com/homedetails/365-Court-D-BLDG-49-Bridgeport-CT-06610/2086806441_zpid/
