address,city,price(USD),bds,ba,sqft,state,url
41 Arvida Pkwy,Coral Gables,68000000,9,12,14000,FL,https://www.zillow.com/homedetails/41-Arvida-Pkwy-Coral-Gables-FL-33156/111100517_zpid/
23615 Valderama Ln,SORRENTO,289900,4,3,2447,FL,https://www.zillow.com/homedetails/23615-Valderama-Ln-Sorrento-FL-32776/82416891_zpid/
4163 SW Gleneagle Cir,PALM CITY,75000,3,2.5,2220,FL,https://www.zillow.com/homedetails/4163-SW-Gleneagle-Cir-Palm-City-FL-34990/45688173_zpid/
2388 NW 67th St,Boca Raton,149000,3,3,3011,FL,https://www.zillow.com/homedetails/2388-NW-67th-St-Boca-Raton-FL-33496/46699348_zpid/
7972 Mandarin Dr,BOCA RATON,299950,4,5,4945,FL,https://www.zillow.com/homedetails/7972-Mandarin-Dr-Boca-Raton-FL-33433/46646305_zpid/
7677 Glendevon Ln APT 1706,DELRAY BEACH,39900,2,2,1425,FL,https://www.zillow.com/homedetails/7677-Glendevon-Ln-APT-1706-Delray-Beach-FL-33446/46612819_zpid/
12321 Fort King Hwy,THONOTOSASSA,22000000,8,26,36361,FL,https://www.zillow.com/homedetails/12321-Fort-King-Hwy-Thonotosassa-FL-33592/44962942_zpid/
15364 SW 23rd Court Rd,Ocala,90000,4,3,2298,FL,https://www.zillow.com/homedetails/15364-SW-23rd-Court-Rd-Ocala-FL-34473/45922177_zpid/
7675 Dahlia Ct,WEST PALM BEACH,99000,3,2,1705,FL,https://www.zillow.com/homedetails/7675-Dahlia-Ct-West-Palm-Beach-FL-33412/46917665_zpid/
1071 N Ocean Blvd,PALM BEACH,59900000,7,16,35993,FL,https://www.zillow.com/homedetails/1071-N-Ocean-Blvd-Palm-Beach-FL-33480/46842687_zpid/
5748 Wandering Trl,Jacksonville,189000,4,2,1848,FL,https://www.zillow.com/homedetails/5748-Wandering-Trl-Jacksonville-FL-32219/44405286_zpid/
10427 Stonebridge Blvd,BOCA RATON,324900,4,3,2913,FL,https://www.zillow.com/homedetails/10427-Stonebridge-Blvd-Boca-Raton-FL-33498/46499111_zpid/
9927 Giffin Ct,Windermere,21990000,12,15,31000,FL,https://www.zillow.com/homedetails/9927-Giffin-Ct-Windermere-FL-34786/46138336_zpid/
11224 Moonshine Creek Cir,ORLANDO,269000,4,2,1639,FL,https://www.zillow.com/homedetails/11224-Moonshine-Creek-Cir-Orlando-FL-32825/58340757_zpid/
10129 Spyglass Way,BOCA RATON,289000,3,3,2314,FL,https://www.zillow.com/homedetails/10129-Spyglass-Way-Boca-Raton-FL-33498/46499494_zpid/
1840 Sylvan Dr,Clearwater,69400,3,2,1126,FL,https://www.zillow.com/homedetails/1840-Sylvan-Dr-Clearwater-FL-33755/46962305_zpid/
2113 Congressional Dr,Orlando,25500,2,2,1248,FL,https://www.zillow.com/homedetails/2113-Congressional-Dr-Orlando-FL-32826/2087726803_zpid/
