address,city,price(USD),bds,ba,sqft,state,url
5358 Thornapple Ln NW,Acworth,452850,5,5,3512,GA,https://www.zillow.com/homedetails/5358-Thornapple-Ln-NW-Acworth-GA-30101/14386183_zpid/
1499 Ridgewood Pl,Lawrenceville,266770,4,3,2517,GA,https://www.zillow.com/homedetails/1499-Ridgewood-Pl-Lawrenceville-GA-30043/14810303_zpid/
219 Crescent Moon Way,Canton,393460,5,5,4139,GA,https://www.zillow.com/homedetails/219-Crescent-Moon-Way-Canton-GA-30114/60041174_zpid/
1707 Glen Echo Way,Marietta,389000,4,4,3407,GA,https://www.zillow.com/homedetails/1707-Glen-Echo-Way-Marietta-GA-30062/60154374_zpid/
145 Palmer Oaks Ln,Marietta,589160,5,5,4264,GA,https://www.zillow.com/homedetails/145-Palmer-Oaks-Ln-Marietta-GA-30068/80422198_zpid/
3220 Maple Terrace Dr,Suwanee,306960,5,3,2707,GA,https://www.zillow.com/homedetails/3220-Maple-Terrace-Dr-Suwanee-GA-30024/14827512_zpid/
260 Wood Shoals Ct,Alpharetta,439810,5,4,2491,GA,https://www.zillow.com/homedetails/260-Wood-Shoals-Ct-Alpharetta-GA-30022/14649027_zpid/
2650 Royston Dr,Duluth,347500,5,4,2948,GA,https://www.zillow.com/homedetails/2650-Royston-Dr-Duluth-GA-30097/80170649_zpid/
2660 Nesbit Trl,Alpharetta,440000,6,4,3235,GA,https://www.zillow.com/homedetails/2660-Nesbit-Trl-Alpharetta-GA-30022/14676515_zpid/
5929 Farmcrest Pt SE,Mableton,274960,5,4,3175,GA,https://www.zillow.com/homedetails/5929-Farmcrest-Pt-SE-Mableton-GA-30126/60158359_zpid/
190 Blessing Way,Roswell,160680,3,3,1120,GA,https://www.zillow.com/homedetails/190-Blessing-Way-Roswell-GA-30075/71755521_zpid/
1123 Silverbrooke Dr,Powder Springs,251180,4,3,2424,GA,https://www.zillow.com/homedetails/1123-Silverbrooke-Dr-Powder-Springs-GA-30127/87683304_zpid/
2807 Parliament Cir,Marietta,276040,4,4,2334,GA,https://www.zillow.com/homedetails/2807-Parliament-Cir-Marietta-GA-30066/14254534_zpid/
894 Steffi Ct,Lawrenceville,210000,3,2,1663,GA,https://www.zillow.com/homedetails/894-Steffi-Ct-Lawrenceville-GA-30044/14801227_zpid/
2074 River Heights Walk SE,Marietta,166860,2,2,933,GA,https://www.zillow.com/homedetails/2074-River-Heights-Walk-SE-Marietta-GA-30067/14321156_zpid/
4110 Paces Ferry Rd NW,Atlanta,21000000,7,14,34688,GA,https://www.zillow.com/homedetails/4110-Paces-Ferry-Rd-NW-Atlanta-GA-30327/82617438_zpid/
250 Manous Way,Canton,257500,4,3,2316,GA,https://www.zillow.com/homedetails/250-Manous-Way-Canton-GA-30115/88798089_zpid/
220 Thornbush Trce,LAWRENCEVILLE,217330,4,3,2563,GA,https://www.zillow.com/homedetails/220-Thornbush-Trce-Lawrenceville-GA-30046/14719046_zpid/
2408 Traywick Chase,Alpharetta,353930,4,3,2142,GA,https://www.zillow.com/homedetails/2408-Traywick-Chase-Alpharetta-GA-30004/35945846_zpid/
2253 Scotts Pkwy,Marietta,316000,4,3,2364,GA,https://www.zillow.com/homedetails/2253-Scotts-Pkwy-Marietta-GA-30062/14260156_zpid/
4663 Whispering Winds Pl,Douglasville,233810,4,3,3242,GA,https://www.zillow.com/homedetails/4663-Whispering-Winds-Pl-Douglasville-GA-30135/72584507_zpid/
4220 Greenside Ct,Dacula,344960,5,4,3800,GA,https://www.zillow.com/homedetails/4220-Greenside-Ct-Dacula-GA-30019/62031615_zpid/
4737 Generation Ct,SNELLVILLE,199850,4,3,2546,GA,https://www.zillow.com/homedetails/4737-Generation-Ct-Snellville-GA-30039/60829461_zpid/
3432 Belridge Dr SE,SMYRNA,451480,5,4,3254,GA,https://www.zillow.com/homedetails/3432-Belridge-Dr-SE-Smyrna-GA-30080/60156557_zpid/
4255 Azurite St,Cumming,342960,7,4,3826,GA,https://www.zillow.com/homedetails/4255-Azurite-St-Cumming-GA-30040/97878179_zpid/
4257 Sterling Pointe Dr # 1,Douglasville,165990,3,3,1450,GA,https://www.zillow.com/homedetails/4257-Sterling-Pointe-Dr-1-Douglasville-GA-30135/49818196_zpid/
214 Stone Mill Ln NW,Marietta,249900,3,2,1400,GA,https://www.zillow.com/homedetails/214-Stone-Mill-Ln-NW-Marietta-GA-30064/14393231_zpid/
4210 Greenside Ct,Dacula,376980,5,4,3116,GA,https://www.zillow.com/homedetails/4210-Greenside-Ct-Dacula-GA-30019/62031616_zpid/
3511 Roxboro Rd NE,Atlanta,2500000,7,11,11000,GA,https://www.zillow.com/homedetails/3511-Roxboro-Rd-NE-Atlanta-GA-30326/35940023_zpid/
4200 Courageous Wake,ALPHARETTA,519970,4,5,4449,GA,https://www.zillow.com/homedetails/4200-Courageous-Wake-Alpharetta-GA-30005/14681627_zpid/
319 Rosemont Park Ln,Marietta,341960,4,3,2474,GA,https://www.zillow.com/homedetails/319-Rosemont-Park-Ln-Marietta-GA-30064/89575749_zpid/
2048 Arbor Forest Dr SW,Marietta,214210,4,3,1996,GA,https://www.zillow.com/homedetails/2048-Arbor-Forest-Dr-SW-Marietta-GA-30064/14332839_zpid/
244 Stoker Rd,Dallas,158000,2,2,1236,GA,https://www.zillow.com/homedetails/244-Stoker-Rd-Dallas-GA-30132/237700511_zpid/
2549 Willow Grove Rd NW,Acworth,176130,3,3,1482,GA,https://www.zillow.com/homedetails/2549-Willow-Grove-Rd-NW-Acworth-GA-30101/2103996837_zpid/
2439 Alston Dr NE,Marietta,316210,3,3,2176,GA,https://www.zillow.com/homedetails/2439-Alston-Dr-NE-Marietta-GA-30062/14256954_zpid/
205 Gaines Oak Way,Suwanee,338870,4,3,2512,GA,https://www.zillow.com/homedetails/205-Gaines-Oak-Way-Suwanee-GA-30024/58607944_zpid/
5360 Penny Ln,Cumming,407940,6,4,4999,GA,https://www.zillow.com/homedetails/5360-Penny-Ln-Cumming-GA-30040/97876312_zpid/
9865 Rivercliff Ln,Villa Rica,170000,5,3,2519,GA,https://www.zillow.com/homedetails/9865-Rivercliff-Ln-Villa-Rica-GA-30180/72582637_zpid/
4565 Farmstead Dr,Cumming,389960,5,3,3066,GA,https://www.zillow.com/homedetails/4565-Farmstead-Dr-Cumming-GA-30040/248579675_zpid/
155 Worthington Hills Trce,Roswell,219390,3,2,1404,GA,https://www.zillow.com/homedetails/155-Worthington-Hills-Trce-Roswell-GA-30076/14670389_zpid/
2074 Honeydew Ln NW,Kennesaw,300000,5,4,3088,GA,https://www.zillow.com/homedetails/2074-Honeydew-Ln-NW-Kennesaw-GA-30152/14381770_zpid/
5655 Sandown Way,Duluth,419000,5,4,3060,GA,https://www.zillow.com/homedetails/5655-Sandown-Way-Duluth-GA-30097/14658155_zpid/
96 Milam Creek Rd SE,Mableton,490280,6,5,4108,GA,https://www.zillow.com/homedetails/96-Milam-Creek-Rd-SE-Mableton-GA-30126/80426559_zpid/
1008 Meadow Brook Dr,Woodstock,442940,4,4,3630,GA,https://www.zillow.com/homedetails/1008-Meadow-Brook-Dr-Woodstock-GA-30188/68125790_zpid/
5306 Paddington Ln,Powder Springs,214240,4,4,2524,GA,https://www.zillow.com/homedetails/5306-Paddington-Ln-Powder-Springs-GA-30127/60161197_zpid/
2624 Mcguire Dr NW,Kennesaw,212180,4,3,1564,GA,https://www.zillow.com/homedetails/2624-Mcguire-Dr-NW-Kennesaw-GA-30144/60162968_zpid/
9340 Saint Georgen Cmn,Duluth,519880,4,5,3114,GA,https://www.zillow.com/homedetails/9340-Saint-Georgen-Cmn-Duluth-GA-30097/69350216_zpid/
4154 Knotty Oak Trl,Douglasville,155530,3,3,2216,GA,https://www.zillow.com/homedetails/4154-Knotty-Oak-Trl-Douglasville-GA-30135/49825010_zpid/
