address,city,price(USD),bds,ba,sqft,state,url
2416 Maryland Pike,Des Moines,185000,3,3,1164,IA,https://www.zillow.com/homedetails/2416-Maryland-Pike-Des-Moines-IA-50310/805966_zpid/
4130 Riverside Dr NE,CEDAR RAPIDS,189000,3,2,1644,IA,https://www.zillow.com/homedetails/4130-Riverside-Dr-NE-Cedar-Rapids-IA-52411/73077270_zpid/
2613 33rd St,Des Moines,184900,3,2,1279,IA,https://www.zillow.com/homedetails/2613-33rd-St-Des-Moines-IA-50310/806896_zpid/
6180 Ashworth Rd,WEST DES MOINES,274900,4,3,2164,IA,https://www.zillow.com/homedetails/6180-Ashworth-Rd-West-Des-Moines-IA-50266/61676001_zpid/
1501 Pioneer Rd,Des Moines,155000,4,2,1784,IA,https://www.zillow.com/homedetails/1501-Pioneer-Rd-Des-Moines-IA-50320/765557_zpid/
117 NW Cedarwood Dr,Ankeny,285000,3,3,2710,IA,https://www.zillow.com/homedetails/117-NW-Cedarwood-Dr-Ankeny-IA-50023/829020_zpid/
15905 Boston Pkwy,CLIVE,340000,5,4,3156,IA,https://www.zillow.com/homedetails/15905-Boston-Pkwy-Clive-IA-50325/61668413_zpid/
1800 26th St,Des Moines,150000,2,1,1303,IA,https://www.zillow.com/homedetails/1800-26th-St-Des-Moines-IA-50310/792561_zpid/
1716 Linden Ave,Cedar Falls,213900,3,2,2080,IA,https://www.zillow.com/homedetails/1716-Linden-Ave-Cedar-Falls-IA-50613/76669217_zpid/
805 74th St NE,CEDAR RAPIDS,175000,3,3,1583,IA,https://www.zillow.com/homedetails/805-74th-St-NE-Cedar-Rapids-IA-52402/73048455_zpid/
1705 Fox Trail Dr NE,CEDAR RAPIDS,215000,3,3,1812,IA,https://www.zillow.com/homedetails/1705-Fox-Trail-Dr-NE-Cedar-Rapids-IA-52402/73047024_zpid/
2701 SE 7th St,Des Moines,179500,4,3,1386,IA,https://www.zillow.com/homedetails/2701-SE-7th-St-Des-Moines-IA-50315/68174507_zpid/
5400 SW 17th St,Des Moines,150000,3,2,1088,IA,https://www.zillow.com/homedetails/5400-SW-17th-St-Des-Moines-IA-50315/815992_zpid/
4222 Woodlawn Dr,Des Moines,685000,4,3,3595,IA,https://www.zillow.com/homedetails/4222-Woodlawn-Dr-Des-Moines-IA-50312/795566_zpid/
1848 NW 90th St,Clive,262500,3,3,1360,IA,https://www.zillow.com/homedetails/1848-NW-90th-St-Clive-IA-50325/847331_zpid/
4730 Ingersoll Ave,Des Moines,278000,3,2,1575,IA,https://www.zillow.com/homedetails/4730-Ingersoll-Ave-Des-Moines-IA-50312/796395_zpid/
324 E Hughes Ave,Des Moines,159900,4,3,1906,IA,https://www.zillow.com/homedetails/324-E-Hughes-Ave-Des-Moines-IA-50315/766456_zpid/
2011 Merklin Way,Des Moines,179900,2,2,1295,IA,https://www.zillow.com/homedetails/2011-Merklin-Way-Des-Moines-IA-50310/800864_zpid/
4 Hillcrest Dr,CLINTON,288900,6,5,7058,IA,https://www.zillow.com/homedetails/4-Hillcrest-Dr-Clinton-IA-52732/76724959_zpid/
1913 Meadow Ridge Ln,IOWA CITY,280000,5,5,2340,IA,https://www.zillow.com/homedetails/1913-Meadow-Ridge-Ln-Iowa-City-IA-52245/93866031_zpid/
