address,city,price(USD),bds,ba,sqft,state,url
876 S Phillippi St,Boise,170000,2,2,1026,ID,https://www.zillow.com/homedetails/876-S-Phillippi-St-Boise-ID-83705/79691428_zpid/
1302 N 20th St,Boise,315000,2,1,831,ID,https://www.zillow.com/homedetails/1302-N-20th-St-Boise-ID-83702/79689607_zpid/
5251 N Blue Ash Pl,Boise,379900,5,3,2829,ID,https://www.zillow.com/homedetails/5251-N-Blue-Ash-Pl-Boise-ID-83713/79600823_zpid/
3737 E Jump Creek Ln,Boise,319500,3,2,1415,ID,https://www.zillow.com/homedetails/3737-E-Jump-Creek-Ln-Boise-ID-83716/83173859_zpid/
1611 N 19th St,Boise,489900,3,2,1698,ID,https://www.zillow.com/homedetails/1611-N-19th-St-Boise-ID-83702/79628096_zpid/
1391 N Midtown St,Meridian,277000,3,2,1878,ID,https://www.zillow.com/homedetails/1391-N-Midtown-St-Meridian-ID-83642/79660185_zpid/
6381 E Wild Horse Ln,Boise,3100000,5,8,10757,ID,https://www.zillow.com/homedetails/6381-E-Wild-Horse-Ln-Boise-ID-83712/82790848_zpid/
2318 Malibu Dr,IDAHO FALLS,340000,5,3,3866,ID,https://www.zillow.com/homedetails/2318-Malibu-Dr-Idaho-Falls-ID-83404/76917813_zpid/
6 Paloma Dr,BOISE,235000,3,2,1204,ID,https://www.zillow.com/homedetails/6-Paloma-Dr-Boise-ID-83716/89918849_zpid/
1118 W Teton Ave,Nampa,179900,3,2,1102,ID,https://www.zillow.com/homedetails/1118-W-Teton-Ave-Nampa-ID-83686/72350891_zpid/
421 S Curtis Rd LOT 312,Boise,225000,3,2,2241,ID,https://www.zillow.com/homedetails/421-S-Curtis-Rd-LOT-312-Boise-ID-83705/190076998_zpid/
