address,city,price(USD),bds,ba,sqft,state,url
1932 N Burling St,CHICAGO,45000000,6,11,25000,IL,https://www.zillow.com/homedetails/1932-N-Burling-St-Chicago-IL-60614/101327119_zpid/
2700 Point Dr,Highland Park,14855000,9,19,32683,IL,https://www.zillow.com/homedetails/2700-Point-Dr-Highland-Park-IL-60035/4902463_zpid/
915 N Dearborn St,Chicago,21900000,6,7,13400,IL,https://www.zillow.com/homedetails/915-N-Dearborn-St-Chicago-IL-60610/2142522474_zpid/
7 Fox Hunt Rd,Barrington,14888000,8,14,30000,IL,https://www.zillow.com/homedetails/7-Fox-Hunt-Rd-Barrington-IL-60010/5090080_zpid/
11845 Love Rd,ROSCOE,119900,4,3,1734,IL,https://www.zillow.com/homedetails/11845-Love-Rd-Roscoe-IL-61073/5497969_zpid/
77 Stone Gate Ln,Lake Forest,12000000,6,8,8865,IL,https://www.zillow.com/homedetails/77-Stone-Gate-Ln-Lake-Forest-IL-60045/4857912_zpid/
3500 N Lake Shore Dr APT 2A,Chicago,220000,3,3,2500,IL,https://www.zillow.com/homedetails/3500-N-Lake-Shore-Dr-APT-2A-Chicago-IL-60657/2136379399_zpid/
28W660 Perkins Ct,NAPERVILLE,5890000,6,10,21805,IL,https://www.zillow.com/homedetails/28W660-Perkins-Ct-Naperville-IL-60564/5365662_zpid/
1521 N State Pkwy,CHICAGO,10300000,7,8,9700,IL,https://www.zillow.com/homedetails/1521-N-State-Pkwy-Chicago-IL-60610/3842856_zpid/
235 W Van Buren St UNIT 2108,Chicago,149620,1,1,590,IL,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-2108-Chicago-IL-60607/2085560529_zpid/
3001 S Michigan Ave UNIT 1202,Chicago,169900,2,2,1100,IL,https://www.zillow.com/homedetails/3001-S-Michigan-Ave-UNIT-1202-Chicago-IL-60616/2086227433_zpid/
5137 W Berenice Ave,CHICAGO,375000,3,2,2118,IL,https://www.zillow.com/homedetails/5137-W-Berenice-Ave-Chicago-IL-60641/3663325_zpid/
1241 N State Pkwy,CHICAGO,7250000,6,7,7430,IL,https://www.zillow.com/homedetails/1241-N-State-Pkwy-Chicago-IL-60610/3844924_zpid/
315 N Prairie St,BLOOMINGTON,125000,2,2,2712,IL,https://www.zillow.com/homedetails/315-N-Prairie-St-Bloomington-IL-61701/76983815_zpid/
321 Homestead Dr,Bolingbrook,179900,3,2,1550,IL,https://www.zillow.com/homedetails/321-Homestead-Dr-Bolingbrook-IL-60440/5402678_zpid/
608 Morgan St,JOLIET,79900,5,2,3280,IL,https://www.zillow.com/homedetails/608-Morgan-St-Joliet-IL-60436/5486083_zpid/
457 Lilac Ln,ELK GROVE VILLAGE,265000,4,2,1400,IL,https://www.zillow.com/homedetails/457-Lilac-Ln-Elk-Grove-Village-IL-60007/3460774_zpid/
3900 N Lake Shore Dr APT 19A,CHICAGO,245000,2,2,1150,IL,https://www.zillow.com/homedetails/3900-N-Lake-Shore-Dr-APT-19A-Chicago-IL-60613/3713966_zpid/
1107 W 61st St,Chicago,22000,6,3,2718,IL,https://www.zillow.com/homedetails/1107-W-61st-St-Chicago-IL-60621/2089725217_zpid/
2163 N Oakley Ave,Chicago,2990000,6,5,5963,IL,https://www.zillow.com/homedetails/2163-N-Oakley-Ave-Chicago-IL-60647/158599832_zpid/
405 N Mayflower Rd,Lake Forest,8950000,10,11,24500,IL,https://www.zillow.com/homedetails/405-N-Mayflower-Rd-Lake-Forest-IL-60045/4857805_zpid/
1119 N 7th Ave,Maywood,70000,3,2,1875,IL,https://www.zillow.com/homedetails/1119-N-7th-Ave-Maywood-IL-60153/3745882_zpid/
809 N Mclean St,Bloomington,125000,5,3,4019,IL,https://www.zillow.com/homedetails/809-N-Mclean-St-Bloomington-IL-61701/76983440_zpid/
1100 Singleton Dr,ROSELLE,245000,3,2,1891,IL,https://www.zillow.com/homedetails/1100-Singleton-Dr-Roselle-IL-60172/4364262_zpid/
4143 N Tripp Ave,CHICAGO,1825000,6,7,6700,IL,https://www.zillow.com/homedetails/4143-N-Tripp-Ave-Chicago-IL-60641/3647711_zpid/
809 Westfield Ln,SCHAUMBURG,349900,4,3,2655,IL,https://www.zillow.com/homedetails/809-Westfield-Ln-Schaumburg-IL-60193/3431437_zpid/
4850 S Lake Park Ave APT 301,Chicago,34900,3,2,1200,IL,https://www.zillow.com/homedetails/4850-S-Lake-Park-Ave-APT-301-Chicago-IL-60615/2086110754_zpid/
28 Sundance Rd,MATTESON,189000,4,3,2235,IL,https://www.zillow.com/homedetails/28-Sundance-Rd-Matteson-IL-60443/54543526_zpid/
618 E 91st St,CHICAGO,178000,3,3,1250,IL,https://www.zillow.com/homedetails/618-E-91st-St-Chicago-IL-60619/4116516_zpid/
1636 N. Wells #2008,Chicago,99500,1,1,750,IL,https://www.zillow.com/homedetails/1636-N-Wells-2008-Chicago-IL-60617/2096208682_zpid/
516 W Bottom Ave,COLUMBIA,149900,3,1,1500,IL,https://www.zillow.com/homedetails/516-W-Bottom-Ave-Columbia-IL-62236/5092107_zpid/
4952 S Champlain Ave,Chicago,580000,5,4,3762,IL,https://www.zillow.com/homedetails/4952-S-Champlain-Ave-Chicago-IL-60615/2089687874_zpid/
556 N Central Ave,CHICAGO,220000,5,2,2667,IL,https://www.zillow.com/homedetails/556-N-Central-Ave-Chicago-IL-60644/3807393_zpid/
1450 Thoria Rd,Batavia,269900,4,2,2323,IL,https://www.zillow.com/homedetails/1450-Thoria-Rd-Batavia-IL-60510/4673836_zpid/
305 Brooks Ave,JOLIET,195000,2,2,1752,IL,https://www.zillow.com/homedetails/305-Brooks-Ave-Joliet-IL-60435/5477629_zpid/
1525 S Michigan Ave APT 108,Chicago,339900,2,2,1450,IL,https://www.zillow.com/homedetails/1525-S-Michigan-Ave-APT-108-Chicago-IL-60605/2087076073_zpid/
722 39th St,DOWNERS GROVE,1800000,5,5,6387,IL,https://www.zillow.com/homedetails/722-39th-St-Downers-Grove-IL-60515/4497096_zpid/
3051 Caton Farm Rd,JOLIET,184900,3,2,1586,IL,https://www.zillow.com/homedetails/3051-Caton-Farm-Rd-Joliet-IL-60431/5358037_zpid/
631 S Whispering Hills Dr,NAPERVILLE,375000,4,3,3050,IL,https://www.zillow.com/homedetails/631-S-Whispering-Hills-Dr-Naperville-IL-60540/4511968_zpid/
243 S Oakland Grv,ELMHURST,299000,3,3,1216,IL,https://www.zillow.com/homedetails/243-S-Oakland-Grv-Elmhurst-IL-60126/4465164_zpid/
