address,city,price(USD),bds,ba,sqft,state,url
14201 W 82nd St,LENEXA,249900,5,4,3420,KS,https://www.zillow.com/homedetails/14201-W-82nd-St-Lenexa-KS-66215/75545504_zpid/
26680 Somerset Rd,Paola,242000,4,2,3096,KS,https://www.zillow.com/homedetails/26680-Somerset-Rd-Paola-KS-66071/77239732_zpid/
611 S Troost St,OLATHE,155000,3,2,1220,KS,https://www.zillow.com/homedetails/611-S-Troost-St-Olathe-KS-66061/75547546_zpid/
2945 NE Meriden Rd,Topeka,120200,5,4,2999,KS,https://www.zillow.com/homedetails/2945-NE-Meriden-Rd-Topeka-KS-66617/77487485_zpid/
6514 W 73rd St,OVERLAND PARK,225000,3,3,1896,KS,https://www.zillow.com/homedetails/6514-W-73rd-St-Overland-Park-KS-66204/75591467_zpid/
14520 W 86th Ter,LENEXA,250000,4,3,2120,KS,https://www.zillow.com/homedetails/14520-W-86th-Ter-Lenexa-KS-66215/75673015_zpid/
5433 Westgate St,SHAWNEE,239000,3,2,1535,KS,https://www.zillow.com/homedetails/5433-Westgate-St-Shawnee-KS-66216/75624332_zpid/
5416 W 50th St,ROELAND PARK,248900,3,3,1849,KS,https://www.zillow.com/homedetails/5416-W-50th-St-Roeland-Park-KS-66205/75628836_zpid/
4014 W 103rd St,OVERLAND PARK,419000,4,4,4081,KS,https://www.zillow.com/homedetails/4014-W-103rd-St-Overland-Park-KS-66207/75598849_zpid/
11802 W Murdock St,WICHITA,155900,4,3,2384,KS,https://www.zillow.com/homedetails/11802-W-Murdock-St-Wichita-KS-67212/77378958_zpid/
5732 Cottonwood St,Shawnee,279900,3,4,3039,KS,https://www.zillow.com/homedetails/5732-Cottonwood-St-Shawnee-KS-66216/75575498_zpid/
4815 W 71st Ter,PRAIRIE VILLAGE,257900,3,2,1437,KS,https://www.zillow.com/homedetails/4815-W-71st-Ter-Prairie-Village-KS-66208/75614526_zpid/
6214 High Dr,MISSION HILLS,895000,3,5,3608,KS,https://www.zillow.com/homedetails/6214-High-Dr-Mission-Hills-KS-66208/75594093_zpid/
5302 E Pine St,WICHITA,149900,3,2,2182,KS,https://www.zillow.com/homedetails/5302-E-Pine-St-Wichita-KS-67208/77342910_zpid/
5612 W 98th Pl,OVERLAND PARK,235000,3,3,2012,KS,https://www.zillow.com/homedetails/5612-W-98th-Pl-Overland-Park-KS-66207/75605258_zpid/
9410 Dice Ln,LENEXA,255000,4,3,1828,KS,https://www.zillow.com/homedetails/9410-Dice-Ln-Lenexa-KS-66215/75590522_zpid/
136 N Cedar St,GARDNER,135000,4,2,1837,KS,https://www.zillow.com/homedetails/136-N-Cedar-St-Gardner-KS-66030/75685949_zpid/
12583 W 82nd Ter,LENEXA,270000,4,3,2281,KS,https://www.zillow.com/homedetails/12583-W-82nd-Ter-Lenexa-KS-66215/75529115_zpid/
