address,city,price(USD),bds,ba,sqft,state,url
3591 Paris Pike,LEXINGTON,4500000,6,8.5,31000,KY,https://www.zillow.com/homedetails/3591-Paris-Pike-Lexington-KY-40511/91584917_zpid/
1130 Cannonball Way,Independence,235000,3,3,2550,KY,https://www.zillow.com/homedetails/1130-Cannonball-Way-Independence-KY-41051/35968550_zpid/
164 Black Water Ln,LEXINGTON,164900,3,2,1320,KY,https://www.zillow.com/homedetails/164-Black-Water-Ln-Lexington-KY-40511/77584973_zpid/
191 Holland Ln,Booneville,115000,3,2,2483,KY,https://www.zillow.com/homedetails/191-Holland-Ln-Booneville-KY-41314/2087747368_zpid/
1925 Arboro Pl,LOUISVILLE,195000,3,2,1276,KY,https://www.zillow.com/homedetails/1925-Arboro-Pl-Louisville-KY-40220/73499016_zpid/
4102 Bay Pointe Dr,LOUISVILLE,175000,3,2,1641,KY,https://www.zillow.com/homedetails/4102-Bay-Pointe-Dr-Louisville-KY-40241/73626416_zpid/
4234 Brownsboro Glen Rd,LOUISVILLE,289900,4,3,2702,KY,https://www.zillow.com/homedetails/4234-Brownsboro-Glen-Rd-Louisville-KY-40241/73485969_zpid/
2017 Stanford Rd,Lancaster,229900,6,3,3378,KY,https://www.zillow.com/homedetails/2017-Stanford-Rd-Lancaster-KY-40444/115330092_zpid/
11204 Brook Bend Ct,LOUISVILLE,225000,5,2,2050,KY,https://www.zillow.com/homedetails/11204-Brook-Bend-Ct-Louisville-KY-40229/73529402_zpid/
4116 Weber Way,LEXINGTON,199900,3,2,1586,KY,https://www.zillow.com/homedetails/4116-Weber-Way-Lexington-KY-40514/77573434_zpid/
400 Millwood Ct,BOWLING GREEN,284900,4,2,2677,KY,https://www.zillow.com/homedetails/400-Millwood-Ct-Bowling-Green-KY-42104/97269267_zpid/
11306 Bodley Dr,LOUISVILLE,4585000,6,8,19081,KY,https://www.zillow.com/homedetails/11306-Bodley-Dr-Louisville-KY-40223/114063177_zpid/
409 Nathaniel Ct,Lexington,132834,4,3,1776,KY,https://www.zillow.com/homedetails/409-Nathaniel-Ct-Lexington-KY-40508/157710225_zpid/
4117 Morgan Jaymes Dr,Jeffersontown,255000,4,2,2189,KY,https://www.zillow.com/homedetails/4117-Morgan-Jaymes-Dr-Jeffersontown-KY-40299/73521894_zpid/
3841 Sundart Dr,LEXINGTON,187500,4,2,2007,KY,https://www.zillow.com/homedetails/3841-Sundart-Dr-Lexington-KY-40517/77521342_zpid/
820 E 7th St,NEWPORT,239900,2,2,1474,KY,https://www.zillow.com/homedetails/820-E-7th-St-Newport-KY-41071/1361538_zpid/
7917 Barbour Manor Dr,LOUISVILLE,259990,3,3,2644,KY,https://www.zillow.com/homedetails/7917-Barbour-Manor-Dr-Louisville-KY-40241/73466357_zpid/
2298 Catalpa Loop,RICHMOND,107500,3,2,1349,KY,https://www.zillow.com/homedetails/2298-Catalpa-Loop-Richmond-KY-40475/125684290_zpid/
3885 Bohon Rd,Harrodsburg,299000,6,4,3900,KY,https://www.zillow.com/homedetails/3885-Bohon-Rd-Harrodsburg-KY-40330/2085556825_zpid/
2710 Cedar Point Rd,CRESTWOOD,275000,4,3,2710,KY,https://www.zillow.com/homedetails/2710-Cedar-Point-Rd-Crestwood-KY-40014/105917951_zpid/
986 Flat Holw,South Portsmouth,154000,3,3,2204,KY,https://www.zillow.com/homedetails/986-Flat-Holw-South-Portsmouth-KY-41174/218960542_zpid/
600 Beresford Dr,LEXINGTON,192500,3,3,2378,KY,https://www.zillow.com/homedetails/600-Beresford-Dr-Lexington-KY-40505/77519938_zpid/
1266 Willis Branch Rd,Richmond,6499000,6,7,14500,KY,https://www.zillow.com/homedetails/1266-Willis-Branch-Rd-Richmond-KY-40475/218447685_zpid/
3800 Scarlet Oak Ln,LEXINGTON,230000,3,3,1831,KY,https://www.zillow.com/homedetails/3800-Scarlet-Oak-Ln-Lexington-KY-40514/77541674_zpid/
204 Shalimar Ln,Shepherdsville,150000,3,2,1711,KY,https://www.zillow.com/homedetails/204-Shalimar-Ln-Shepherdsville-KY-40165/101604477_zpid/
4639 Shenandoah Dr,LOUISVILLE,230000,3,2,1781,KY,https://www.zillow.com/homedetails/4639-Shenandoah-Dr-Louisville-KY-40241/114068748_zpid/
1858 Freedom Trl,INDEPENDENCE,199000,3,4,2060,KY,https://www.zillow.com/homedetails/1858-Freedom-Trl-Independence-KY-41051/1422978_zpid/
2316 Branning Rd,Thornhill,297500,4,3,3563,KY,https://www.zillow.com/homedetails/2316-Branning-Rd-Thornhill-KY-40222/73465881_zpid/
