address,city,price(USD),bds,ba,sqft,state,url
19547 N Harrells Ferry Rd,Baton Rouge,87500,4,3,2850,LA,https://www.zillow.com/homedetails/19547-N-Harrells-Ferry-Rd-Baton-Rouge-LA-70816/2085631625_zpid/
3711 Saint Charles Ave,New Orleans,4500000,5,6,8747,LA,https://www.zillow.com/homedetails/3711-Saint-Charles-Ave-New-Orleans-LA-70115/84476067_zpid/
13431 Northstar Ct,Baton Rouge,159900,4,3,2346,LA,https://www.zillow.com/homedetails/13431-Northstar-Ct-Baton-Rouge-LA-70815/66381735_zpid/
1381 Harrison Ave,New Orleans,239000,3,2,1520,LA,https://www.zillow.com/homedetails/1381-Harrison-Ave-New-Orleans-LA-70122/148985834_zpid/
6208 Marigny St,New Orleans,369000,4,2,1819,LA,https://www.zillow.com/homedetails/6208-Marigny-St-New-Orleans-LA-70122/148999271_zpid/
2425 Constance St # 3,New Orleans,282500,2,2.5,1650,LA,https://www.zillow.com/homedetails/2425-Constance-St-3-New-Orleans-LA-70130/149044843_zpid/
620 Ursulines Ave,New Orleans,9250000,8,9.5,12365,LA,https://www.zillow.com/homedetails/620-Ursulines-Ave-New-Orleans-LA-70116/73780293_zpid/
13 Newcomb Blvd,New Orleans,3750000,4,5,5725,LA,https://www.zillow.com/homedetails/13-Newcomb-Blvd-New-Orleans-LA-70118/73847444_zpid/
2608 Dauphine St # 10,New Orleans,299900,3,3,1885,LA,https://www.zillow.com/homedetails/2608-Dauphine-St-10-New-Orleans-LA-70117/2085559177_zpid/
1505 Bodenger Blvd,New Orleans,185000,3,2,2519,LA,https://www.zillow.com/homedetails/1505-Bodenger-Blvd-New-Orleans-LA-70114/73828850_zpid/
4721 Camp St,New Orleans,400000,3,2,1613,LA,https://www.zillow.com/homedetails/4721-Camp-St-New-Orleans-LA-70115/84475721_zpid/
316 Seguin St,New Orleans,570000,5,4,3150,LA,https://www.zillow.com/homedetails/316-Seguin-St-New-Orleans-LA-70114/73823245_zpid/
6930 Camberley Dr,New Orleans,289900,4,4,3560,LA,https://www.zillow.com/homedetails/6930-Camberley-Dr-New-Orleans-LA-70128/73812857_zpid/
6606 Bellaire Dr,New Orleans,485000,3,3,2207,LA,https://www.zillow.com/homedetails/6606-Bellaire-Dr-New-Orleans-LA-70124/149093633_zpid/
21828 Turkey Creek Dr,Baton Rouge,3400000,9,11,13445,LA,https://www.zillow.com/homedetails/21828-Turkey-Creek-Dr-Baton-Rouge-LA-70817/66387221_zpid/
2503 St Charles Ave,New Orleans,2895000,10,9.5,7757,LA,https://www.zillow.com/homedetails/2503-St-Charles-Ave-New-Orleans-LA-70130/2101504930_zpid/
1015 Burgundy St APT 8,New Orleans,239000,2,1,808,LA,https://www.zillow.com/homedetails/1015-Burgundy-St-APT-8-New-Orleans-LA-70116/84447607_zpid/
1309 Foy St,New Orleans,279000,3,3,1700,LA,https://www.zillow.com/homedetails/1309-Foy-St-New-Orleans-LA-70122/2085972499_zpid/
5224 Forest Park Ln,New Orleans,125000,4,2,1566,LA,https://www.zillow.com/homedetails/5224-Forest-Park-Ln-New-Orleans-LA-70131/73831135_zpid/
1305 Hyland Dr,LOCKPORT,135500,4,4,2295,LA,https://www.zillow.com/homedetails/1305-Hyland-Dr-Lockport-LA-70374/119287949_zpid/
217 Sarah Ln,Slidell,216000,4,2,2560,LA,https://www.zillow.com/homedetails/217-Sarah-Ln-Slidell-LA-70460/96158891_zpid/
6664 Saint Mary Ave,Baton Rouge,164900,4,3,2500,LA,https://www.zillow.com/homedetails/6664-Saint-Mary-Ave-Baton-Rouge-LA-70811/66334049_zpid/
6224 Mckenna St,New Orleans,180000,3,2,951,LA,https://www.zillow.com/homedetails/6224-Mckenna-St-New-Orleans-LA-70125/84479106_zpid/
4291 San Giorgio St,New Orleans,379500,4,4,2981,LA,https://www.zillow.com/homedetails/4291-San-Giorgio-St-New-Orleans-LA-70129/84468565_zpid/
105 Sanro Rd,Lafayette,150000,3,2,1781,LA,https://www.zillow.com/homedetails/105-Sanro-Rd-Lafayette-LA-70507/110901321_zpid/
5517 Music St,New Orleans,370000,3,3,2035,LA,https://www.zillow.com/homedetails/5517-Music-St-New-Orleans-LA-70122/73793988_zpid/
2308 Taft Park,METAIRIE,299000,3,2,1439,LA,https://www.zillow.com/homedetails/2308-Taft-Park-Metairie-LA-70001/73724576_zpid/
2507 Prytania St,New Orleans,3350000,8,8,9350,LA,https://www.zillow.com/homedetails/2507-Prytania-St-New-Orleans-LA-70130/247553637_zpid/
3570 Gentilly Blvd,New Orleans,389000,5,3,4324,LA,https://www.zillow.com/homedetails/3570-Gentilly-Blvd-New-Orleans-LA-70122/73791877_zpid/
