address,city,price(USD),bds,ba,sqft,state,url
21 Wormwood St UNIT 611,BOSTON,2375000,2,2,2063,MA,https://www.zillow.com/homedetails/21-Wormwood-St-UNIT-611-Boston-MA-02210/59212006_zpid/
246 Essex St APT 4,Salem,305000,2,1,1018,MA,https://www.zillow.com/homedetails/246-Essex-St-APT-4-Salem-MA-01970/2108553928_zpid/
16 Oakes St,Millbury,240000,3,2,1633,MA,https://www.zillow.com/homedetails/16-Oakes-St-Millbury-MA-01527/57615857_zpid/
35 Clarendon St,Malden,379900,3,1,1287,MA,https://www.zillow.com/homedetails/35-Clarendon-St-Malden-MA-02148/56519044_zpid/
62 Glen St,Melrose,634999,4,3,2899,MA,https://www.zillow.com/homedetails/62-Glen-St-Melrose-MA-02176/56286324_zpid/
41 Bryn Mawr Ave,Auburn,210500,3,2,1520,MA,https://www.zillow.com/homedetails/41-Bryn-Mawr-Ave-Auburn-MA-01501/81896096_zpid/
23 Devonshire Dr,Billerica,374900,3,1,1372,MA,https://www.zillow.com/homedetails/23-Devonshire-Dr-Billerica-MA-01821/56422925_zpid/
24 Elliott St,Melrose,525000,3,2,1304,MA,https://www.zillow.com/homedetails/24-Elliott-St-Melrose-MA-02176/56289014_zpid/
208 Beacon St,Boston,14900000,8,6.5,6771,MA,https://www.zillow.com/homedetails/208-Beacon-St-Boston-MA-02116/59171042_zpid/
14 Highland Ave,Lynn,279000,5,3,1332,MA,https://www.zillow.com/homedetails/14-Highland-Ave-Lynn-MA-01902/56080232_zpid/
701 Nashua Rd,Dracut,182900,3,1,1839,MA,https://www.zillow.com/homedetails/701-Nashua-Rd-Dracut-MA-01826/56455295_zpid/
147 Riverview Ave,Waltham,599000,3,1,1328,MA,https://www.zillow.com/homedetails/147-Riverview-Ave-Waltham-MA-02453/56367274_zpid/
749 Somerville Ave # 1,SOMERVILLE,350000,1,1,356,MA,https://www.zillow.com/homedetails/749-Somerville-Ave-1-Somerville-MA-02143/65800719_zpid/
42 Pilgrim Rd,QUINCY,475000,4,2,1844,MA,https://www.zillow.com/homedetails/42-Pilgrim-Rd-Quincy-MA-02169/121433364_zpid/
43 Pine St,Lowell,200000,3,2,1447,MA,https://www.zillow.com/homedetails/43-Pine-St-Lowell-MA-01851/56502766_zpid/
48 Hadley Rd,Merrimac,249900,4,1,1512,MA,https://www.zillow.com/homedetails/48-Hadley-Rd-Merrimac-MA-01860/56944217_zpid/
65 Hunt Rd,Chelmsford,379000,3,2,1800,MA,https://www.zillow.com/homedetails/65-Hunt-Rd-Chelmsford-MA-01824/56449594_zpid/
29 Pines Rd,Billerica,342000,4,2,1756,MA,https://www.zillow.com/homedetails/29-Pines-Rd-Billerica-MA-01821/56421683_zpid/
504 S Main St,Centerville,449900,5,3,2478,MA,https://www.zillow.com/homedetails/504-S-Main-St-Centerville-MA-02632/55840147_zpid/
238 Hale St,Beverly,499900,3,2,1810,MA,https://www.zillow.com/homedetails/238-Hale-St-Beverly-MA-01915/59227871_zpid/
108 Framingham Rd,Marlborough,389000,4,2,1800,MA,https://www.zillow.com/homedetails/108-Framingham-Rd-Marlborough-MA-01752/56272585_zpid/
185 Winslow Rd,Waban,799000,3,2,1958,MA,https://www.zillow.com/homedetails/185-Winslow-Rd-Waban-MA-02468/56314257_zpid/
24 Raymond St,MEDFORD,550000,3,2,1400,MA,https://www.zillow.com/homedetails/24-Raymond-St-Medford-MA-02155/56276568_zpid/
150 Woodland Rd,Chestnut Hill,38000000,8,12,26623,MA,https://www.zillow.com/homedetails/150-Woodland-Rd-Chestnut-Hill-MA-02467/56564453_zpid/
4 Horton Ct,Salem,350000,3,2,1650,MA,https://www.zillow.com/homedetails/4-Horton-Ct-Salem-MA-01970/56121718_zpid/
12 Eaton St,Wakefield,565000,3,2,1830,MA,https://www.zillow.com/homedetails/12-Eaton-St-Wakefield-MA-01880/56352314_zpid/
84 Washington St # 2,Boston,749000,2,2,1227,MA,https://www.zillow.com/homedetails/84-Washington-St-2-Boston-MA-02129/59099363_zpid/
17 Lemon St # 2,Salem,288000,4,2,1565,MA,https://www.zillow.com/homedetails/17-Lemon-St-2-Salem-MA-01970/87801068_zpid/
41 Roundtop Rd,MARLBOROUGH,385000,3,2,1440,MA,https://www.zillow.com/homedetails/41-Roundtop-Rd-Marlborough-MA-01752/56530245_zpid/
96 Rockwood St,Boston,3950000,8,5.5,15059,MA,https://www.zillow.com/homedetails/96-Rockwood-St-Boston-MA-02130/59134938_zpid/
