address,city,price(USD),bds,ba,sqft,state,url
3701 W Forest Park Ave,Baltimore,59900,6,3,3793,MD,https://www.zillow.com/homedetails/3701-W-Forest-Park-Ave-Baltimore-MD-21216/36499466_zpid/
9 Chevy Chase Cir,Chevy Chase,22500000,7,8.5,13900,MD,https://www.zillow.com/homedetails/9-Chevy-Chase-Cir-Chevy-Chase-MD-20815/37167972_zpid/
6116 Haddon Hall Rd,Baltimore,350000,5,4,2710,MD,https://www.zillow.com/homedetails/6116-Haddon-Hall-Rd-Baltimore-MD-21212/36413558_zpid/
21304 Glendevon Ct,Germantown,399000,4,4,5255,MD,https://www.zillow.com/homedetails/21304-Glendevon-Ct-Germantown-MD-20876/37245396_zpid/
4000 N Charles St UNIT 312,Baltimore,119500,2,2,2424,MD,https://www.zillow.com/homedetails/4000-N-Charles-St-UNIT-312-Baltimore-MD-21218/36470757_zpid/
2106 Commissary Cir,Odenton,99900,3,3,1960,MD,https://www.zillow.com/homedetails/2106-Commissary-Cir-Odenton-MD-21113/36110769_zpid/
1801 Eutaw Pl,Baltimore,885000,12,8,11536,MD,https://www.zillow.com/homedetails/1801-Eutaw-Pl-Baltimore-MD-21217/36486680_zpid/
2727 Friday Harbor Dr,Sykesville,380000,6,5,4633,MD,https://www.zillow.com/homedetails/2727-Friday-Harbor-Dr-Sykesville-MD-21784/36768043_zpid/
3637 Satinleaf Ct,Waldorf,291000,4,3,2100,MD,https://www.zillow.com/homedetails/3637-Satinleaf-Ct-Waldorf-MD-20602/36724316_zpid/
15325 Masonwood Dr,Gaithersburg,7600000,8,11,18422,MD,https://www.zillow.com/homedetails/15325-Masonwood-Dr-Gaithersburg-MD-20878/37162613_zpid/
10501 Chapel Rd,Potomac,9250000,9,16,25051,MD,https://www.zillow.com/homedetails/10501-Chapel-Rd-Potomac-MD-20854/37256791_zpid/
2405 Kinderbrook Ln,Bowie,259900,3,2,1856,MD,https://www.zillow.com/homedetails/2405-Kinderbrook-Ln-Bowie-MD-20715/37407953_zpid/
4024 Colborne Rd,Baltimore,149900,4,2,1910,MD,https://www.zillow.com/homedetails/4024-Colborne-Rd-Baltimore-MD-21229/36507620_zpid/
2961 Bethany Ln,Ellicott City,600000,4,4,3448,MD,https://www.zillow.com/homedetails/2961-Bethany-Ln-Ellicott-City-MD-21042/37033168_zpid/
3220 Meadow Valley Dr,ABINGDON,269900,4,2,1768,MD,https://www.zillow.com/homedetails/3220-Meadow-Valley-Dr-Abingdon-MD-21009/36929558_zpid/
13301 Dover Rd,Reisterstown,3995000,6,14,21890,MD,https://www.zillow.com/homedetails/13301-Dover-Rd-Reisterstown-MD-21136/2097035057_zpid/
9005 Eugene Dr,Gaithersburg,400000,5,3,3672,MD,https://www.zillow.com/homedetails/9005-Eugene-Dr-Gaithersburg-MD-20877/37215431_zpid/
11710 Lisborough Rd,Bowie,384900,4,4,2590,MD,https://www.zillow.com/homedetails/11710-Lisborough-Rd-Bowie-MD-20720/37477722_zpid/
14602 King Lear Ct # 12-146,Silver Spring,319000,4,4,1941,MD,https://www.zillow.com/homedetails/14602-King-Lear-Ct-12-146-Silver-Spring-MD-20906/37325486_zpid/
1312 Bennett Pl,Bel Air,215000,3,3,2058,MD,https://www.zillow.com/homedetails/1312-Bennett-Pl-Bel-Air-MD-21015/36961955_zpid/
2311 Calhoun St,Fort Washington,228000,4,4,3172,MD,https://www.zillow.com/homedetails/2311-Calhoun-St-Fort-Washington-MD-20744/37464166_zpid/
3406 Woodvalley Dr,Baltimore,250000,4,4,3883,MD,https://www.zillow.com/homedetails/3406-Woodvalley-Dr-Baltimore-MD-21208/36341917_zpid/
1953 Lewis Ave,Rockville,399900,3,2,1924,MD,https://www.zillow.com/homedetails/1953-Lewis-Ave-Rockville-MD-20851/37103759_zpid/
7747 Rockburn Dr,Ellicott City,589900,5,4,3484,MD,https://www.zillow.com/homedetails/7747-Rockburn-Dr-Ellicott-City-MD-21043/36990027_zpid/
7633 Bluff Point Ln,Elkridge,247500,2,2,1904,MD,https://www.zillow.com/homedetails/7633-Bluff-Point-Ln-Elkridge-MD-21075/67486828_zpid/
20544 Anndyke Way,Germantown,484900,4,3,2900,MD,https://www.zillow.com/homedetails/20544-Anndyke-Way-Germantown-MD-20874/37082377_zpid/
8322 Forestwood Ln,Jessup,150000,3,2,2200,MD,https://www.zillow.com/homedetails/8322-Forestwood-Ln-Jessup-MD-20794/2097932255_zpid/
1817 Madison Ave,Baltimore,154999,5,3,3200,MD,https://www.zillow.com/homedetails/1817-Madison-Ave-Baltimore-MD-21217/36488396_zpid/
4306 Delmar Ave,Temple Hills,249900,3,3,2568,MD,https://www.zillow.com/homedetails/4306-Delmar-Ave-Temple-Hills-MD-20748/37380730_zpid/
694 Watersville Rd,Mount Airy,649950,5,4,3682,MD,https://www.zillow.com/homedetails/694-Watersville-Rd-Mount-Airy-MD-21771/37040162_zpid/
8818 Sundale Dr,Silver Spring,599000,4,3,1636,MD,https://www.zillow.com/homedetails/8818-Sundale-Dr-Silver-Spring-MD-20910/37291965_zpid/
1212 Grant St,Annapolis,339900,3,3,1568,MD,https://www.zillow.com/homedetails/1212-Grant-St-Annapolis-MD-21403/36140326_zpid/
10250 Three Doctors Rd,Dunkirk,280000,4,2,3158,MD,https://www.zillow.com/homedetails/10250-Three-Doctors-Rd-Dunkirk-MD-20754/36660433_zpid/
3906 Ferndale Ave,Baltimore,199900,3,2,2039,MD,https://www.zillow.com/homedetails/3906-Ferndale-Ave-Baltimore-MD-21207/36624577_zpid/
4608 Asbury Ave,Baltimore,189995,4,3,1628,MD,https://www.zillow.com/homedetails/4608-Asbury-Ave-Baltimore-MD-21206/36574683_zpid/
14401 Dunstable Ct,Bowie,489000,4,3,4152,MD,https://www.zillow.com/homedetails/14401-Dunstable-Ct-Bowie-MD-20721/37412906_zpid/
10701 Jamaica Dr,Silver Spring,374900,3,2,2258,MD,https://www.zillow.com/homedetails/10701-Jamaica-Dr-Silver-Spring-MD-20902/37312588_zpid/
