address,city,price(USD),bds,ba,sqft,state,url
2756 Turtle Bluff Dr,Bloomfield Hills,10550000,6,10,10108,MI,https://www.zillow.com/homedetails/2756-Turtle-Bluff-Dr-Bloomfield-Hills-MI-48302/125758232_zpid/
19409 Maybury Meadow Ct,Northville Twp,29900900,7,12,15000,MI,https://www.zillow.com/homedetails/19409-Maybury-Meadow-Ct-Northville-Twp-MI-48167/2088188285_zpid/
17156 Prairie St,DETROIT,36400,5,2,2100,MI,https://www.zillow.com/homedetails/17156-Prairie-St-Detroit-MI-48221/88415544_zpid/
11500 Furbush Rd,Holly,279900,3,2,1577,MI,https://www.zillow.com/homedetails/11500-Furbush-Rd-Holly-MI-48442/24323172_zpid/
1297 Colfax Ave,BENTON HARBOR,65000,4,3,3240,MI,https://www.zillow.com/homedetails/1297-Colfax-Ave-Benton-Harbor-MI-49022/120500884_zpid/
338 N Lakeshore Dr,Holland,6950000,6,8,17105,MI,https://www.zillow.com/homedetails/338-N-Lakeshore-Dr-Holland-MI-49424/149794395_zpid/
1766 Sanford Pl,ANN ARBOR,345000,3,2,1218,MI,https://www.zillow.com/homedetails/1766-Sanford-Pl-Ann-Arbor-MI-48103/24705315_zpid/
464 Rochdale Dr S,Rochester Hills,329900,4,4,2210,MI,https://www.zillow.com/homedetails/464-Rochdale-Dr-S-Rochester-Hills-MI-48309/24430408_zpid/
18582 Whitby St,LIVONIA,230000,3,2,1707,MI,https://www.zillow.com/homedetails/18582-Whitby-St-Livonia-MI-48152/88499900_zpid/
3014 Sylvan Dr,ROYAL OAK,249900,3,2,1142,MI,https://www.zillow.com/homedetails/3014-Sylvan-Dr-Royal-Oak-MI-48073/24623236_zpid/
17644 Sprenger Ave,Eastpointe,100000,3,2,1605,MI,https://www.zillow.com/homedetails/17644-Sprenger-Ave-Eastpointe-MI-48021/83578022_zpid/
2508 N Vermont Ave,ROYAL OAK,279900,3,2,1331,MI,https://www.zillow.com/homedetails/2508-N-Vermont-Ave-Royal-Oak-MI-48073/24626297_zpid/
9925 Bishop St,Detroit,5000,3,1,1206,MI,https://www.zillow.com/homedetails/9925-Bishop-St-Detroit-MI-48224/88423685_zpid/
9137 Sussex St,Detroit,29900,5,1.5,1500,MI,https://www.zillow.com/homedetails/9137-Sussex-St-Detroit-MI-48228/88668306_zpid/
4121 Sunvalley Dr,KALAMAZOO,149500,4,4,2008,MI,https://www.zillow.com/homedetails/4121-Sunvalley-Dr-Kalamazoo-MI-49008/74153686_zpid/
1138 Rathbone St SW,WYOMING,119900,3,2,1288,MI,https://www.zillow.com/homedetails/1138-Rathbone-St-SW-Wyoming-MI-49509/23830193_zpid/
13200 La Salle Blvd,Detroit,25000,30,30,15579,MI,https://www.zillow.com/homedetails/13200-La-Salle-Blvd-Detroit-MI-48238/2088193344_zpid/
824 Lexington Blvd,Royal Oak,489000,3,3,2378,MI,https://www.zillow.com/homedetails/824-Lexington-Blvd-Royal-Oak-MI-48073/24615384_zpid/
1301 Wilkinson Dr,JACKSON,199900,4,3,3310,MI,https://www.zillow.com/homedetails/1301-Wilkinson-Dr-Jackson-MI-49203/74065578_zpid/
9446 Port Sheldon St,ZEELAND,184900,3,2,1500,MI,https://www.zillow.com/homedetails/9446-Port-Sheldon-St-Zeeland-MI-49464/74181717_zpid/
