address,city,price(USD),bds,ba,sqft,state,url
3770 Northome Rd,WAYZATA,14895000,4,7,8800,MN,https://www.zillow.com/homedetails/3770-Northome-Rd-Wayzata-MN-55391/1813886_zpid/
14105 74th Pl N,MAPLE GROVE,300000,4,2,1587,MN,https://www.zillow.com/homedetails/14105-74th-Pl-N-Maple-Grove-MN-55311/1947607_zpid/
875 Moonlight Dr,Woodbury,325000,3,3,2100,MN,https://www.zillow.com/homedetails/875-Moonlight-Dr-Woodbury-MN-55125/2211686_zpid/
10395 Lee Dr,EDEN PRAIRIE,250000,2,2,1566,MN,https://www.zillow.com/homedetails/10395-Lee-Dr-Eden-Prairie-MN-55347/1929567_zpid/
4017 Mcculloch St,Duluth,184900,3,2,1490,MN,https://www.zillow.com/homedetails/4017-Mcculloch-St-Duluth-MN-55804/61529745_zpid/
3064 131st Ct NE,Blaine,155000,9,10,10200,MN,https://www.zillow.com/homedetails/3064-131st-Ct-NE-Blaine-MN-55449/126320705_zpid/
10800 Harrison Ave S,Bloomington,350000,3,2,1876,MN,https://www.zillow.com/homedetails/10800-Harrison-Ave-S-Bloomington-MN-55437/1872913_zpid/
219 E 58th St,MINNEAPOLIS,299900,3,2,2474,MN,https://www.zillow.com/homedetails/219-E-58th-St-Minneapolis-MN-55419/1906159_zpid/
159 Western Ave S,SAINT PAUL,125000,3,2,1808,MN,https://www.zillow.com/homedetails/159-Western-Ave-S-Saint-Paul-MN-55102/2029236_zpid/
1885 Deer Hills Trl,EAGAN,239000,4,2,1604,MN,https://www.zillow.com/homedetails/1885-Deer-Hills-Trl-Eagan-MN-55122/1631958_zpid/
4545 29th Ave S,MINNEAPOLIS,234900,2,1,1205,MN,https://www.zillow.com/homedetails/4545-29th-Ave-S-Minneapolis-MN-55406/1802726_zpid/
6364 Oakwood Rd,Woodbury,225000,3,2,1890,MN,https://www.zillow.com/homedetails/6364-Oakwood-Rd-Woodbury-MN-55125/2218643_zpid/
3111 33rd Ave S,MINNEAPOLIS,259000,3,2,1318,MN,https://www.zillow.com/homedetails/3111-33rd-Ave-S-Minneapolis-MN-55406/1736319_zpid/
3308 Birch Pl,Minnetonka,299900,4,2,1836,MN,https://www.zillow.com/homedetails/3308-Birch-Pl-Minnetonka-MN-55305/1813288_zpid/
4200 Colfax Ave S,MINNEAPOLIS,525000,4,2,2340,MN,https://www.zillow.com/homedetails/4200-Colfax-Ave-S-Minneapolis-MN-55409/1771717_zpid/
3318 Richmond Ave,SHOREVIEW,315000,4,3,2164,MN,https://www.zillow.com/homedetails/3318-Richmond-Ave-Shoreview-MN-55126/2160647_zpid/
4052 Oregon Ave N,New Hope,209900,4,2,1720,MN,https://www.zillow.com/homedetails/4052-Oregon-Ave-N-New-Hope-MN-55427/1855555_zpid/
1012 29th Ave N,MINNEAPOLIS,108000,3,2,1072,MN,https://www.zillow.com/homedetails/1012-29th-Ave-N-Minneapolis-MN-55411/124758943_zpid/
15606 N Lund Rd,EDEN PRAIRIE,260000,3,2,1946,MN,https://www.zillow.com/homedetails/15606-N-Lund-Rd-Eden-Prairie-MN-55346/1722038_zpid/
2723 Griggs St N,ROSEVILLE,290000,3,3,2092,MN,https://www.zillow.com/homedetails/2723-Griggs-St-N-Roseville-MN-55113/2043348_zpid/
623 Russell Ave N,MINNEAPOLIS,244330,4,2,1806,MN,https://www.zillow.com/homedetails/623-Russell-Ave-N-Minneapolis-MN-55411/1887741_zpid/
308 Van Buren Ave S,Hopkins,295000,3,2,1296,MN,https://www.zillow.com/homedetails/308-Van-Buren-Ave-S-Hopkins-MN-55343/1971426_zpid/
3508 Boone Ave N,New Hope,259900,3,2,1889,MN,https://www.zillow.com/homedetails/3508-Boone-Ave-N-New-Hope-MN-55427/1879915_zpid/
605 Kingsview Ln N,Plymouth,399900,3,3,2410,MN,https://www.zillow.com/homedetails/605-Kingsview-Ln-N-Plymouth-MN-55447/2004490_zpid/
15012 Round Lake Blvd NW,ANDOVER,105500,3,1,1124,MN,https://www.zillow.com/homedetails/15012-Round-Lake-Blvd-NW-Andover-MN-55304/1517931_zpid/
2613 Forest St,MAPLEWOOD,259900,4,2,2288,MN,https://www.zillow.com/homedetails/2613-Forest-St-Maplewood-MN-55109/2063923_zpid/
4209 2nd St NW,ROCHESTER,239900,5,2,2206,MN,https://www.zillow.com/homedetails/4209-2nd-St-NW-Rochester-MN-55901/91476508_zpid/
661 Surrey Ave,SAINT PAUL,129900,2,2,1225,MN,https://www.zillow.com/homedetails/661-Surrey-Ave-Saint-Paul-MN-55106/2145425_zpid/
976 Cook Ave E,SAINT PAUL,165000,2,2,988,MN,https://www.zillow.com/homedetails/976-Cook-Ave-E-Saint-Paul-MN-55106/2134380_zpid/
1345 Juneau Ln N,Plymouth,395000,2,2,1949,MN,https://www.zillow.com/homedetails/1345-Juneau-Ln-N-Plymouth-MN-55447/1955351_zpid/
3852 Vandan Rd,MINNETONKA,399900,4,3,2121,MN,https://www.zillow.com/homedetails/3852-Vandan-Rd-Minnetonka-MN-55345/1889865_zpid/
1084 Jackson St,Saint Paul,179900,3,2,1328,MN,https://www.zillow.com/homedetails/1084-Jackson-St-Saint-Paul-MN-55117/2140369_zpid/
4608 Vincent Ave S,MINNEAPOLIS,739900,4,4,2450,MN,https://www.zillow.com/homedetails/4608-Vincent-Ave-S-Minneapolis-MN-55410/1846919_zpid/
4049 12th Ave S,MINNEAPOLIS,279900,3,2,2160,MN,https://www.zillow.com/homedetails/4049-12th-Ave-S-Minneapolis-MN-55407/1790500_zpid/
6291 Blue Jay Cir,EXCELSIOR,399900,4,2,2392,MN,https://www.zillow.com/homedetails/6291-Blue-Jay-Cir-Excelsior-MN-55331/1573028_zpid/
