address,city,price(USD),bds,ba,sqft,state,url
3918 SW Harbor Dr,LEES SUMMIT,179900,4,3,3211,MO,https://www.zillow.com/homedetails/3918-SW-Harbor-Dr-Lees-Summit-MO-64082/2480592_zpid/
3319 Cleveland Ave,KANSAS CITY,60000,4,3,1732,MO,https://www.zillow.com/homedetails/3319-Cleveland-Ave-Kansas-City-MO-64128/2334093_zpid/
18255 Canyon Forest Ct,Chesterfield,7900,4,5,4706,MO,https://www.zillow.com/homedetails/18255-Canyon-Forest-Ct-Chesterfield-MO-63005/87733097_zpid/
1007 Enwood Ct,SAINT PETERS,210000,3,3,1203,MO,https://www.zillow.com/homedetails/1007-Enwood-Ct-Saint-Peters-MO-63376/2536864_zpid/
4132 Holmes St,KANSAS CITY,289000,4,3,2150,MO,https://www.zillow.com/homedetails/4132-Holmes-St-Kansas-City-MO-64110/2342468_zpid/
2342 Eagle Pines Dr,SAINT CHARLES,239900,3,3,1316,MO,https://www.zillow.com/homedetails/2342-Eagle-Pines-Dr-Saint-Charles-MO-63303/2557606_zpid/
302 Alberta Ln,WASHINGTON,135000,3,2,1428,MO,https://www.zillow.com/homedetails/302-Alberta-Ln-Washington-MO-63090/67506212_zpid/
11408 Manchester Rd,Saint Louis,197000,3,2,1556,MO,https://www.zillow.com/homedetails/11408-Manchester-Rd-Saint-Louis-MO-63122/2803459_zpid/
3700 Mill St,WENTZVILLE,80000,4,2,1980,MO,https://www.zillow.com/homedetails/3700-Mill-St-Wentzville-MO-63385/103700975_zpid/
1356 Green Elm Dr,Fenton,189900,3,2,2814,MO,https://www.zillow.com/homedetails/1356-Green-Elm-Dr-Fenton-MO-63026/2901047_zpid/
1412 N Countryshire Dr,COLUMBIA,299900,4,4,4727,MO,https://www.zillow.com/homedetails/1412-N-Countryshire-Dr-Columbia-MO-65202/58696866_zpid/
316 SE Ridgeview Dr,LEES SUMMIT,75000,3,2,1609,MO,https://www.zillow.com/homedetails/316-SE-Ridgeview-Dr-Lees-Summit-MO-64063/2454137_zpid/
