address,city,price(USD),bds,ba,sqft,state,url
43 Stacy Dr,Picayune,140000,3,4,2387,MS,https://www.zillow.com/homedetails/43-Stacy-Dr-Picayune-MS-39466/110959891_zpid/
8875 Germantown Rd,OLIVE BRANCH,218000,5,3,3034,MS,https://www.zillow.com/homedetails/8875-Germantown-Rd-Olive-Branch-MS-38654/89324330_zpid/
7 Myrtle Dr,HATTIESBURG,155000,3,2,1527,MS,https://www.zillow.com/homedetails/7-Myrtle-Dr-Hattiesburg-MS-39402/78047690_zpid/
15392 Three Rivers Rd,Biloxi,69900,3,2,1447,MS,https://www.zillow.com/homedetails/15392-Three-Rivers-Rd-Biloxi-MS-39532/77967543_zpid/
5786 Morganton Dr,OLIVE BRANCH,194900,4,3,1933,MS,https://www.zillow.com/homedetails/5786-Morganton-Dr-Olive-Branch-MS-38654/89327800_zpid/
1703 Valley View Dr,Tupelo,165900,4,3,2395,MS,https://www.zillow.com/homedetails/1703-Valley-View-Dr-Tupelo-MS-38801/78049511_zpid/
429 Hope St,Biloxi,110000,3,2,1392,MS,https://www.zillow.com/homedetails/429-Hope-St-Biloxi-MS-39530/94857531_zpid/
1567 Southern Ridge Trl,OLIVE BRANCH,315000,5,3,2685,MS,https://www.zillow.com/homedetails/1567-Southern-Ridge-Trl-Olive-Branch-MS-38654/110577611_zpid/
1620 19th Ave,Gulfport,290000,4,3,4050,MS,https://www.zillow.com/homedetails/1620-19th-Ave-Gulfport-MS-39501/77988843_zpid/
7640 Alexander Rd,OLIVE BRANCH,175000,3,2,1663,MS,https://www.zillow.com/homedetails/7640-Alexander-Rd-Olive-Branch-MS-38654/89255034_zpid/
1710 Waycona Dr,Jackson,37900,4,3,1983,MS,https://www.zillow.com/homedetails/1710-Waycona-Dr-Jackson-MS-39204/3066608_zpid/
703 N 2nd Ave,Laurel,86000,4,2,1862,MS,https://www.zillow.com/homedetails/703-N-2nd-Ave-Laurel-MS-39440/216743194_zpid/
8456 Cross Point Dr,OLIVE BRANCH,145000,3,2,1346,MS,https://www.zillow.com/homedetails/8456-Cross-Point-Dr-Olive-Branch-MS-38654/89311774_zpid/
4029 Victoria Dr,NESBIT,199900,4,3,2400,MS,https://www.zillow.com/homedetails/4029-Victoria-Dr-Nesbit-MS-38651/89298420_zpid/
1210 Iola Rd,OCEAN SPRINGS,349711,3,3,3712,MS,https://www.zillow.com/homedetails/1210-Iola-Rd-Ocean-Springs-MS-39564/84623783_zpid/
1054 N 1st Ave,Laurel,29000,3,2,1422,MS,https://www.zillow.com/homedetails/1054-N-1st-Ave-Laurel-MS-39440/78026169_zpid/
16376 Landon Rd,Gulfport,145000,4,3,2737,MS,https://www.zillow.com/homedetails/16376-Landon-Rd-Gulfport-MS-39503/2096710151_zpid/
2271 Club Moss Cir,Biloxi,185000,4,3,2000,MS,https://www.zillow.com/homedetails/2271-Club-Moss-Cir-Biloxi-MS-39532/77956019_zpid/
258 J C Bryant Rd,HATTIESBURG,148900,3,2,1580,MS,https://www.zillow.com/homedetails/258-J-C-Bryant-Rd-Hattiesburg-MS-39401/77931352_zpid/
