address,city,price(USD),bds,ba,sqft,state,url
5507 Mcchesney Dr,CHARLOTTE,334750,4,3,2956,NC,https://www.zillow.com/homedetails/5507-Mcchesney-Dr-Charlotte-NC-28269/6148178_zpid/
116 Ulverston Dr,Holly Springs,498460,5,6,4178,NC,https://www.zillow.com/homedetails/116-Ulverston-Dr-Holly-Springs-NC-27540/122280363_zpid/
5500 Twin Brook Dr,CHARLOTTE,211150,4,3,2940,NC,https://www.zillow.com/homedetails/5500-Twin-Brook-Dr-Charlotte-NC-28269/89697484_zpid/
128 Morena Dr,Holly Springs,268830,4,3,1916,NC,https://www.zillow.com/homedetails/128-Morena-Dr-Holly-Springs-NC-27540/6564495_zpid/
810 Grand Provincial Ave,Matthews,551749,4,4,3983,NC,https://www.zillow.com/homedetails/810-Grand-Provincial-Ave-Matthews-NC-28105/65049794_zpid/
104 Shadow Mist Ct,Apex,552080,6,4,5402,NC,https://www.zillow.com/homedetails/104-Shadow-Mist-Ct-Apex-NC-27539/118202442_zpid/
9020 Blueshot Ct,CHARLOTTE,235870,4,3,1848,NC,https://www.zillow.com/homedetails/9020-Blueshot-Ct-Charlotte-NC-28273/6285884_zpid/
9000 Linslade Way,Wake Forest,358530,4,3,3049,NC,https://www.zillow.com/homedetails/9000-Linslade-Way-Wake-Forest-NC-27587/82677621_zpid/
1005 Tulip Grove Ln,Wake Forest,224540,3,3,1616,NC,https://www.zillow.com/homedetails/1005-Tulip-Grove-Ln-Wake-Forest-NC-27587/60539735_zpid/
1400 Alpine Creek Dr,RALEIGH,6500000,7,12,18398,NC,https://www.zillow.com/homedetails/1400-Alpine-Creek-Dr-Raleigh-NC-27614/80205877_zpid/
3919 Faith Church Rd,Indian Trail,243320,3,3,1793,NC,https://www.zillow.com/homedetails/3919-Faith-Church-Rd-Indian-Trail-NC-28079/51465926_zpid/
2033 Gloucester St,Weddington,454230,4,3,2924,NC,https://www.zillow.com/homedetails/2033-Gloucester-St-Weddington-NC-28104/89702238_zpid/
303 S Brandon Way,Jacksonville,133000,4,3,2279,NC,https://www.zillow.com/homedetails/303-S-Brandon-Way-Jacksonville-NC-28540/2136321166_zpid/
564 Wildwood Acres Rd,FRANKLIN,100000,3,3,3304,NC,https://www.zillow.com/homedetails/564-Wildwood-Acres-Rd-Franklin-NC-28734/65636278_zpid/
3820 Moncacy Dr,RALEIGH,200000,3,3,1868,NC,https://www.zillow.com/homedetails/3820-Moncacy-Dr-Raleigh-NC-27610/81436827_zpid/
1849 Kirby Rd,LILESVILLE,63000,4,5,3120,NC,https://www.zillow.com/homedetails/1849-Kirby-Rd-Lilesville-NC-28091/88860099_zpid/
6205 Castlecove Rd,Charlotte,361530,4,5,4592,NC,https://www.zillow.com/homedetails/6205-Castlecove-Rd-Charlotte-NC-28278/80455519_zpid/
6955 Wadsworth Pl,FAYETTEVILLE,79300,3,3,1534,NC,https://www.zillow.com/homedetails/6955-Wadsworth-Pl-Fayetteville-NC-28314/53708558_zpid/
24 Browntown Rd,Asheville,10750000,5,8.5,16221,NC,https://www.zillow.com/homedetails/24-Browntown-Rd-Asheville-NC-28803/5611518_zpid/
1842 Southwind Dr,CHARLOTTE,189900,4,3,2264,NC,https://www.zillow.com/homedetails/1842-Southwind-Dr-Charlotte-NC-28216/65006222_zpid/
12520 Ivey Creek Dr,Charlotte,255000,4,3,2356,NC,https://www.zillow.com/homedetails/12520-Ivey-Creek-Dr-Charlotte-NC-28273/54497246_zpid/
420 Williamsboro St,OXFORD,110000,3,3,4134,NC,https://www.zillow.com/homedetails/420-Williamsboro-St-Oxford-NC-27565/93025841_zpid/
4003 Stonehill Ln,MATTHEWS,452170,5,4,3339,NC,https://www.zillow.com/homedetails/4003-Stonehill-Ln-Matthews-NC-28104/80909910_zpid/
2209 Wide River Dr,RALEIGH,531480,6,6,4636,NC,https://www.zillow.com/homedetails/2209-Wide-River-Dr-Raleigh-NC-27614/79885861_zpid/
2216 Long And Winding Rd,RALEIGH,237500,3,3,1567,NC,https://www.zillow.com/homedetails/2216-Long-And-Winding-Rd-Raleigh-NC-27603/6518914_zpid/
1306 Pineview Dr,GARNER,125000,4,3,1919,NC,https://www.zillow.com/homedetails/1306-Pineview-Dr-Garner-NC-27529/6405164_zpid/
9416 Leyton Dr,HARRISBURG,429510,5,4,3331,NC,https://www.zillow.com/homedetails/9416-Leyton-Dr-Harrisburg-NC-28075/80200327_zpid/
9235 Sweetleaf Pl,CHARLOTTE,6200000,6,11,15621,NC,https://www.zillow.com/homedetails/9235-Sweetleaf-Pl-Charlotte-NC-28278/65057386_zpid/
1812 Lakepark Dr,RALEIGH,359000,3,3,2899,NC,https://www.zillow.com/homedetails/1812-Lakepark-Dr-Raleigh-NC-27612/6449937_zpid/
1924 E 3rd St,Winston Salem,29500,4,2,1501,NC,https://www.zillow.com/homedetails/1924-E-3rd-St-Winston-Salem-NC-27101/2086248935_zpid/
6320 Deep Forest Ln,CHARLOTTE,199000,4,3,2085,NC,https://www.zillow.com/homedetails/6320-Deep-Forest-Ln-Charlotte-NC-28214/6171024_zpid/
4609 Draper Rd,RALEIGH,145000,2,1,1007,NC,https://www.zillow.com/homedetails/4609-Draper-Rd-Raleigh-NC-27616/6493447_zpid/
1332 Bethesda Rd,Lexington,124995,2,2,3080,NC,https://www.zillow.com/homedetails/1332-Bethesda-Rd-Lexington-NC-27295/245667466_zpid/
