address,city,price(USD),bds,ba,sqft,state,url
5722 S 185th St,OMAHA,315000,4,3,2241,NE,https://www.zillow.com/homedetails/5722-S-185th-St-Omaha-NE-68135/75842399_zpid/
811 N 43rd St,OMAHA,160000,4,2,1596,NE,https://www.zillow.com/homedetails/811-N-43rd-St-Omaha-NE-68131/75778801_zpid/
5040 La Salle St,Lincoln,235000,3,4,1760,NE,https://www.zillow.com/homedetails/5040-La-Salle-St-Lincoln-NE-68516/6595861_zpid/
12801 Josephine St,OMAHA,179900,3,2,1503,NE,https://www.zillow.com/homedetails/12801-Josephine-St-Omaha-NE-68138/58584956_zpid/
8049 Lowell Ave,Lincoln,235000,4,3,1276,NE,https://www.zillow.com/homedetails/8049-Lowell-Ave-Lincoln-NE-68506/6590330_zpid/
4105 S 173rd St,Omaha,325000,5,4,3195,NE,https://www.zillow.com/homedetails/4105-S-173rd-St-Omaha-NE-68135/75804801_zpid/
4643 Farnam St,OMAHA,235000,3,2,1718,NE,https://www.zillow.com/homedetails/4643-Farnam-St-Omaha-NE-68132/75786217_zpid/
5112 Underwood Ave,OMAHA,350000,3,2,2363,NE,https://www.zillow.com/homedetails/5112-Underwood-Ave-Omaha-NE-68132/75875344_zpid/
2354 Calumet Ct,Lincoln,255900,4,2,1912,NE,https://www.zillow.com/homedetails/2354-Calumet-Ct-Lincoln-NE-68502/6625251_zpid/
2722 S 48th St,OMAHA,160000,3,2,2224,NE,https://www.zillow.com/homedetails/2722-S-48th-St-Omaha-NE-68106/75780900_zpid/
3621 S 35th St,Lincoln,224900,4,3,2800,NE,https://www.zillow.com/homedetails/3621-S-35th-St-Lincoln-NE-68506/6593995_zpid/
7031 S 31st Pl,Lincoln,229900,3,3,1681,NE,https://www.zillow.com/homedetails/7031-S-31st-Pl-Lincoln-NE-68516/6601956_zpid/
