address,city,price(USD),bds,ba,sqft,state,url
4101 Los Tomases Dr NW,Albuquerque,200000,4,3,2304,NM,https://www.zillow.com/homedetails/4101-Los-Tomases-Dr-NW-Albuquerque-NM-87107/6722576_zpid/
157 Sandy Ln,Corrales,250000,3,2,2586,NM,https://www.zillow.com/homedetails/157-Sandy-Ln-Corrales-NM-87048/2126060054_zpid/
335 Villeros St,SANTA FE,375000,3,2,1548,NM,https://www.zillow.com/homedetails/335-Villeros-St-Santa-Fe-NM-87501/6834140_zpid/
300 San Jose Pass,Edgewood,135000,3,2,2087,NM,https://www.zillow.com/homedetails/300-San-Jose-Pass-Edgewood-NM-87015/246187504_zpid/
4162 Raindance Ln,Santa Fe,295000,3,2,1268,NM,https://www.zillow.com/homedetails/4162-Raindance-Ln-Santa-Fe-NM-87507/63752640_zpid/
7 Lowlands Lane (rt 5 # 287-M),Santa Fe,199900,3,3,2415,NM,https://www.zillow.com/homedetails/7-Lowlands-Lane-(rt-5-287-M)-Santa-Fe-NM-87506/2088707872_zpid/
7609 Richmond Hill Rd NW,ALBUQUERQUE,288000,4,3,2360,NM,https://www.zillow.com/homedetails/7609-Richmond-Hill-Rd-NW-Albuquerque-NM-87120/6693436_zpid/
117 Tesuque Rdg,SANTA FE,13650000,6,5,13779,NM,https://www.zillow.com/homedetails/117-Tesuque-Rdg-Santa-Fe-NM-87501/80885381_zpid/
32 Colonias Pointe,Taos,326000,2,2,1536,NM,https://www.zillow.com/homedetails/32-Colonias-Pointe-Taos-NM-87571/2088070105_zpid/
334 Otero St # 11-1,Santa Fe,170000,2,2.25,1226,NM,https://www.zillow.com/homedetails/334-Otero-St-11-1-Santa-Fe-NM-87501/2095551764_zpid/
322B County Road 84,Santa Fe,139900,3,1,2016,NM,https://www.zillow.com/homedetails/322B-County-Road-84-Santa-Fe-NM-87506/2094873437_zpid/
8305 Tierra Linda Pl NE,ALBUQUERQUE,375000,4,3,2521,NM,https://www.zillow.com/homedetails/8305-Tierra-Linda-Pl-NE-Albuquerque-NM-87122/6769952_zpid/
627 Cyan Ct NW,ALBUQUERQUE,178000,3,2,1428,NM,https://www.zillow.com/homedetails/627-Cyan-Ct-NW-Albuquerque-NM-87120/67902787_zpid/
