address,city,price(USD),bds,ba,sqft,state,url
5501 Painted Sunrise Dr,Las Vegas,453200,4,3,3135,NV,https://www.zillow.com/homedetails/5501-Painted-Sunrise-Dr-Las-Vegas-NV-89149/6900259_zpid/
1005 James Lovell St,Las Vegas,275000,4,2,2193,NV,https://www.zillow.com/homedetails/1005-James-Lovell-St-Las-Vegas-NV-89145/6975617_zpid/
8625 Copper Ridge Ave,Las Vegas,330000,4,3,2139,NV,https://www.zillow.com/homedetails/8625-Copper-Ridge-Ave-Las-Vegas-NV-89129/6925815_zpid/
3700 Beacon Point St,Las Vegas,280000,3,3,1524,NV,https://www.zillow.com/homedetails/3700-Beacon-Point-St-Las-Vegas-NV-89129/6925892_zpid/
2529 Charteroak St,Las Vegas,216000,3,2,1221,NV,https://www.zillow.com/homedetails/2529-Charteroak-St-Las-Vegas-NV-89108/6935748_zpid/
1674 Spotted Wolf Ave,Las Vegas,292000,3,3,1866,NV,https://www.zillow.com/homedetails/1674-Spotted-Wolf-Ave-Las-Vegas-NV-89123/66863243_zpid/
7937 Farralon Ridge Ct,Las Vegas,373000,3,3,2325,NV,https://www.zillow.com/homedetails/7937-Farralon-Ridge-Ct-Las-Vegas-NV-89149/66844815_zpid/
4654 Ashington St,Las Vegas,310000,3,3,2048,NV,https://www.zillow.com/homedetails/4654-Ashington-St-Las-Vegas-NV-89147/7132668_zpid/
6636 Joe Michael Way,Las Vegas,240900,3,3,1297,NV,https://www.zillow.com/homedetails/6636-Joe-Michael-Way-Las-Vegas-NV-89108/6931343_zpid/
8233 Spanish Meadows Ave,Las Vegas,359000,3,3,2684,NV,https://www.zillow.com/homedetails/8233-Spanish-Meadows-Ave-Las-Vegas-NV-89131/55105583_zpid/
2535 Cortina Ave,Henderson,344500,4,3,1991,NV,https://www.zillow.com/homedetails/2535-Cortina-Ave-Henderson-NV-89074/7197987_zpid/
4209 Hawks Glide Ave,North Las Vegas,490000,5,4,4263,NV,https://www.zillow.com/homedetails/4209-Hawks-Glide-Ave-North-Las-Vegas-NV-89084/70055883_zpid/
3557 Moraga Dr,Las Vegas,284900,4,2,1704,NV,https://www.zillow.com/homedetails/3557-Moraga-Dr-Las-Vegas-NV-89103/7122148_zpid/
6541 Churnet Valley Ave,Las Vegas,272000,4,3,1655,NV,https://www.zillow.com/homedetails/6541-Churnet-Valley-Ave-Las-Vegas-NV-89139/61747891_zpid/
1222 Sonatina Dr,Henderson,368000,3,2,1638,NV,https://www.zillow.com/homedetails/1222-Sonatina-Dr-Henderson-NV-89052/55111902_zpid/
10307 Artful Stone Ave,Las Vegas,479900,3,3,2562,NV,https://www.zillow.com/homedetails/10307-Artful-Stone-Ave-Las-Vegas-NV-89149/118197713_zpid/
11138 Romola St,Las Vegas,379000,4,3,2793,NV,https://www.zillow.com/homedetails/11138-Romola-St-Las-Vegas-NV-89141/53377994_zpid/
1676 Ravanusa Dr,Henderson,485000,5,4,2855,NV,https://www.zillow.com/homedetails/1676-Ravanusa-Dr-Henderson-NV-89052/52215119_zpid/
2324 Aragon Canyon St,Las Vegas,569750,3,3,3158,NV,https://www.zillow.com/homedetails/2324-Aragon-Canyon-St-Las-Vegas-NV-89135/66848832_zpid/
