address,city,price(USD),bds,ba,sqft,state,url
12 E 69th St,NEW YORK,88000000,6,11,20000,NY,https://www.zillow.com/homedetails/12-E-69th-St-New-York-NY-10021/31533674_zpid/
520 W 28th St,New York,58500000,7,9,11121,NY,https://www.zillow.com/homedetails/520-W-28th-St-New-York-NY-10001/2086472572_zpid/
Jule Pond Dr,Water Mill,175000000,12,12,20000,NY,https://www.zillow.com/homedetails/Jule-Pond-Dr-Water-Mill-NY-11976/2092865524_zpid/
635 W 42nd St # 45,New York,85000000,10,10.5,15000,NY,https://www.zillow.com/homedetails/635-W-42nd-St-45-New-York-NY-10036/2102322179_zpid/
134 Charles St,New York,80000000,6,8.5,18000,NY,https://www.zillow.com/homedetails/134-Charles-St-New-York-NY-10014/2105104498_zpid/
12 E 63rd St,New York,67000000,7,11,13000,NY,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/
Spring Knls,Great Neck,35000000,6,17,26000,NY,https://www.zillow.com/homedetails/Spring-Knls-Great-Neck-NY-11024/2087197092_zpid/
45 E 22nd St # PHAB,New York,77700000,6,11,13060,NY,https://www.zillow.com/homedetails/45-E-22nd-St-PHAB-New-York-NY-10010/2087101986_zpid/
351 S 1st Ave,MOUNT VERNON,249900,6,3,2600,NY,https://www.zillow.com/homedetails/351-S-1st-Ave-Mount-Vernon-NY-10550/32954511_zpid/
21544 47th Ave APT 1C,Bayside,299000,2,1,118000,NY,https://www.zillow.com/homedetails/21544-47th-Ave-APT-1C-Bayside-NY-11361/245379132_zpid/
2748 Lincoln Blvd,MERRICK,579999,4,3,3014,NY,https://www.zillow.com/homedetails/2748-Lincoln-Blvd-Merrick-NY-11566/72407881_zpid/
222 N Broadway # ALB,Yonkers,125000,2,2,1200,NY,https://www.zillow.com/homedetails/222-N-Broadway-ALB-Yonkers-NY-10701/2093834357_zpid/
118 E 76th St,New York,39000000,8,18,13000,NY,https://www.zillow.com/homedetails/118-E-76th-St-New-York-NY-10021/2090867491_zpid/
111 W 57th St # 74,New York,57000000,4,10,7130,NY,https://www.zillow.com/homedetails/111-W-57th-St-74-New-York-NY-10019/2087018114_zpid/
45 E 22nd St,New York,77700000,6,7,13060,NY,https://www.zillow.com/homedetails/45-E-22nd-St-New-York-NY-10010/2117423535_zpid/
63 Cumberland Pl,VALLEY STREAM,350000,5,3,2431,NY,https://www.zillow.com/homedetails/63-Cumberland-Pl-Valley-Stream-NY-11580/31234914_zpid/
6 Carriage Trl,Tarrytown,12995000,9,12.5,23084,NY,https://www.zillow.com/homedetails/6-Carriage-Trl-Tarrytown-NY-10591/2100956276_zpid/
