address,city,price(USD),bds,ba,sqft,state,url
739 Cohasset Dr,YOUNGSTOWN,149900,7,7,4308,OH,https://www.zillow.com/homedetails/739-Cohasset-Dr-Youngstown-OH-44511/34858758_zpid/
50 Twin Oaks Rd,AKRON,8650000,7,8,13927,OH,https://www.zillow.com/homedetails/50-Twin-Oaks-Rd-Akron-OH-44313/121566148_zpid/
11518 Harbor View Dr,Cleveland,9150000,7,10,15000,OH,https://www.zillow.com/homedetails/11518-Harbor-View-Dr-Cleveland-OH-44102/33325645_zpid/
4896 Orchard Dr,BRUNSWICK,139000,5,2,2084,OH,https://www.zillow.com/homedetails/4896-Orchard-Dr-Brunswick-OH-44212/34869997_zpid/
5204 Taylor Lane Ave,HILLIARD,159900,3,2,1248,OH,https://www.zillow.com/homedetails/5204-Taylor-Lane-Ave-Hilliard-OH-43026/33978008_zpid/
1782 Hibbard Dr,Stow,114000,3,3,1356,OH,https://www.zillow.com/homedetails/1782-Hibbard-Dr-Stow-OH-44224/35395611_zpid/
390 Delaneys Cir,Powell,399900,4,4,4232,OH,https://www.zillow.com/homedetails/390-Delaneys-Cir-Powell-OH-43065/33736793_zpid/
7648 Summerwood Dr,COLUMBUS,250000,3,3,2229,OH,https://www.zillow.com/homedetails/7648-Summerwood-Dr-Columbus-OH-43235/34118888_zpid/
5622 Riverside Dr,Dublin,3499000,5,8,15000,OH,https://www.zillow.com/homedetails/5622-Riverside-Dr-Dublin-OH-43017/34048913_zpid/
2805 Harrison Ave,CINCINNATI,295000,4,3,3760,OH,https://www.zillow.com/homedetails/2805-Harrison-Ave-Cincinnati-OH-45211/34254336_zpid/
5233 Clifton Pl,Fairfield,179900,3,3,2057,OH,https://www.zillow.com/homedetails/5233-Clifton-Pl-Fairfield-OH-45014/33150416_zpid/
4101 Wintertime Dr,COLUMBUS,155000,3,3,1605,OH,https://www.zillow.com/homedetails/4101-Wintertime-Dr-Columbus-OH-43207/34076137_zpid/
5627 Buxley Dr,WESTERVILLE,224900,3,3,2313,OH,https://www.zillow.com/homedetails/5627-Buxley-Dr-Westerville-OH-43081/71228133_zpid/
1299 Tumbleweed St NE,UNIONTOWN,171000,3,2,1348,OH,https://www.zillow.com/homedetails/1299-Tumbleweed-St-NE-Uniontown-OH-44685/35244471_zpid/
2628 Trailwind St,GROVE CITY,167500,3,2,1900,OH,https://www.zillow.com/homedetails/2628-Trailwind-St-Grove-City-OH-43123/34094030_zpid/
5055 Wyandot Pl,HILLIARD,144900,4,2,972,OH,https://www.zillow.com/homedetails/5055-Wyandot-Pl-Hilliard-OH-43026/33977122_zpid/
130 Thorobred Rd,LOVELAND,275000,4,4,2820,OH,https://www.zillow.com/homedetails/130-Thorobred-Rd-Loveland-OH-45140/34422419_zpid/
2044 Brentnell Ave,COLUMBUS,117500,3,3,1476,OH,https://www.zillow.com/homedetails/2044-Brentnell-Ave-Columbus-OH-43219/33937270_zpid/
2956 Representation Ter,COLUMBUS,117500,3,3,1356,OH,https://www.zillow.com/homedetails/2956-Representation-Ter-Columbus-OH-43207/60191385_zpid/
2200 Hudson Ave,CINCINNATI,274780,5,2,1977,OH,https://www.zillow.com/homedetails/2200-Hudson-Ave-Cincinnati-OH-45212/34429052_zpid/
105 S Westgate Ave,COLUMBUS,199900,3,2,1781,OH,https://www.zillow.com/homedetails/105-S-Westgate-Ave-Columbus-OH-43204/33867424_zpid/
2324 Fernwood Ave,Grove City,189900,3,2,1606,OH,https://www.zillow.com/homedetails/2324-Fernwood-Ave-Grove-City-OH-43123/33972146_zpid/
333 Groveport Pike,Canal Winchester,188000,4,3,2797,OH,https://www.zillow.com/homedetails/333-Groveport-Pike-Canal-Winchester-OH-43110/34043589_zpid/
5159 State Route 559,North Lewisburg,139500,3,2,1635,OH,https://www.zillow.com/homedetails/5159-State-Route-559-North-Lewisburg-OH-43060/75053938_zpid/
6060 Cabot Ct,MENTOR,167000,3,2,1849,OH,https://www.zillow.com/homedetails/6060-Cabot-Ct-Mentor-OH-44060/34491765_zpid/
2269 Worthingwoods Blvd,POWELL,239900,3,3,1592,OH,https://www.zillow.com/homedetails/2269-Worthingwoods-Blvd-Powell-OH-43065/34120576_zpid/
3747 Stirrup Ct,COLUMBUS,199900,3,2,1214,OH,https://www.zillow.com/homedetails/3747-Stirrup-Ct-Columbus-OH-43221/34081707_zpid/
2811 Copland Blvd,Toledo,137000,3,2,1165,OH,https://www.zillow.com/homedetails/2811-Copland-Blvd-Toledo-OH-43614/34630422_zpid/
20617 Stanford Ave,Fairview Park,200000,3,2,1237,OH,https://www.zillow.com/homedetails/20617-Stanford-Ave-Fairview-Park-OH-44126/33508072_zpid/
3996 Deer Lake Way,Columbus,144000,3,2,988,OH,https://www.zillow.com/homedetails/3996-Deer-Lake-Way-Columbus-OH-43204/34095075_zpid/
5393 Tara Hill Dr,DUBLIN,324900,4,3,2221,OH,https://www.zillow.com/homedetails/5393-Tara-Hill-Dr-Dublin-OH-43017/34063583_zpid/
